#CODE	ENGLISH	GALEGO
EVTOPTB5000	It wants me to read it....	Hey... wait!
EVTDESC5001	The book is gibberish, but also enlightening. But, even if I struggle with some chapters, its mystery still engrosses me. Something is concealed in the book's language and I am determined to find out what.	It wants me to read it....
EVTOPTA5001	The secret will soon be mine! Muhahaha... *cough* *cough*	The book is gibberish, but also enlightening. But, even if I struggle with some chapters, its mystery still engrosses me. Something is concealed in the book's language and I am determined to find out what.
EVTTOOLTIP5002	Intense study of the book will follow	The secret will soon be mine! Muhahaha... *cough* *cough*
EVTOPTB5001	The book's secret eludes me...	Intense study of the book will follow
EVTTOOLTIP5003	The book will be studied thoroughly	The book's secret eludes me...
EVTDESC5002	The 'secret' within the book still eluded me after several weeks of intense study, wasted time and wasted ink! The man couldn't be anything but a maniac, filling precious parchment with malarkey and incomprehensible symbols.	The book will be studied thoroughly
EVTOPTA5002	I learned to love books instead	The 'secret' within the book still eluded me after several weeks of intense study, wasted time and wasted ink! The man couldn't be anything but a maniac, filling precious parchment with malarkey and incomprehensible symbols.
EVTDESC5003	It took me several weeks before the mystery of the book revealed itself to me. The gibberish parts were encoded and after many hours trying to decipher the code, I managed to break it and construct a key to make the book easier to read.	I learned to love books instead
EVTOPTA5003	The mystery is still not solved...	It took me several weeks before the mystery of the book revealed itself to me. The gibberish parts were encoded and after many hours trying to decipher the code, I managed to break it and construct a key to make the book easier to read.
EVTDESC5020	A rather nettlesome neighbor keeps sending me envoys begging for money or demanding tribute. I feel rather confused about his arbitrary ways and I am not sure what I should do.	The mystery is still not solved...
EVTOPTA5020	I will send him these roses	A rather nettlesome neighbor keeps sending me envoys begging for money or demanding tribute. I feel rather confused about his arbitrary ways and I am not sure what I should do.
EVTOPTB5020	Nail the envoy's hats to their head!	I will send him these roses
EVTDESC5021	My nettlesome neighbor has been rather quiet since I sent him his envoys back with their hats nailed to their heads.	Nail the envoy's hats to their head!
EVTOPTA5021	Go me!	My nettlesome neighbor has been rather quiet since I sent him his envoys back with their hats nailed to their heads.
EVTOPTB5021	Wonder what happens if I do like this...	Go me!
EVTTOOLTIP5023	A new punishment has been conceived	Wonder what happens if I do like this...
EVTDESC5022	A letter arrived from my nettlesome neighbor not many days after the astonished envoys returned home. He was most grateful and deeply touched by the red roses I sent him.	A new punishment has been conceived
EVTOPTA5022	I told you so!	A letter arrived from my nettlesome neighbor not many days after the astonished envoys returned home. He was most grateful and deeply touched by the red roses I sent him.
EVTOPTB5022	They finally came to good use	I told you so!
#EVTDESC5023	Atone for thy sins!'\n\nMy subjects does not really like the new impaling punishment and, led by the priests, show their umbrage by throwing rotten tomatoes at me!	They finally came to good use
EVTOPTA5023	Never!	Atone for thy sins!'\n\nMy subjects does not really like the new impaling punishment and, led by the priests, show their umbrage by throwing rotten tomatoes at me!
EVTOPTB5023	Maybe I should grow more roses?	Never!
EVTDESC5024	The respect and prestige I got after nailing the hats to the envoys' heads has whetted my appetite. I have sent for a skilled torturer who will teach me more about torture and impalement.	Maybe I should grow more roses?
EVTOPTA5024	More! More!	The respect and prestige I got after nailing the hats to the envoys' heads has whetted my appetite. I have sent for a skilled torturer who will teach me more about torture and impalement.
EVTDESC5025	My garden is the apple of my eye, my pride and joy. I distrust my gardener and would spend every hour of the day in my garden if I could.	More! More!
EVTOPTA5025	If I could, I would spend all my time in the garden	My garden is the apple of my eye, my pride and joy. I distrust my gardener and would spend every hour of the day in my garden if I could.
EVTOPTB5025	I love my garden, but there are other things in life too	If I could, I would spend all my time in the garden
EVTDESC5030	My eager courtship of a certain lady has gotten me nowhere, her icy response can cool even the warmest heart. I will not give up, there must be something I can do to win her affection.	I love my garden, but there are other things in life too
EVTOPTA5030	Poetry could work!	My eager courtship of a certain lady has gotten me nowhere, her icy response can cool even the warmest heart. I will not give up, there must be something I can do to win her affection.
EVTTOOLTIPA5031	My icy lady does not thaw...	Poetry could work!
EVTTOOLTIP5032	Her heart has melted...	My icy lady does not thaw...
EVTOPTB5030	I will perform heroic deeds of valor!	Her heart has melted...
EVTTOOLTIP5033	The heroic deeds has finally made the ice lady mine!	I will perform heroic deeds of valor!
EVTTOOLTIPB5031	The heroic deeds leaves her cold...	The heroic deeds has finally made the ice lady mine!
EVTDESC5031	My attempts to make her mine have been to no avail. She is as frosty as the lord of winter himself.	The heroic deeds leaves her cold...
EVTOPTA5031	Forget it	My attempts to make her mine have been to no avail. She is as frosty as the lord of winter himself.
EVTOPTB5031	I won't give up!	Forget it
EVTDESC5032	I struggled with the poem for several days and with a trembling heart, I sent it to her. Her response was warm and lovely, it seemed the ice princess finally has thawed.	I won't give up!
EVTOPTA5032	Words can't describe my feelings!	I struggled with the poem for several days and with a trembling heart, I sent it to her. Her response was warm and lovely, it seemed the ice princess finally has thawed.
EVTDESC5033	I did not tell my heart's desire about my decision to perform heroic deeds of valor to win her heart but I started seeing her at every tournament, every duel I fought. She started smiling at me and laughed when I defeated my opponents in her name.	Words can't describe my feelings!
EVTOPTA5033	Her heart has thawed for me!	I did not tell my heart's desire about my decision to perform heroic deeds of valor to win her heart but I started seeing her at every tournament, every duel I fought. She started smiling at me and laughed when I defeated my opponents in her name.
EVTDESC5034	The largest, most prestigious tournament will take place in a county not far from here. The small victories I have won to make my special lady fall in love with me seem trivial now and I feel I have to win this so she will love me forever.	Her heart has thawed for me!
EVTOPTA5034	My best will not be enough, I must win!	The largest, most prestigious tournament will take place in a province not far from here. The small victories I have won to make my special lady fall in love with me seem trivial now and I feel I have to win this so she will love me forever.
EVTTOOLTIP5036	And the Winner is...	My best will not be enough, I must win!
EVTDESC5035	For every poem I write and she receives, a bigger piece of her heart belongs to me. I have selected a couple of my and apparently her favorites and given to the monks to have them illustrated and written down properly.	And the Winner is...
EVTOPTA5035	I hope she will like it	For every poem I write and she receives, a bigger piece of her heart belongs to me. I have selected a couple of my and apparently her favorites and given to the monks to have them illustrated and written down properly.
EVTTOOLTIP5037	The Poetry Book	I hope she will like it
EVTDESC5036	The prestigious tournament just ended, with me as the sole winner. I could hardly believe it as the lady of my heart kissed me chastely on my cheek.	The Poetry Book
EVTOPTA5036	I love my life!	The prestigious tournament just ended, with me as the sole winner. I could hardly believe it as the lady of my heart kissed me chastely on my cheek.
EVTOPTB5036	Can I stop doing this now?	I love my life!
EVTDESC5037	I was mortified and then furious as the monk told me that they had liked my poetry so much they had produced several copies and sold them. The lady of my heart did not seem to care though, she just kissed me sweetly and thanked me but said she already got a copy.	Can I stop doing this now?
EVTOPTA5037	I should be furious, but I am just happy	I was mortified and then furious as the monk told me that they had liked my poetry so much they had produced several copies and sold them. The lady of my heart did not seem to care though, she just kissed me sweetly and thanked me but said she already got a copy.
EVTOPTB5037	This is too humiliating!	I should be furious, but I am just happy
EVTDESC5040	My work tasks bore me, conversations with my courtiers bore me, everything bores me! I need something new and exciting in my life.	This is too humiliating!
EVTOPTA5040	Some hunting will cheer me up	My work tasks bore me, conversations with my courtiers bore me, everything bores me! I need something new and exciting in my life.
EVTTOOLTIP5041	Disastrous Hunt	Some hunting will cheer me up
EVTTOOLTIP5042	Fortunate Hunt	Disastrous Hunt
EVTOPTB5040	Perhaps I should send for a new bird...	Fortunate Hunt
EVTTOOLTIP5043	Disastrous Falconry	Perhaps I should send for a new bird...
EVTTOOLTIP5044	Fortunate Falconry	Disastrous Falconry
EVTDESC5041	The hunt was a huge disappointment, no game in sight and my horse threw me off.	Fortunate Falconry
EVTOPTA5041	Forget it	The hunt was a huge disappointment, no game in sight and my horse threw me off.
#EVTOPTB5041	I should try something else	Forget it
#EVTDESC5042	We started early, the sun had barely risen above the horizon. There was plenty of prey, the dogs caught many rabbits and I slayed one great boar before he killed my horse and myself.	I should try something else
EVTOPTA5042	This day has been great!	We started early, the sun had barely risen above the horizon. There was plenty of prey, the dogs caught many rabbits and I slayed one great boar before he killed my horse and myself.
EVTDESC5043	The new bird had not been properly trained, it attacked one of the dogs and had to be killed before it released its grip on the poor, wailing hound.	This day has been great!
EVTOPTA5043	Now what?	The new bird had not been properly trained, it attacked one of the dogs and had to be killed before it released its grip on the poor, wailing hound.
#EVTOPTB5043	Maybe I should change hobby	Now what?
EVTDESC5044	Rabbit after rabbit was caught, killed and brought to me by my new bird.	Maybe I should change hobby
EVTOPTA5044	I like this	Rabbit after rabbit was caught, killed and brought to me by my new bird.
EVTDESC5045	I feel more relaxed now, I can do my tasks, talk to my courtiers and do other things without feeling too bored. Maybe I should hunt more often?	I like this
EVTOPTA5045	Yes!	I feel more relaxed now, I can do my tasks, talk to my courtiers and do other things without feeling too bored. Maybe I should hunt more often?
EVTOPTB5045	I'm good for now	Yes!
EVTDESC5046	The new bird is almost too perfect. I enjoy every hunt with her, and the cook has trouble finding new recipes for rabbit.	I'm good for now
EVTOPTA5046	I'm a falconer!	The new bird is almost too perfect. I enjoy every hunt with her, and the cook has trouble finding new recipes for rabbit.
EVTOPTB5046	No more rabbit pie, please!	I'm a falconer!
EVTDESC5050	A new bird has arrived in the mews and a new book on the art of writing poetry is in the library.	No more rabbit pie, please!
EVTOPTA5050	I should start reading the book	A new bird has arrived to the mew and a new book on the art of writing poetry is in the library.
EVTTOOLTIP5051	A Book Filled With Bunkum...	I should start reading the book
EVTTOOLTIP5052	A Book Filled With Inspiration!	A Book Filled With Bunkum...
EVTOPTB5050	I should take her out for a hunt	A Book Filled With Inspiration!
EVTDESC5051	This book about poetry is really boring. It is filled with do's and do not's and I just want to throw it out the window.	I should take her out for a hunt
EVTOPTA5051	This wasn't for me	This book about poetry is really boring. It is filled with do's and do not's and I just want to throw it out the window.
#EVTOPTB5051	There are better things for me to do	This wasn't for me
EVTDESC5052	The poetry book is really inspiring! I can feel creativity bursting through my body.	There are better things for me to do
EVTOPTA5052	Give me a quill!	The poetry book is really inspiring! I can feel creativity bursting through my body.
EVTDESC5053	The new bird was more aggressive than the ones I'm used to. It killed many rabbits but was unwilling to relinquish its catch - it even attacked me when I tried to pry one away!	Give me a quill!
EVTOPTA5053	She is far too dangerous	The new bird were more aggressive than the ones I'm used to. It killed many rabbits but were unwilling to relinquish its catch, it even attacked me when I tried to pry one away.
#EVTOPTB5053	Maybe she's the wrong bird for me	She is far too dangerous
EVTDESC5055	My modest attempts to write poetry was never meant to be published in any way, but wherever I go, bards and minstrels are reciting or singing my poems.	Maybe she's the wrong bird for me
EVTOPTA5055	Fame and fortune awaits!	My modest attempts to write poetry was never meant to be published in any way, but wherever I go, bards and minstrels are reciting or singing my poems.
EVTOPTB5055	My poetry was never meant for others!	Fame and fortune awaits!
EVTDESC5060	The church preaches celibacy and my friends try to lure me into hedonism by showing me the pleasures of life. I can't really decide if I want to enjoy life or wait for heaven...	My poetry was never meant for others!
EVTOPTA5060	I can try some pleasures...	The church preaches celibacy and my friends try to lure me into hedonism by showing me the pleasures of life. I can't really decide if I want to enjoy life or wait for heaven...
EVTOPTB5060	I hope celibacy doesn't bore me too much	I can try some pleasures...
EVTDESC5061	A waste of money, a waste of time but oh so good it felt! The pleasures of life makes everything feel less tiresome and more... delightful!	I hope celibacy doesn't bore me too much
EVTOPTA5061	Sweet temptation...	A waste of money, a waste of time but oh so good it felt! The pleasures of life makes everything feel less tiresome and more... delightful!
EVTOPTB5061	Stay strong!	Sweet temptation...
EVTDESC5062	The first few days felt manageable but then I started notice the other sex and felt envious of those who could indulge in sinful activities.	Stay strong!
EVTOPTA5062	This is too hard!	The first few days felt manageable but then I started notice the other sex and felt envious of those who could indulge in sinful activities.
EVTOPTB5062	I will stay strong!	This is too hard!
EVTDESC5063	Just thinking of celibacy makes me shiver but at the same time, something seem amiss in my life. What is this emptiness inside of me?	I will stay strong!
EVTOPTA5063	I need to take a few days contemplating this	Just thinking of celibacy makes me shiver but at the same time, something seem amiss in my life. What is this emptiness inside of me?
EVTTOOLTIP5065	Celibacy	I need to take a few days contemplating this
EVTOPTB5063	Ignore it, live life!	Celibacy
EVTTOOLTIP5066	Hedonism	Ignore it, live life!
EVTDESC5064	The temptations are everywhere! The inviting glances, the luscious bodies and the alluring fragrances...	Hedonism
EVTOPTA5064	No! I will not give in!	The temptations are everywhere! The inviting glances, the luscious bodies and the alluring fragrances...
EVTOPTB5064	Free! Free at last!	No! I will not give in!
EVTDESC5065	After a long, long, long time it feels as if I could bear to live in complete celibacy for the rest of my life.	Free! Free at last!
EVTOPTA5065	Let's do it!	After a long, long, long time it feels as if I could bear to live in complete celibacy for the rest of my life.
EVTOPTB5065	Maybe later	Let's do it!
EVTDESC5066	This lifestyle of utmost pleasure and joyous life suits me perfectly. This can be nothing but heaven.	Maybe later
EVTOPTA5066	More... more of everything!	This lifestyle of utmost pleasure and joyous life suits me perfectly. This can be nothing but heaven.
EVTOPTB5066	I should contemplate this some more	More... more of everything!
EVTDESC6000	A strange, reddish-pink rash appeared on my palms and soles not long ago along with a fever and headache. Some parts of the rash has developed abscesses and is both ugly and itchy.	I should contemplate this some more
EVTOPTA6000	What is wrong with me?	A strange, reddish-pink rash appeared on my palms and soles not long ago along with a fever and headache. Some parts of the rash has developed abscesses and is both ugly and itchy.
EVTDESC6001	The rash disappeared and took the headache and fever with it.	What is wrong with me?
EVTOPTA6001	I feel much better	The rash disappeared and took the headache and fever with it.
EVTDESC6010	First I lost my eyebrows and eyelashes, then my nose deformed. People fear me and I must hide my face as to not cause hysteria among others.	I feel much better
EVTOPTA6010	My face! My pretty face!	First I lost my eyebrows and eyelashes, then my nose deformed. People fear me and I must hide my face as to not cause hysteria among others.
EVTDESC6011	A man approached me and I tried to duck away from him, not let him see my disfigurement. He told me he had a cure and sold me a potion for only 25 gold coins.	My face! My pretty face!
EVTOPTA6011	The potion worked!	A man approached me and I tried to duck away from him, not let him see my disfigurement. He told me he had a cure and sold me a potion for only 25 gold coins.
EVTDESC6020	The voices in my head are telling me to do horrible things!	The potion worked!
EVTOPTA6020	I can't defy them	The voices in my head are telling me to do horrible things!
EVTDESC6021	I was later told that my strange behavior and fear of the moon was caused by the voices in my head. The [Root.Religion.GetPriestTitle] managed to clear my head of voices and now I have total silence.	I can't defy them
EVTOPTA6021	IT'S TOO QUIET!	I was later told that my strange behavior and fear of the moon was caused by the voices in my head. The [Root.Religion.GetPriestTitle] managed to clear my head of voices and now I have total silence.
EVTDESC6030	I am speaking in tongues, screaming obscenities at random times, most often when the [Root.Religion.GetPriestTitle] preaches and am sometimes lying on the ground writhing in apparent pain. I seldom remember these things and people believe me to be possessed.	IT'S TOO QUIET!
EVTOPTA6030	Begone, foul demon!	I am speaking in tongues, screaming obscenities at random times, most often when the [Root.Religion.GetPriestTitle] preaches and am sometimes lying on the ground writhing in apparent pain. I seldom remember these things and people believe me to be possessed.
EVTDESC6031	Vade retro satana!'\n\nThe priest's exorcism worked beautifully, I haven't spoken in tongues or screamed obscenities for several days!	Begone, foul demon!
EVTOPTA6031	Vade retro satana!	Vade retro satana!'\n\nThe priest's exorcism worked beautifully, I haven't spoken in tongues or screamed obscenities for several days!
EVTDESC6040	My moodiness and tendency to lash out at people is getting worse. I sleep too little and can't seem to stop worrying.	Vade retro satana!
EVTOPTA6040	This is a lot of pressure...	My moodiness and tendency to lash out at people is getting worse. I sleep too little and can't seem to stop worrying.
EVTDESC6041	The world will not weigh me down anymore, I have a new spring in my step, joy in my heart and a smile on my face.	This is a lot of pressure...
EVTOPTA6041	Life isn't too bad	The world will not weigh me down anymore, I have a new spring in my step, joy in my heart and a smile on my face.
EVTDESC6050	I hate my life.	Life isn't too bad
EVTOPTA6050	I really do.	I hate my life.
EVTDESC6051	After a couple of days just spending some time doing things I love, hunting, reading and visiting friends, life does not seem as grey as it did before.	I really do.
EVTOPTA6051	I feel better now	After a couple of days just spending some time doing things I love, hunting, reading and visiting friends, life does not seem as grey as it did before.
EVTDESC6060	I don't feel too well, something is wrong with me. I am burning up with fever, my nose is running and my head feels as if someone is banging something hard against it.	I feel better now
EVTOPTA6060	Please kill me!	I don't feel too well, something is wrong with me. I am burning up with fever, my nose is running and my head feels as if someone is banging something hard against it.
#EVTDESC6061	The fever is gone and my nose is dry, the headache is long gone and I feel alive once again.	Please kill me!
EVTOPTA6061	Alive!	The fever is gone and my nose is dry, the headache is long gone and I feel alive once again.
EVTDESC6070	This cough is killing me! It started as chest pain and shortness of breath, then I started coughing up phlegm and now blood!	Alive!
EVTOPTA6070	Something is very wrong with me	This cough is killing me! It started as chest pain and shortness of breath, then I started coughing up phlegm and now blood!
#EVTDESC6071	The cough disappeared, thank God! I still feel a bit weak but the coughing, the chest pain and the shortness of breath are gone.	Something is very wrong with me
EVTOPTA6071	Finally!	The cough disappeared, thank God! I still feel a bit weak but the coughing, the chest pain and the shortness of breath are gone.
EVTDESC6080	When the hot cautery touched the open wound, I couldn't hold the scream back. I cursed the doctor who only laughed, told me to take it easy and not pick on the wound.	Finally!
EVTOPTA6080	Why I oughta...	When the hot cautery touched the open wound, I couldn't hold the scream back. I cursed the doctor who only laughed, told me to take it easy and not pick on the wound.
EVTDESC6081	The old wound has finally healed, leaving a pretty grotesque scar behind.	Why I oughta...
EVTOPTA6081	Ewww...	The old wound has finally healed, leaving a pretty grotesque scar behind.
EVTDESC6100	My body may be sapless and infirm, but my mind is as healthy as ever!	Ewww...
EVTOPTA6100	Who are you? Oh, of course.	My body may be sapless and infirm, but my mind is as healthy as ever!
EVTDESC6110	Where am I? Who are these people? Oh, pretty colors...	Who are you? Oh, of course.
EVTOPTA6110	So tired... zzz	Where am I? Who are these people? Oh, pretty colors...
EVTDESC6111	I haven't coughed for days and the pain is gone. Fate has granted me reprieve.	So tired... zzz
EVTOPTA6111	O Fortuna	I haven't coughed for days and the pain is gone. Fate has granted me reprieve.
EVTDESC6112	I feel weak as a babe, but the cursed fever has finally broken!	O Fortuna
EVTOPTA6112	I could eat a horse!	I feel weak as a babe, but the cursed fever has finally broken!
EVTDESC6113	The spots are receding and the fever has broken. Am I really cured?	I could eat a horse!
EVTOPTA6113	The fates are kind	The spots are receding and the fever has broken. Am I really cured?
EVTDESC6114	I am alive... I AM ALIVE!	The fates are kind
EVTOPTA6114	HAHA!	I am alive... I AM ALIVE!
EVTDESC6115	It takes more to kill me than measly measles!	HAHA!
EVTOPTA6115	Time to get up	It takes more to kill me than measly measles!
EVTDESC6116	I think I made it through this cursed disease.	Time to get up
EVTOPTA6116	Poxy no more!	I think I made it through this cursed disease.
EVTDESC6500	Slaying the king of the forest demands proper celebration with wine, singing and...	Poxy no more!
EVTOPTA6500	one woman	Slaying the king of the forest demands proper celebration with wine, singing and...
EVTOPTB6500	two women	one woman
EVTDESC6501	...Marco...	two women
EVTOPTA6501	...Polo...	...Marco...
EVTDESC6502	A small kitty is demanding your attention.	...Polo...
EVTOPTA6502	Pat the kitty	A small kitty is demanding your attention.
EVTTOOLTIP6502	Gain §Y1§! Stability	Pat the kitty
EVTDESC150	Narrowly avoiding capture by the forces of [From.GetTitledFirstName], I am now forced to raise the banner of rebellion.	Gain §Y1§! Stability
EVTOPTA150	To Arms!	Narrowly avoiding capture by the forces of [From.GetTitledFirstName], I am now forced to raise the banner of rebellion.
EVTDESC40000	My guards failed to capture [From.GetTitledFirstName], who has now raised [From.GetPossPronoun] flag in rebellion!	To Arms!
EVTOPTA40000	To Arms!	My guards failed to capture [From.GetTitledFirstName], who has now raised [From.GetPossPronoun] flag in rebellion!
EVTDESC151	My liege has seen fit to throw me in the dungeon. My life might be forfeit.	To Arms!
#EVTOPTA151	] preserve me!	My liege has seen fit to throw me in the dungeon. My life might be forfeit.
EVTDESC40001	[From.GetTitledFirstName] is now safely locked away in my dungeon, awaiting [From.GetPossPronoun] fate...	] preserve me!
EVTDESC40002	[From.GetTitledFirstName] managed to avoid my guardsmen and has fled to the court of [From.Liege.GetTitledFirstName].	[From.GetTitledFirstName] is now safely locked away in my dungeon, awaiting [From.GetPossPronoun] fate...
EVTOPTA40002	Let [From.GetObjectPronoun] cower in fear!	[From.GetTitledFirstName] managed to avoid my guardsmen and has fled to the court of [From.Liege.GetTitledFirstName].
EVTDESC153	I have been released from the dungeons of [From.GetTitledFirstName]!	Let [From.GetObjectPronoun] cower in fear!
EVTOPTA153	To see the sun again!	I have been released from the dungeons of [From.GetTitledFirstName]!
EVTDESC154	My neck rests uneasily on the headsman's block as I await eternity. [From.GetTitledFirstName] has seen fit to end my life.	To see the sun again!
EVTDESC155	[From.GetTitledFirstName] has decided to spare my wretched life and banish me from the realm.	My neck rests uneasily on the headsman's block as I await eternity. [From.GetTitledFirstName] has seen fit to end my life.
#EVTOPTA154	] curse [From.GetPossPronoun] name!	[From.GetTitledFirstName] has decided to spare my wretched life and banish me from the realm.
EVTOPTA155	I'll be back!	] curse [From.GetPossPronoun] name!
EVTDESC156	I woke up to loud shouts in the hallway outside my chambers. My guards had slain a would-be assassin, but another one got away.	I'll be back!
EVTOPTA156	Who would want me dead?	I woke up to loud shouts in the hallway outside my chambers. My guards had slain a would-be assassin, but another one got away.
EVTDESC40003	My hired killers failed to slay [From.GetTitledFirstName], but my involvement remains unknown.	Who would want me dead?
EVTOPTA40003	Useless thugs...	My hired killers failed to slay [From.GetTitledFirstName], but my involvement remains unknown.
EVTDESC157	Three assassins disguised as pages jumped me on my way to my chambers. The guards saved my life, but not before I was stabbed in the side.	Useless thugs...
EVTOPTA157	Damned murderers!	Three assassins disguised as pages jumped me on my way to my chambers. The guards saved my life, but not before I was stabbed in the side.
EVTOPTA40004	At least [From.GetSubjectPronoun] took a wound	Damned murderers!
EVTDESC158	The pain is almost too much to bear. [Root.Religion.GetRandomGodName] curse the assailant who maimed me and managed to escape!	At least [From.GetSubjectPronoun] took a wound
EVTOPTA158	Vengeance!	The pain is almost too much to bear. [Root.Religion.GetRandomGodName] curse the assailant who maimed me and managed to escape!
EVTOPTA40005	On the bright side, they did maim [From.GetHerHim]!	Vengeance!
EVTDESC159	My trusty cook caught one of the kitchen staff poisoning my wine! Under torture, he admitted that [From.GetTitledFirstName] had paid him.	On the bright side, they did maim [From.GetHerHim]!
EVTOPTA159	I see	My trusty cook caught one of the kitchen staff poisoning my wine! Under torture, he admitted that [From.GetTitledFirstName] had paid him.
EVTDESC40006	My assassins failed to kill [From.GetTitledFirstName]. Even worse, they divulged my name!	I see
EVTOPTA40006	This will not help my reputation	My assassins failed to kill [From.GetTitledFirstName]. Even worse, they divulged my name!
EVTDESC160	I woke up to find a shadowy figure climbing in through the window. I yelled for help and the guards burst in, seizing the assassin just as he stabbed me in the shoulder.	This will not help my reputation
EVTOPTA160	[From.GetTitledFirstName] sent him.	I woke up to find a shadowy figure climbing in through the window. I yelled for help and the guards burst in, seizing the assassin just as he stabbed me in the shoulder.
EVTOPTA40007	Well, [From.GetSubjectPronoun] did take a wound	[From.GetTitledFirstName] sent him.
EVTDESC161	My new chambermaid attacked me with a nasty little dagger. She took an eye out before the guards could subdue her. Before her speedy execution, she gave up the name of her employer - [From.GetBestName].	Well, [From.GetSubjectPronoun] did take a wound
EVTOPTA161	I will blind [From.GetFirstName] before [From.GetSubjectPronoun] dies!	My new chambermaid attacked me with a nasty little dagger. She took an eye out before the guards could subdue her. Before her speedy execution, she gave up the name of her employer - [From.GetBestName].
EVTOPTA40008	At least [From.GetSubjectPronoun] lost an eye!	I will blind [From.GetFirstName] before [From.GetSubjectPronoun] dies!
EVTDESC162	The hooded assassin got me! My vision is fading fast. May my kin avenge me!	At least [From.GetSubjectPronoun] lost an eye!
#EVTOPTA162	] greet my soul!	The hooded assassin got me! My vision is fading fast. May my kin avenge me!
EVTDESC40009	Joyous news! [From.GetTitledFirstName] died choking on [From.GetPossPronoun] blood, not knowing the name of [From.GetPossPronoun] killer.	] greet my soul!
EVTOPTA40009	I must make sure the assassins stay silent...	Joyous news! [From.GetTitledFirstName] died choking on [From.GetPossPronoun] blood, not knowing the name of [From.GetPossPronoun] killer.
EVTDESC163	I am dying! The veal was laced with poison! Such excruciating pain... but I die knowing who murdered me.	I must make sure the assassins stay silent...
EVTOPTA163	A million deaths for [From.GetTitledFirstName]!	I am dying! The veal was laced with poison! Such excruciating pain... but I die knowing who murdered me.
EVTDESC40010	Good news! [From.GetTitledFirstName] died green and bloated like a toad. Unfortunately, the poisoner was apprehended and tortured until he blabbed my name.	A million deaths for [From.GetTitledFirstName]!
EVTOPTA40010	A small price to pay...	Good news! [From.GetTitledFirstName] died green and bloated like a toad. Unfortunately, the poisoner was apprehended and tortured until he blabbed my name.
EVTDESC40020	My spymaster is planning retribution against [FromFrom.GetTitledFirstName] for having attempted the assassination of [From.GetTitledFirstName].	A small price to pay...
EVTOPTA40020	Ask our Liege to settle this.	My spymaster is planning retribution against [FromFrom.GetTitledFirstName] for having attempted the assassination of [From.GetTitledFirstName].
EVTOPTB40020	Order the arrest!	Ask our Liege to settle this.
EVTOPTC40020	An eye for an eye...	Order the arrest!
EVTOPTD40020	It's better to forgive and forget.	An eye for an eye...
EVTTOOLTIP40021	Our liege will evaluate our request.	It's better to forgive and forget.
EVTDESC40021	[From.GetTitledFirstName] is asking us to deal with an assassination attempt inside our realm. 	Our liege will evaluate our request.
#EVTOPTA40021	I will grant [From.GetObjectPronoun] a claim on the perpetrator's titles.	[From.GetTitledFirstName] is asking us to deal with an assassination attempt inside our realm. 
EVTOPTB40021	Off to the jail.	I will grant [From.GetObjectPronoun] a claim on the perpetrator's titles.
EVTOPTD40021	It is not my call...	Off to the jail.
EVTDESC40022	[From.GetTitledFirstName] has judged that our rival now have a legitimate claim on our title.	It is not my call...
EVTOPTA40022	That is just words...	[From.GetTitledFirstName] has judged that our rival now have a legitimate claim on our title.
EVTDESC40023	[From.GetTitledFirstName] has granted us a claim on our rival for their vile assassinations.	That is just words...
EVTOPTA40023	Good News!	[From.GetTitledFirstName] has granted us a claim on our rival for their vile assassinations.
EVTDESC40024	[From.GetTitledFirstName] has ordered the arrest of our rival for their vile assassinations.	Good News!
EVTOPTA40024	Good News!	[From.GetTitledFirstName] has ordered the arrest of our rival for their vile assassinations.
EVTDESC40025	[From.GetTitledFirstName] refuse to deal with our problems with a rival inside [From.GetHerHis] realm.	Good News!
EVTOPTA40025	Is [From.GetSheHe] mad?	[From.GetTitledFirstName] refuse to deal with our problems with a rival inside [From.GetHerHis] realm.
EVTDESC300	I am a bastard!	Is [From.GetSheHe] mad?
EVTDESC301	It seems my amorous adventures have resulted in a child - little [From.GetFirstName] is my spitting image.	I am a bastard!
EVTOPTA301	Legitimize [From.GetHerHim]	It seems my amorous adventures have resulted in a child - little [From.GetFirstName] is my spitting image.
EVTTOOLTIP302	[This.GetFirstName] becomes a member of House [This.Father.GetOnlyDynastyName]	Legitimize [From.GetHerHim]
EVTTOOLTIP303	Lady [This.GetFirstName], the mother, is most pleased	[This.GetFirstName] becomes a member of House [This.Father.GetOnlyDynastyName]
EVTTOOLTIP304	[This.GetTitledFirstName], the mother's husband, is most displeased...	Lady [This.GetFirstName], the mother, is most pleased
EVTOPTB301	Acknowledge [From.GetHerHim] as mine	[This.GetTitledFirstName], the mother's husband, is most displeased...
EVTTOOLTIP307	Lady [This.GetFirstName], the mother, is pleased	Acknowledge [From.GetHerHim] as mine
EVTTOOLTIP308	[Root.Father.GetFirstName]'s wife [Root.Father.Spouse.GetFirstName] is angered	Lady [This.GetFirstName], the mother, is pleased
EVTOPTC301	Denounce the child	[Root.Father.GetFirstName]'s wife [Root.Father.Spouse.GetFirstName] is angered
EVTDESC302	I am [From.GetTitledFirstName]!	Denounce the child
EVTTOOLTIP305	[Root.Father.GetTitledFirstName]'s wife [Root.Father.Spouse.GetTitledFirstName] is enraged	I am [From.GetTitledFirstName]!
EVTDESC303	[From.GetTitledFirstName] has declared our baby trueborn!	[Root.Father.GetTitledFirstName]'s wife [Root.Father.Spouse.GetTitledFirstName] is enraged
