#CODE	ENGLISH	ENGLISH
#TITLE_CREATION_HAS_OWNER	You are not allowed to create or usurp titles while you hold a Temporary title	You are not allowed to create or usurp titles while you hold a Temporary title
opinion_low_caste	Low Caste	Low Caste
restore_ecumenical_patriarchate	Restore the Ecumenical Patriarchate	Restore the Ecumenical Patriarchate
d_followers_arjuna	Followers of Arjuna	Followers of Arjuna
d_followers_arjuna_adj	Arjuna	Arjuna
d_ashokas_chosen	Chosen of Ashoka	Chosen of Ashoka
d_ashokas_chosen_adj	Ashoka	Ashoka
d_bulls_rishabha	Bulls of Rishabha	Bulls of Rishabha
d_bulls_rishabha_adj	Rishabha	Rishabha
job_spiritual_indian_group	Upadhyaya	Upadhyaya
title_master_of_the_royal_elephants	Master of the Royal Elephants	Master of the Royal Elephants
title_master_of_the_royal_elephants_desc	Great monarchs often employ units of war elephants in their army to great effect. But aside from that, the elephant also has great value as a symbol of stability, strength and perserverance. All this makes it very important to keep the ruler's elephants in good health, and the position of Master of the Royal Elephants is a correspondingly prestigious one.	Great monarchs often employ units of war elephants in their army to great effect. But aside from that, the elephant also has great value as a symbol of stability, strength and perserverance. All this makes it very important to keep the ruler's elephants in good health, and the position of Master of the Royal Elephants is a correspondingly prestigious one.
title_royal_builder	Royal Builder	Royal Builder
title_royal_builder_desc	Powerful rulers will always be expanding their palaces and building new ones. The position of Royal Builder holds much prestige, though the holder need not actually have any architectural or engineering skills. It's usually someone else doing the real work.	Powerful rulers will always be expanding their palaces and building new ones. The position of Royal Builder holds much prestige, though the holder need not actually have any architectural or engineering skills. It's usually someone else doing the real work.
title_court_poet_india	Court Poet	Court Poet
title_court_poet_india_desc	Poetry is an art much respected in Indian culture, and thus the Court Poet has always been a position of prestige.	Poetry is an art much respected in Indian culture, and thus the Court Poet has always been a position of prestige.
ca_culture_indian_1	War Elephant Pens	War Elephant Pens
ca_culture_indian_2	War Elephant Pens	War Elephant Pens
ca_culture_indian_3	War Elephant Pens	War Elephant Pens
ca_culture_indian_4	War Elephant Pens	War Elephant Pens
ca_culture_indian_1_desc	This is where the fearsome war elephants are bred and trained.	This is where the fearsome war elephants are bred and trained.
ca_culture_indian_2_desc	This is where the fearsome war elephants are bred and trained.	This is where the fearsome war elephants are bred and trained.
ca_culture_indian_3_desc	This is where the fearsome war elephants are bred and trained.	This is where the fearsome war elephants are bred and trained.
ca_culture_indian_4_desc	This is where the fearsome war elephants are bred and trained.	This is where the fearsome war elephants are bred and trained.
RETTYPE_CUL_INDIAN	Steel Bow Infantry	Steel Bow Infantry
war_elephant_leader	War Elephant Leader	War Elephant Leader
war_elephant_leader_desc	This character has mastered the tactical use of war elephants in battle.	This character has mastered the tactical use of war elephants in battle.
jungle_terrain_leader	Jungle Expert	Jungle Expert
jungle_terrain_leader_desc	This character is an expert at leading troops in the jungle.	This character is an expert at leading troops in the jungle.
hold_diwali_feast_hindu	Hold Diwali Feast	Hold Diwali Feast
hold_diwali_feast_hindu_desc	Diwali is the traditional Indian harvest feast. It celebrates the triumph of light over darkness, good over evil and hope over despair.	Diwali is the traditional Indian harvest feast. It celebrates the triumph of light over darkness, good over evil and hope over despair.
hold_diwali_feast_buddhist	Hold Diwali Feast	Hold Diwali Feast
hold_diwali_feast_buddhist_desc	Diwali is the traditional Indian harvest feast. It celebrates the triumph of light over darkness, good over evil and hope over despair.	Diwali is the traditional Indian harvest feast. It celebrates the triumph of light over darkness, good over evil and hope over despair.
hold_diwali_feast_jain	Hold Diwali Feast	Hold Diwali Feast
hold_diwali_feast_jain_desc	Diwali is the traditional Indian harvest feast. It celebrates the triumph of light over darkness, good over evil and hope over despair. For Jains it is also a time to remember and honor Mahavira, the twenty-fourth Tirthankara.	Diwali is the traditional Indian harvest feast. It celebrates the triumph of light over darkness, good over evil and hope over despair. For Jains it is also a time to remember and honor Mahavira, the twenty-fourth Tirthankara.
hold_diwali_feast_kali_puja	Hold Kali Puja Feast	Hold Kali Puja Feast
hold_diwali_feast_kali_puja_desc	While most of India celebrates Diwali in autumn, the Kali Puja festival is celebrated in the goddess Kali's name by Hindus in parts of northeastern India, and anywhere by those who hold a special love for the goddess of Death, Time and Change.  Rituals in Kali's honor often involve things such as blood and skulls.	While most of India celebrates Diwali in autumn, the Kali Puja festival is celebrated in the goddess Kali's name by Hindus in parts of northeastern India, and anywhere by those who hold a special love for the goddess of Death, Time and Change.  Rituals in Kali's honor often involve things such as blood and skulls.
holding_diwali_feast	Holding Diwali Feast	Holding Diwali Feast
holding_kali_puja_feast	Holding Kali Puja Feast	Holding Kali Puja Feast
convert_to_hinduism	Convert to Hinduism	Convert to Hinduism
convert_to_hinduism_desc	The Indian religions have so many traditions in common, and the people's beliefs are so mixed, that it is not impossible for a person to simply choose to convert from one of the religions to another. Such a choice may only be made once in a lifetime, however.	The Indian religions have so many traditions in common, and the people's beliefs are so mixed, that it is not impossible for a person to simply choose to convert from one of the religions to another. Such a choice may only be made once in a lifetime, however.
convert_to_buddhism	Convert to Buddhism	Convert to Buddhism
convert_to_buddhism_desc	The Indian religions have so many traditions in common, and the people's beliefs are so mixed, that it is not impossible for a person to simply choose to convert from one of the religions to another. Such a choice may only be made once in a lifetime, however.	The Indian religions have so many traditions in common, and the people's beliefs are so mixed, that it is not impossible for a person to simply choose to convert from one of the religions to another. Such a choice may only be made once in a lifetime, however.
convert_to_jainism	Convert to Jainism	Convert to Jainism
convert_to_jainism_desc	The Indian religions have so many traditions in common, and the people's beliefs are so mixed, that it is not impossible for a person to simply choose to convert from one of the religions to another. Such a choice may only be made once in a lifetime, however.	The Indian religions have so many traditions in common, and the people's beliefs are so mixed, that it is not impossible for a person to simply choose to convert from one of the religions to another. Such a choice may only be made once in a lifetime, however.
#convert_indian_branch	Change Religious Branch	Change Religious Branch
convert_indian_branch_desc	A person following any of the Indian religions may convert from one branch of their religion to another. Such a choice may only be made once in a lifetime, however.	A person following any of the Indian religions may convert from one branch of their religion to another. Such a choice may only be made once in a lifetime, however.
EDUCATE_CHARACTER_INTERACTION_6	\n§Y[ChildExtra.GetFirstName]§! might become §Y[AdultExtra.Culture.GetName]§!!	§Y[ChildExtra.GetFirstName]§! might become §Y[AdultExtra.Culture.GetName]§!!
EDUCATE_CHARACTER_INTERACTION_6B	\n§Y[ChildExtra.GetFirstName]§! might become a §Y[AdultExtra.Religion.GetName]§! faithful!	§Y[ChildExtra.GetFirstName]§! might become a §Y[AdultExtra.Religion.GetName]§! faithful!
INTERACTION_IS_DISTANCE_LIMITED	§Y[Recipient.GetTitledFirstName]§! is not too distant to interact with	[Recipient.GetBestName] is not too distant to interact with.
EVTDESC_RoI_110	Hinduism is a diverse religion with four main branches: Shaivism, Vaishnavism, Shaktism and Smartism. As you convert, you must choose one of them.	Hinduism is a diverse religion with four main branches: Shaivism, Vaishnavism, Shaktism and Smartism. As you convert, you must choose one of them.
EVTOPTA_RoI_110	Shaivism, revering Shiva as supreme.	Shaivism, revering Shiva as supreme.
EVTOPTB_RoI_110	Vaishnavism, revering Vishnu as supreme.	Vaishnavism, revering Vishnu as supreme.
EVTOPTC_RoI_110	Shaktism, revering Shakti, the feminine divine, as supreme.	Shaktism, revering Shakti, the feminine divine, as supreme.
EVTOPTD_RoI_110	Smartism, revering the oneness of many gods as supreme.	Smartism, revering the oneness of many gods as supreme.
EVTDESC_RoI_111	Buddhist tradition is marked by immense pluralism, but principally follows three main branches: Mahayana, Vajrayana and Theravada. As you convert, you must choose one of them.	Buddhist tradition is marked by immense pluralism, but principally follows three main branches: Mahayana, Vajrayana and Theravada. As you convert, you must choose one of them.
EVTOPTA_RoI_111	Mahayana, the Great Vehicle.	Mahayana, the Great Vehicle.
EVTOPTB_RoI_111	Vajrayana, of the Two Truths.	Vajrayana, of the Two Truths.
EVTOPTC_RoI_111	Theravada, of the Pali Canon.	Theravada, of the Pali Canon.
EVTDESC_RoI_112	Jainism is a religion with strong traditions divided into two main branches: Digambara and Svetambara. As you convert, you must choose one of them.	Jainism is a religion with strong traditions divided into two main branches: Digambara and Svetambara. As you convert, you must choose one of them.
EVTOPTA_RoI_112	Digambara, the sky-clad.	Digambara, the sky-clad.
EVTOPTB_RoI_112	Svetambara, the white-clad.	Svetambara, the white-clad.
EVTDESC_RoI_117	The two traditions of Jainism are Digambara, the sky-clad, and Svetambara, the white-clad. You have decided to shed the old and step onto a new path.	The two traditions of Jainism are Digambara, the sky-clad, and Svetambara, the white-clad. You have decided to shed the old and step onto a new path.
EVTOPTA_RoI_117	I am now a Digambara Jain.	I am now a Digambara Jain.
EVTOPTB_RoI_117	I am now a Svetambara Jain.	I am now a Svetambara Jain.
evt_relative_might_revolt	§RWARNING:§! [From.GetFirstName] might not passively accept your decision!	§RWARNING:§! [From.GetFirstName] might not passively accept your decision!
EVTOPTD37001	Diplomatically refuse	Diplomatically refuse
EVTOPTB37007	I WILL have what is mine!	I WILL have what is mine!
EVTDESC37011	[From.GetBestName] - a disgruntled noble from the court of [From.Liege.GetTitledName] - has appeared in my realm, furious that [From.GetPossPronoun] [FromScope.GetLiegeRelation] would deny [From.GetObjectPronoun] a title of [From.GetPossPronoun] own. [From.GetTitledFirstName] intends to raise an army and take the [From.Liege.PrimaryTitle.GetFullName] by force!	[From.GetBestName] - a disgruntled noble from the court of [From.Liege.GetTitledName] - has appeared in my realm, furious that [From.GetPossPronoun] [FromScope.GetLiegeRelation] would deny [From.GetObjectPronoun] a title of [From.GetPossPronoun] own. [From.GetTitledFirstName] intends to raise an army and take the [From.Liege.PrimaryTitle.GetFullName] by force!
EVTOPTA37011	I guess I can allow that...	I guess I can allow that...
EVTDESC37012	[FromFrom.GetTitledFirstName] is so furious over my refusal to grant [FromFrom.GetObjectPronoun] a title that [FromFrom.GetSubjectPronoun] has left the realm for the court of [From.GetTitledName], letting it be known that [FromFrom.GetSubjectPronoun] is hiring troops to take what is 'rightfully' [FromFrom.GetPossPronoun] by force of arms!	[FromFrom.GetTitledFirstName] is so furious over my refusal to grant [FromFrom.GetObjectPronoun] a title that [FromFrom.GetSubjectPronoun] has left the realm for the court of [From.GetTitledName], letting it be known that [FromFrom.GetSubjectPronoun] is hiring troops to take what is 'rightfully' [FromFrom.GetPossPronoun] by force of arms!
EVTOPTA37012	The traitorous git!	The traitorous git!
nestorian_DESC	Nestorianism is an early Christian branch which states that Christ has two separate natures - one divine and one human. This is the opposite of the Monophysite position where Christ has but a single nature. The nominal head of the Nestorian Church is the Patriarch of the East.	Nestorianism is an early Christian branch which states that Christ has two separate natures - one divine and one human. This is the opposite of the Monophysite position where Christ has but a single nature. The nominal head of the Nestorian Church is the Patriarch of the East. Defining features in-game:\n§Y*§! There is always a Patriarch of the East, even if Antioch falls\n§Y*§! Multiple Patriarchs - the five Pentarchs and Autocephalous Patriarchs under Kings\n§Y*§! Patriarchs can grant divorces\n§Y*§! The Patriarch of the East can grant the Invasion Casus Belli\n§Y*§! Patriarchs can Excommunicate Nestorian characters
THE_DEMIURGE	the Demiurge	the Demiurge
paulician	Paulician	Paulician
paulician_DESC	Paulicianism is Christian Gnostic heresy influenced by Manichaeism, originating in Armenia. In the game, it is treated as an Orthodox heresy.	Paulicianism is Christian Gnostic heresy influenced by Manichaeism, originating in Armenia. In the game, it is treated as an Orthodox heresy. Defining features in-game:\n§Y*§! There is always a Paulician Patriarch, even if Constantinople falls\n§Y*§! Multiple Patriarchs - the five Pentarchs and Autocephalous Patriarchs under Kings\n§Y*§! Patriarchs can grant divorces\n§Y*§! The Patriarch of the East can grant the Invasion Casus Belli\n§Y*§! Patriarchs can Excommunicate Paulician characters
d_paulician	The Paulician Patriarchate	The Paulician Patriarchate
d_paulician_adj	Paulician	Paulician
c_lori_adj	Lorian	Lorian
messalian	Messalian	Messalian
messalian_DESC	The Messalians, or Euchites ("Those who Pray"), are a heretical Christian sect that originated in Mesopotamia, influenced by dualistic faiths like Zoroastrianism. Messalians believe that God can be perceived by the carnal senses, and that this perception is necessary to reach perfection. Each person is born with an inner demon, and only intense prayer can drive it out. They also believe that Lucifer is the elder son of God and a force for good, and that incest is sacred since it was practised by the children of Adam and Eve. They have no formal rites and no strict church hierarchy.	The Messalians, or Euchites ("Those who Pray"), are a heretical Christian sect that originated in Mesopotamia, influenced by dualistic faiths like Zoroastrianism. Messalians believe that God can be perceived by the carnal senses, and that this perception is necessary to reach perfection. Each person is born with an inner demon, and only intense prayer can drive it out. They also believe that Lucifer is the elder son of God and a force for good, and that incest is sacred since it was practised by the children of Adam and Eve. They have no formal rites and no strict church hierarchy. Defining features in-game:\n§Y*§! There is no religious head\n§Y*§! Messalians may install women as priests\n§Y*§! Rulers can marry close kin to improve vassal opinions
THE_ASCETICUS	The Asceticus	The Asceticus
THE_PANTOKRATOR	the Pantokrator	the Pantokrator
GENERAL_CLOSE_KIN_UNION	Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to all vassals of the Faith.	Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to all vassals of the Faith.
EVTDESC502	Like the children of Adam and Eve at the dawn of time, [From.GetTitledFirstName] and [From.GetPossPronoun] [GetFromVsNewRelation] [New.GetTitledFirstName] have formed a sacred union, pleasing to [From.Religion.GetRandomGodName]. We can collect a Royal Aid Duty to pay for the ceremonies.	Like the children of Adam and Eve at the dawn of time, [From.GetTitledFirstName] and [From.GetPossPronoun] [GetFromVsNewRelation] [New.GetTitledFirstName] have formed a sacred union, pleasing to [From.Religion.GetRandomGodName]. We can collect a Royal Aid Duty to pay for the ceremonies.
PAULICIAN_PATRIARCH	Paulician Patriarch	Paulician Patriarch
d_saint_addai	Order of Saint Addai	Order of Saint Addai
d_saint_addai_adj	Addaian	Addaian
expelled_d_saint_addai	Expelled the Order of St Addai	Expelled the Order of St Addai
expel_order_of_addai	Expel the Order of St Addai	Expel the Order of St Addai
expel_order_of_addai_desc	I can drive the Order of Saint Addai from my realm and seize their castles. However, it is a very impious thing to do...	I can drive the Order of Saint Addai from my realm and seize their castles. However, it is a very impious thing to do...
donate_money_to_order_of_addai	Donate 300¤ to the Order of St Addai	Donate 300¤ to the Order of St Addai
donate_money_to_order_of_addai_desc	I can donate money to the Order of Saint Addai in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.	I can donate money to the Order of Saint Addai in exchange for Piety and lifelong respect from the [Root.Religion.GetName] Church.
EVTTITLE_SOA_2809	The Order of Saint Addai	The Order of Saint Addai
EVTDESC_SOA_2809	The imperative to protect the Holy Places for Nestorian Christianity has caused the Catholicos, [Root.RelHead.GetTitledName], to declare the creation of a holy brotherhood of warrior monks - the Order of Saint Addai, named after the apostle who spread Christianity to Syria and Mesopotamia. They stand ready to smite heathens and infidels and protect the righteous in the name of any [Root.Religion.GetName] ruler who is willing to provide for their upkeep.	The imperative to protect the Holy Places for Nestorian Christianity has caused the Catholicos, [Root.RelHead.GetTitledName], to declare the creation of a holy brotherhood of warrior monks - the Order of Saint Addai, named after the apostle who spread Christianity to Syria and Mesopotamia. They stand ready to smite heathens and infidels and protect the righteous in the name of any [Root.Religion.GetName] ruler who is willing to provide for their upkeep.
EVTOPTA_SOA_2809	May they be ever victorious!	May they be ever victorious!
EVTOPTB_SOA_2809	More sheep to the slaughter!	More sheep to the slaughter!
EVTDESC_SOA_2831	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Order of Saint Addai in their struggle against the infidel, even though this will forever disinherit him.	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Order of Saint Addai in their struggle against the infidel, even though this will forever disinherit him.
EVTTOOLTIP_SOA_2832	[This.GetTitledFirstName] becomes a Knight of Saint Addai.	[This.GetTitledFirstName] becomes a Knight of Saint Addai.
EVTDESC_SOA_2853	Most righteous [Root.GetTitledFirstName], the Order of Saint Addai needs more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nPax Christi,\nGrand Master [From.GetFirstName]	Most righteous [Root.GetTitledFirstName], the Order of Saint Addai needs more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nPax Christi,\nGrand Master [From.GetFirstName]
EVTDESC_SOA_2854	The Order of Saint Addai has constructed a castle in [Root.GetName]!	The Order of Saint Addai has constructed a castle in [Root.GetName]!
EVTDESC_SOA_2861	Your majesty, this antagonism is completely unwarranted! The Order of Saint Addai serve Christ, but, one has to wonder, do you?\n\nWith anger and sadness,\nGrand Master [From.GetFirstName]	Your majesty, this antagonism is completely unwarranted! The Order of Saint Addai serve Christ, but, one has to wonder, do you?\n\nWith anger and sadness,\nGrand Master [From.GetFirstName]
EVTDESC60200	A young warrior, Seljuk, son of Toqaq of the Iron Bow of the Kinik tribe, has become something of a legend after performing several astounding feats of valor. I feel compelled to give this remarkable man a place at my court.	A young warrior, Seljuk, son of Toqaq of the Iron Bow of the Kinik tribe, has become something of a legend after performing several astounding feats of valor. I feel compelled to give this remarkable man a place at my court.
EVTOPTA60200	He bears watching...	He bears watching...
EVTDESC60201	My men are restless and my ambitions must no longer be delayed. I must choose a juicy target and call my tribe to war!	My men are restless and my ambitions must no longer be delayed. I must choose a juicy target and call my tribe to war!
EVTOPTA60201	Merv is best!	Merv is best!
EVTOPTB60201	Khorasan seems natural	Khorasan seems natural
EVTOPTC60201	Dihistan is rich and weak	Dihistan is rich and weak
EVTOPTD60201	Samarkand first!	Samarkand first!
EVTOPTE60201	Balkh... yes.	Balkh... yes.
EVTDESC60205	[From.GetBestName], perhaps the most able warrior in my realm, has called his tribe and many other hopefuls to war, declaring his intention to take the [FromFrom.Duchy.GetFullBaseName] from [FromFrom.Holder.TopLiege.GetBestName]!	[From.GetBestName], perhaps the most able warrior in my realm, has called his tribe and many other hopefuls to war, declaring his intention to take the [FromFrom.Duchy.GetFullBaseName] from [FromFrom.Holder.TopLiege.GetBestName]!
EVTOPTA60205	He will be missed, but I wish him luck!	He will be missed, but I wish him luck!
EVTDESC60204	My tribe, the fighting Kinik, stand behind me as I set out to conquer [From.Duchy.GetFullBaseName]. Let [From.Holder.TopLiege.GetTitledFirstName] tremble in fear!	My tribe, the fighting Kinik, stand behind me as I set out to conquer [From.Duchy.GetFullBaseName]. Let [From.Holder.TopLiege.GetTitledFirstName] tremble in fear!
EVTOPTA60204	Saddle my horse!	Saddle my horse!
EVTNAME60206	The Great Seljuk	The Great Seljuk
EVTDESC60206	In the steppes of Central Asia, a great warrior has emerged as the leader of the Kinik tribe of the Oghuz Turks, demonstrating his brilliance by winning a war against the mighty [FromFrom.GetTitledName]. Other tribes have taken notice and warriors of all stripes are flocking to his banners in great numbers. Seljuk Khan has promised them a fortune in plunder in his future conquests!	In the steppes of Central Asia, a great warrior has emerged as the leader of the Kinik tribe of the Oghuz Turks, demonstrating his brilliance by winning a war against the mighty [FromFrom.GetTitledName]. Other tribes have taken notice and warriors of all stripes are flocking to his banners in great numbers. Seljuk Khan has promised them a fortune in plunder in his future conquests!
EVTOPTA60206	This is only the beginning!	This is only the beginning!
EVTOPTB60206	He is a credit to all Turks!	He is a credit to all Turks!
EVTOPTC60206	Turkish khans come and go...	Turkish khans come and go...
EVTDESC60207	Turkish warriors from the homeland keep arriving in great numbers, hoping to serve in the armies of the great Seljuk's successor. With men such as these, I can accomplish anything!	Turkish warriors from the homeland keep arriving in great numbers, hoping to serve in the armies of the great Seljuk's successor. With men such as these, I can accomplish anything!
EVTOPTA60207	Seljuk would be proud of his heir!	Seljuk would be proud of his heir!
EVTDESC60307	Horsemen from the great steppes keep arriving in great numbers, hoping to serve in the armies of Timur Khan's successor. With warriors like these, I can accomplish anything!	Horsemen from the great steppes keep arriving in great numbers, hoping to serve in the armies of Timur Khan's successor. With warriors like these, I can accomplish anything!
EVTOPTA60307	The Iron Khan would be proud!	The Iron Khan would be proud!
EVTDESC60300	A brilliant horseman and daring raider by the name of Timur has distinguished himself several times now. My commanders all agree that I should give this remarkable young man a chance to prove himself as a leader, clubfoot or no.	A brilliant horseman and daring raider by the name of Timur has distinguished himself several times now. My commanders all agree that I should give this remarkable young man a chance to prove himself as a leader, clubfoot or no.
EVTOPTA60300	A potential rival?	A potential rival?
EVTOPTA60305	As long as he does not turn on me!	As long as he does not turn on me!
EVTDESC60304	As I've fought for my liege I have gathered a large and loyal following, brave horsemen all. Rather than rise up against my old liege, I've decided to strike out for [From.Duchy.GetFullBaseName]. Let [From.Holder.TopLiege.GetTitledFirstName] tremble in fear!	As I've fought for my liege I have gathered a large and loyal following, brave horsemen all. Rather than rise up against my old liege, I've decided to strike out for [From.Duchy.GetFullBaseName]. Let [From.Holder.TopLiege.GetTitledFirstName] tremble in fear!
EVTNAME60306	The Iron Khan	The Iron Khan
EVTDESC60306	Another great Khan is on the rise in Central Asia. Timur, called 'the Lame' due to his clubfoot, has proven himself to the Turco-Mongol tribes of the region. He seems intent on creating an empire to rival that of the legendary Genghis Khan himself, as he has just finished crushing [FromFrom.GetTitledName] in a brutal war. Tens of thousands of skilled horsemen have gathered under his banner!	Another great Khan is on the rise in Central Asia. Timur, called 'the Lame' due to his clubfoot, has proven himself to the Turco-Mongol tribes of the region. He seems intent on creating an empire to rival that of the legendary Genghis Khan himself, as he has just finished crushing [FromFrom.GetTitledName] in a brutal war. Tens of thousands of skilled horsemen have gathered under his banner!
EVTOPTA60306	I am Temujin reborn!	I am Temujin reborn!
EVTOPTB60306	He is a credit to all Mongols!	He is a credit to all Mongols!
EVTOPTC60306	These horselords sure are persistent!	These horselords sure are persistent!
IS_NOT_WITHIN_DIPLO_RANGE	Is NOT within Diplomatic Range	Is NOT within Diplomatic Range
IS_WITHIN_DIPLO_RANGE	Is within Diplomatic Range	Is within Diplomatic Range
manifest_destiny_invasion_desc	My manifest destiny allows me to invade §Y$TARGET$§!. If successful, everything §Y$TARGET$§! controls within the §Y$TITLE$§! will be taken or vassalized.	My manifest destiny allows me to invade §Y$TARGET$§!. If successful, everything §Y$TARGET$§! controls within the §Y$TITLE$§! will be taken or vassalized.
emperor_dravidian_group	Samrat	Samrat
emperor_female_dravidian_group	Samrajni	Samrajni
king_dravidian_group	Maharaja	Maharaja
king_female_dravidian_group	Maharani	Maharani
duke_dravidian_group	Raja	Raja
duke_female_dravidian_group	Rani	Rani
count_dravidian_group	Thakur	Thakur
count_female_dravidian_group	Thakurani	Thakurani
baron_dravidian_group	Damapati	Damapati
baron_female_dravidian_group	Damapatni	Damapatni
title_prince_c_indian	Rajkumar	Rajkumar
title_prince_female_c_indian	Rajkumari	Rajkumari
duchy_dravidian_group	Raj	Raj
county_dravidian_group	Thikana	Thikana
barony_dravidian_group	Dama	Dama
duchy_of_dravidian_group	Raj of	Raj of
county_of_dravidian_group	Thikana of	Thikana of
barony_of_dravidian_group	Dama of	Dama of
emperor_indo_aryan_group	Samrat	Samrat
emperor_female_indo_aryan_group	Samrajni	Samrajni
king_indo_aryan_group	Maharaja	Maharaja
king_female_indo_aryan_group	Maharani	Maharani
duke_indo_aryan_group	Raja	Raja
duke_female_indo_aryan_group	Rani	Rani
count_indo_aryan_group	Thakur	Thakur
count_female_indo_aryan_group	Thakurani	Thakurani
baron_indo_aryan_group	Damapati	Damapati
baron_female_indo_aryan_group	Damapatni	Damapatni
title_prince_indo_aryan_group	Rajkumar	Rajkumar
title_prince_female_indo_aryan_group	Rajkumari	Rajkumari
duchy_indo_aryan_group	Raj	Raj
county_indo_aryan_group	Thikana	Thikana
barony_indo_aryan_group	Dama	Dama
duchy_of_indo_aryan_group	Raj of	Raj of
county_of_indo_aryan_group	Thikana of	Thikana of
barony_of_indo_aryan_group	Dama of	Dama of
temple_kingdom_of_hindu	Temple of	Temple of
temple_kingdom_of_buddhist	Monastery of	Monastery of
temple_kingdom_of_jain	Monastery of	Monastery of
temple_duchy_of_hindu	Temple of	Temple of
temple_duchy_of_buddhist	Monastery of	Monastery of
temple_duchy_of_jain	Monastery of	Monastery of
temple_county_of_hindu	Temple of	Temple of
temple_county_of_buddhist	Monastery of	Monastery of
temple_county_of_jain	Monastery of	Monastery of
#temple_barony_of_hindu	Temple of	Temple of
#temple_barony_of_buddhist	Monastery of	Monastery of
#temple_barony_of_jain	Monastery of	Monastery of
temple_county_of_indian_group	Theocracy of	Theocracy of
temple_duchy_of_indian_group	Theocracy of	Theocracy of
temple_kingdom_of_indian_group	Theocracy of	Theocracy of
temple_baron_hindu	Pujari	Pujari
temple_baron_buddhist	Bhikkhu	Bhikkhu
temple_baron_jain	Nirgrantha	Nirgrantha
temple_count_hindu	Pujari	Pujari
temple_count_buddhist	Bhikkhu	Bhikkhu
temple_count_jain	Nirgrantha	Nirgrantha
temple_duke_hindu	Pujari	Pujari
temple_duke_buddhist	Bhikkhu	Bhikkhu
temple_duke_jain	Nirgrantha	Nirgrantha
temple_king_hindu	Pujari	Pujari
temple_king_buddhist	Bhikkhu	Bhikkhu
temple_king_jain	Nirgrantha	Nirgrantha
SM_WINDOWMODE	Window Mode	Window Mode
FULLSCREEN	Fullscreen	Fullscreen
BORDERLESS_WINDOW	Borderless	Borderless
WINDOWED	Windowed	Windowed
married_monkey	This Character Married a Monkey...	This character married a monkey...
#desc_good_times	This character had a great time!	This character had a great time!
good_hunt	A Successful Hunt	A successful hunt.
HAS_LOWER_PIETY_THAN	Has Lower [Player.Religion.GetPietyName] than 	Has Lower [Player.Religion.GetPietyName] than 
HAS_HIGHER_PIETY_THAN	Has [Player.Religion.GetPietyName] of at least 	Has [Player.Religion.GetPietyName] of at least 
PIETY_EFFECT	$DIRECTION$ $VALUE$ $PIETYNAME$.\n	$DIRECTION$ $VALUE$ $PIETYNAME$.\n
LIEGE_PIETY_BUILDING	$PIETYNAME$ to Liege: §G+$VALUE$§!	$PIETYNAME$ to Liege: §G+$VALUE$§!
LIEGE_PIETY_SELF	$PIETYNAME$ from own buildings: §G+$VALUE$§!	$PIETYNAME$ from own buildings: §G+$VALUE$§!
LIEGE_PIETY	$PIETYNAME$ from vassal buildings: §G+$VALUE$§!	$PIETYNAME$ from vassal buildings: §G+$VALUE$§!
STAT_PIETY_HONOR	Honor	Honor
STAT_PIETY_DESC_HONOR	Honor is respected by the clergy and especially the head of your Religion. It can be spent to petition the head of your Religion. Like Prestige, it is added to your score on the death of a ruler.	Honor is respected by the clergy and especially the head of your Religion. It can be spent to petition the head of your Religion. Like Prestige, it is added to your score on the death of a ruler.
MONTHLY_PIETY_HONOR	Monthly Honor Increase	Monthly Honor Increase
LIEGE_IS_JAIN	Liege is Jain	Liege is Jain
HAS_HEIR_DESIGNATION	Is Able to Designate Heir	Is Able to Designate Heir
HAS_NOT_HEIR_DESIGNATION	Is Unable to Designate Heir	Is Unable to Designate Heir
title_designated_heir	Designated Heir	Designated Heir
title_designated_heir_desc	Designate this Character as Your Heir	Designate this Character as Your Heir
COUNTS_AS_DESIGNATED_HEIR	Marks the Character as the Designated Heir	Marks the Character as the Designated Heir
PIECE	Piece	Piece
AIREASON_WILL_NOT_MARRY_OTHER_CAST	§Y[GetTitledFirstName]§! must not marry someone from another Caste	§Y[GetTitledFirstName]§! must not marry someone from another Caste
STAT_PIETY_KARMA	Karma	Karma
STAT_PIETY_DESC_KARMA	Karma is respected by the clergy and monastics of your religion. Like Prestige, it is added to your score on the death of a ruler.	Karma is respected by the clergy and monastics of your religion. Like Prestige, it is added to your score on the death of a ruler.
MONTHLY_PIETY_KARMA	Monthly Karma Increase	Monthly Karma Increase
STAT_PIETY_PURITY	Purity	Purity
