#CODE	ENGLISH	GALEGO
e_germany	Germania	Germania
EVTOPTA_CM_4	They are Germans now.	They are Germans now.
EVTDESC_CM_5	The Franks in the county of [Root.GetName] have now adopted enough of latin customs that they can no longer be recognized as Germanic. The scholars call them 'French'.	The Franks in the province of [Root.GetName] have now adopted enough of latin customs that they can no longer be recognized as Germanic. The scholars call them 'French'.
EVTOPTA_CM_5	Such are the times.	Such are the times.
EVTDESC_CM_6	Under Latin influence, the Visigothic population in the county of [Root.GetName] have now adopted new speech and new customs, becoming Occitan in culture.	Under Latin influence, the Visigothic population in the province of [Root.GetName] have now adopted new speech and new customs, becoming Occitan in culture.
EVTOPTA_CM_6	Occitans, I see...	Occitans, I see...
EVTDESC_CM_7	The Visigoths in various regions are slowly developing unique local identities with distinctive speech and customs. The latest news is that the county of [Root.GetName] has become Castilian in culture.	The Visigoths in various regions are slowly developing unique local identities with distinctive speech and customs. The latest news is that the province of [Root.GetName] has become Castilian in culture.
EVTOPTA_CM_7	The times are changing.	The times are changing.
EVTDESC_CM_8	The Visigoths in various regions are slowly developing unique local identities with distinctive speech and customs. The latest news is that the county of [Root.GetName] has become Catalan in culture.	The Visigoths in various regions are slowly developing unique local identities with distinctive speech and customs. The latest news is that the province of [Root.GetName] has become Catalan in culture.
EVTOPTA_CM_8	The times are changing.	The times are changing.
EVTDESC_CM_9	Through foreign trade and Visigothic influence new traditions are evolving among the Suebi. This is highly noticeable in the county of [Root.GetName], which is now Portuguese in culture.	Through foreign trade and Visigothic influence new traditions are evolving among the Suebi. This is highly noticeable in the province of [Root.GetName], which is now Portuguese in culture.
EVTOPTA_CM_9	The times are changing.	The times are changing.
EVTDESC_CM_10	The dynamic society in Muslim Spain is giving rise to a new cultural identity. Thus the people in the county of [Root.GetName] are now calling themselves Andalusian.	The dynamic society in Muslim Spain is giving rise to a new cultural identity. Thus the people in the province of [Root.GetName] are now calling themselves Andalusian.
EVTOPTA_CM_10	Something distinct and truly Spanish.	Something distinct and truly Spanish.
TRIGGER_DYNASTY_HEAD	Head of Dynasty	Head of Dynasty
NUM_OF_MAX_SETTLEMENTS_AT_LEAST	Max holdings at least §Y$VAL$§!	Max holdings at least §Y$VAL$§!
NUM_OF_MAX_SETTLEMENTS_LESS_THAN	Max holdings less than §Y$VAL$§!	Max holdings less than §Y$VAL$§!
NUM_OF_EMPTY_HOLDINGS_AT_LEAST	Empty holdings at least §Y$VAL$§!	Empty holdings at least §Y$VAL$§!
NUM_OF_EMPTY_HOLDINGS_LESS_THAN	Empty holdings less than §Y$VAL$§!	Empty holdings less than §Y$VAL$§!
DONT_BORDERS_MAJOR_RIVER	Does NOT border major river	Does NOT border major river
BORDERS_MAJOR_RIVER	Borders major river	Borders major river
SET_GRAPHICAL_CULTURE	Set graphical culture to §Y$NAME$§!	Set graphical culture to §Y$NAME$§!
NOT_IS_LOOTING	Is NOT looting	Is NOT looting
IS_LOOTING	Is looting	Is looting
NOT_IS_LOOTING_IN	Is NOT looting in §Y$PROVINCE$§!	Is NOT looting in §Y$PROVINCE$§!
IS_LOOTING_IN	Is looting in §Y$PROVINCE$§!	Is looting in §Y$PROVINCE$§!
opinion_brother	Brother	Brother
opinion_half_brother	Half-brother	Half-brother
opinion_sister	Sister	Sister
opinion_half_sister	Half-sister	Half-sister
opinion_grandfather	Grandfather	Grandfather
opinion_grandmother	Grandmother	Grandmother
opinion_grandchild	Grandchild	Grandchild
opinion_uncle	Uncle	Uncle
opinion_aunt	Aunt	Aunt
opinion_nephew	Nephew	Nephew
opinion_niece	Niece	Niece
NOT_IS_ALLIED_WITH	Is NOT allied with §Y$NAME$§!	Is NOT allied with §Y$NAME$§!
IS_ALLIED_WITH	Is allied with §Y$NAME$§!	Is allied with §Y$NAME$§!
#ANY_ALLIED_CHARACTER_STARTS	Any Allied Character	Any Allied Character
HINT_REL_VIEW_TEXT_3_CHRISTIAN	Many of the Christian faiths have Patriarchates as well as a religious head. Autocephalous Patriarchs existed as Patriarch rulers for their kingdom, and therefore different realms can have different religious heads even though they share the same religion.	Many of the Christian faiths have Patriarchates as well as a religious head. Autocephalous Patriarchs existed as Patriarch rulers for their kingdom, and therefore different realms can have different religious heads even though they share the same religion.
HINT_REL_VIEW_TEXT_4_CHRISTIAN	The Iconoclast faith does not initially have a Patriarch. They can, however, form a Patriarchate if Constantinople is held. Furthermore, Orthodox rulers of the Byzantine Empire can mend the Great Schism between the Orthodox and Catholic churches by controlling all five Pentarchs.	The Iconoclast faith does not initially have a Patriarch. They can, however, form a Patriarchate if Constantinople is held. Furthermore, Orthodox rulers of the Byzantine Empire can mend the Great Schism between the Orthodox and Catholic churches by controlling all five Pentarchs.
HINT_REL_VIEW_TEXT_3_CHRISTIAN_NOHEAD	Some of the Christian heresies have no religious head. This applies to, for example, the Cathars, Waldensians, Lollards, Bogomilists and Messalians.	Some of the Christian heresies have no religious head. This applies to, for example, the Cathars, Waldensians, Lollards, Bogomilists and Messalians.
HINT_REL_VIEW_TEXT_4_CHRISTIAN_NOHEAD	Among these religions, the Cathar faith stands out since they even allowed women to be priests. Furhtermore does the Messalian stands out since they did not only allow female priests, but also close kin marriage similar to the Zoroastrians.	Among these religions, the Cathar faith stands out since they even allowed women to be priests. Furhtermore does the Messalian stands out since they did not only allow female priests, but also close kin marriage similar to the Zoroastrians.
HINT_REL_VIEW_TEXT_3_CATHOLIC	The Catholic faith is a bit special since the Pope is considered God's representative on Earth. He has more powers than other religious heads, but there is a catch - many Bishops feel more loyal to him than to their secular liege, and will send their taxes to Rome. One way around this problem is to set up an Antipope - a puppet pope who will do what he's told.	The Catholic faith is a bit special since the Pope is considered God's representative on Earth. He has more powers than other religious heads, but there is a catch - many Bishops feel more loyal to him than to their secular liege, and will send their taxes to Rome. One way around this problem is to set up an Antipope - a puppet pope who will do what he's told.
HINT_REL_VIEW_TEXT_4_CATHOLIC	Another way of ensuring friendly Bishops is to change the Kingdom law to Crown or Free Investiture Law and nominate loyalists to your bishoprics.	Another way of ensuring friendly Bishops is to change the Kingdom law to Crown or Free Investiture Law and nominate loyalists to your bishoprics.
HINT_REL_VIEW_TEXT_3_ZOROASTRIAN	Zoroastrian rulers can please their vassals with close kin marriage in order to strenghten their dynasties. Zoroastrians are more resilient to becoming inbred, but the risk of this happening does still exist.	Zoroastrian rulers can please their vassals with close kin marriage in order to strenghten their dynasties. Zoroastrians are more resilient to becoming inbred, but the risk of this happening does still exist.
HINT_REL_VIEW_TEXT_4_ZOROASTRIAN	The High Priesthood of the Zoroastrian faith has ceased to exist, but can be reinstituted if the Persian Empire is once again held by a Zoroastrian ruler.	The High Priesthood of the Zoroastrian faith has ceased to exist, but can be reinstituted if the Persian Empire is once again held by a Zoroastrian ruler.
HINT_REL_VIEW_TEXT_3_INDIAN	The Indian religions have no religious heads, and they are all somewhat accepting towards other Indian religions and will find it harder to convert these. They can however subjugate each other, and some of them also allow Holy Wars against non-Indian religions.	The Indian religions have no religious heads, and they are all somewhat accepting towards other Indian religions and will find it harder to convert these. They can however subjugate each other, and some of them also allow Holy Wars against non-Indian religions.
HINT_REL_VIEW_TEXT_4_INDIAN	Despite their similarities, the Indian religions also have their distinct differences. Jain rulers can build the most stable realms, but are also the least aggressive and have no Holy Wars. Hinduism is the most warlike religion of the three, but have a caste system which restricts the status and relationships of characters. Finally, the Buddhist faith gives a large bonus to technological advancement.	Despite their similarities, the Indian religions also have their distinct differences. Jain rulers can build the most stable realms, but are also the least aggressive and have no Holy Wars. Hinduism is the most warlike religion of the three, but have a caste system which restricts the status and relationships of characters. Finally, the Buddhist faith gives a large bonus to technological advancement.
HINT_REL_VIEW_TEXT_3_JEWISH	At game start, the Jewish faith has no religious head. You can, however, change this by restoring the High Priesthood. This can be done by any Jewish ruler who owns the county of Jerusalem.	At game start, the Jewish faith has no religious head. You can, however, change this by restoring the High Priesthood. This can be done by any Jewish ruler who owns the province of Jerusalem.
HINT_REL_VIEW_TEXT_4_JEWISH	The Kingdom of Israel can be restored if the lands belonging to the promised land are controlled by a Jewish ruler.	The Kingdom of Israel can be restored if the lands belonging to the promised land are controlled by a Jewish ruler.
HINT_REL_VIEW_TEXT_3_PAGAN	The Pagan faiths differs from the other religions in that they start as very decentralized and have no head of religion. Rulers following these unreformed religions are forced to use Gavelkind succession and can not use the Holy War Casus Belli. However, unreformed pagans get a defensive supply limit penalty for religious enemies in their provinces, and a mighty subjugation Casus Belli towards other pagans that they can use once per lifetime.	The Pagan faiths differs from the other religions in that they start as very decentralized and have no head of religion. Rulers following these unreformed religions are forced to use Gavelkind succession and can not use the Holy War Casus Belli. However, unreformed pagans get a defensive supply limit penalty for religious enemies in their provinces, and a mighty subjugation Casus Belli towards other pagans that they can use once per lifetime.
HINT_REL_VIEW_TEXT_4_PAGAN	Pagan religions can be reformed by controlling at least three holy sites for that religion and having at least 50% Moral Authority, or by holding all five holy sites. The one who reforms a pagan religion in some cases become its new head. Be aware, however, that not all your vassals might agree with the reformation and some might see you as a heretic.	Pagan religions can be reformed by controlling at least three holy sites for that religion and having at least 50% Moral Authority, or by holding all five holy sites. The one who reforms a pagan religion in some cases become its new head. Be aware, however, that not all your vassals might agree with the reformation and some might see you as a heretic.
HINT_REL_VIEW_TEXT_3_MUSLIM	Muslim dynasties risk growing more and more decadent unless their men hold lands or they are victorious in wars. Increases in decadence can be prevented by getting rid of decadent Dynasty members or by simply giving land to them..	Muslim dynasties risk growing more and more decadent unless their men hold lands or they are victorious in wars. Increases in decadence can be prevented by getting rid of decadent Dynasty members or by simply giving land to them..
HINT_REL_VIEW_TEXT_4_MUSLIM	Muslim leaders have a powerful invasion Casus Belli that can be used against neighbouring realms if their leaders do not follow the True Faith. Successful invasions will not only grant you the contested provinces, but also any other of the enemy's territories that you occupy.	Muslim leaders have a powerful invasion Casus Belli that can be used against neighbouring realms if their leaders do not follow the True Faith. Successful invasions will not only grant you the contested provinces, but also any other of the enemy's territories that you occupy.
DECADENCE_DESC	All adult Muslim men below the rank of Count risk acquiring the §YDecadent§! trait, especially those of low character. The amount of Decadence these men incur on their dynasty depends on their own social status as well as the total amount of Holdings controlled by the Dynasty. Decadence affects the tax income from your demesne and the morale damage that demesne levies take in battle. Ways to halt or decrease Decadence include:\n§G*§! Granting landed titles to dynasty members\n§G*§! Successfully convincing decadent Dynasty members to abandon their sinful ways.\n§G*§! Imprisoning, banishing or killing decadent Dynasty members\n§G(The Religion View contains a list of decadent dynasty members.)§!	All adult Muslim men below the rank of Count risk acquiring the §YDecadent§! trait, especially those of low character. The amount of Decadence these men incur on their dynasty depends on their own social status as well as the total amount of Holdings controlled by the Dynasty. Decadence affects the tax income from your demesne and the morale damage that demesne levies take in battle. Ways to halt or decrease Decadence include:\n§G*§! Granting landed titles to dynasty members\n§G*§! Successfully convincing decadent Dynasty members to abandon their sinful ways.\n§G*§! Imprisoning, banishing or killing decadent Dynasty members\n§G(The Religion View contains a list of decadent dynasty members.)§!
opinion_favorite	Favorite	Favorite
FILTER_SAME_REL	My Religion	My Religion
FILTER_SAME_REL_GROUP	My Religion Group	My Religion Group
FILTER_NOT_SAME_REL	Not My Religion	Not My Religion
FILTER_NOT_SAME_REL_GROUP	Not My Religion Group	Not My Religion Group
FILTER_ANY_REL	Any Religion	Any Religion
FILTER_SAME_CUL	My Culture	My Culture
FILTER_SAME_CUL_GROUP	My Culture Group	My Culture Group
FILTER_NOT_SAME_CUL	Not My Culture	Not My Culture
FILTER_ANY_CUL	Any Culture	Any Culture
FILTER_NOT_SAME_CUL_GROUP	Not My Culture Group	Not My Culture Group
irminsul_destroyed	Irminsul Destroyed	Irminsul Destroyed
WIDUKIND_ARMY	Saxon Rebellion	Saxon Rebellion
c_chandax_adj_greek	Gortynian	Gortynian
c_chandax_adj_italian	Gortynian	Gortynian
TITLE_CREATION_TEMPORARY_TITLE	Neither temporary title holders nor their vassals can create any titles	Neither temporary title holders nor their vassals can create any titles
TEMP_T_HOLDER_CANT_DESTROY_T	Neither temporary title holders nor their vassals can destroy any titles	Neither temporary title holders nor their vassals can destroy any titles
EVTTITLE_CM_1000	A realm divided	A realm divided
EVTDESC_CM_1000	As your father Pepin died, he divided the Empire of the Franks and left one half to you and the other half to your brother. He divided the lands in such a way as to force you to cooperate - but it does not appear to have had the desired effect. The friction is constant, and at every turn it seems your brother is now trying to thwart your plans and weaken your position. You still rule as joint kings, but surely this peace cannot last...	As your father Pepin died, he divided the Empire of the Franks and left one half to you and the other half to your brother. He divided the lands in such a way as to force you to cooperate - but it does not appear to have had the desired effect. The friction is constant, and at every turn it seems your brother is now trying to thwart your plans and weaken your position. You still rule as joint kings, but surely this peace cannot last...
EVTOPTA_CM_1000	He will not succeed in his vile schemes!	He will not succeed in his vile schemes!
EVTTITLE_CM_1002	The death of Charlemagne	The death of Charlemagne
EVTDESC_CM_1002	With the death of your brother [From.GetFirstName], the prestige and honor of the Frankish kingship falls on you. He was your rival but now he is no more. There is still much to be done, but here begins a new chapter in the story of [Root.GetFirstName], [Root.GetTitle] of the Franks.	With the death of your brother [From.GetFirstName], the prestige and honor of the Frankish kingship falls on you. He was your rival but now he is no more. There is still much to be done, but here begins a new chapter in the story of [Root.GetFirstName], [Root.GetTitle] of the Franks.
EVTOPTA_CM_1002	Still, he was my brother.	Still, he was my brother.
LIEGE_ENDED_WAR_PARTICIPATION_SETUP	Liege ended war participation	Liege ended war participation
LIEGE_ENDED_WAR_PARTICIPATION_LOG	§Y$VASSAL$§! is no longer a participant in §YThe $WAR$§! as $PRONOUN$ liege §Y$LIEGE$§! joined the war as §Y$SIDE$§!.	§Y$VASSAL$§! is no longer a participant in §YThe $WAR$§! as $PRONOUN$ liege §Y$LIEGE$§! joined the war as §Y$SIDE$§!.
LIEGE_ENDED_WAR_SETUP	Liege ended the war	Liege ended the war
LIEGE_ENDED_WAR_LOG	§YThe $WAR$§! has ended as §Y$LIEGE$§! joined the war as §Y$SIDE$§!.	§YThe $WAR$§! has ended as §Y$LIEGE$§! joined the war as §Y$SIDE$§!.
INTERACTION_CANNOT_JOIN_VASSAL_WAR	We cannot join our vassals' wars (except for Crusades/Jihads and for supporting their claims outside your realm)	We cannot join our vassals' wars (except for Crusades/Jihads and for supporting their claims outside your realm)
EVTTITLE_CM_1021	Reconciliation?	Reconciliation?
EVTDESC_CM_1021	Your mother has come to see you. As she is shown in, she falls to her knees in front of you and says: 'My dearest son. I know my support for your brother in your struggle may have caused you grief. After his death, I have seen how wrong I was to take sides. Please, can you find it in your heart to forgive me and take me into your household, so that I may now repay the injury that I have done to you with new love and loyalty?'	Your mother has come to see you. As she is shown in, she falls to her knees in front of you and says: 'My dearest son. I know my support for your brother in your struggle may have caused you grief. After his death, I have seen how wrong I was to take sides. Please, can you find it in your heart to forgive me and take me into your household, so that I may now repay the injury that I have done to you with new love and loyalty?'
EVTOPTA_CM_1021	I forgive you, Mother.	I forgive you, Mother.
EVTOPTB_CM_1021	Begone, witch!	Begone, witch!
EVTDESC_CM_1024	My son,\nI write to you to ask that you stop causing trouble for your brother and do not interefere with his plans. He loves you and you should support him instead of making things difficult for him. [Root.Religion.GetRandomGodName] sees all and family should not fight with family.\n\nYour loving mother,\n[From.GetFirstName]	My son,\nI write to you to ask that you stop causing trouble for your brother and do not interefere with his plans. He loves you and you should support him instead of making things difficult for him. [Root.Religion.GetRandomGodName] sees all and family should not fight with family.\n\nYour loving mother,\n[From.GetFirstName]
EVTOPTA_CM_1024	It is clear that she is not on my side.	It is clear that she is not on my side.
EVTTITLE_CM_1027	Bertrada	Bertrada
EVTDESC_CM_1027	Your mother has come to see you. She speaks to you of your brother and the rivalry between you: 'My dear Charles, it grieves me so that your brother Carloman will not support you as he should but rather has wicked designs on your domains. Rest assured, however, that I shall do all in my power to help and support you. I have even written to him, asking him to cease his plotting and acknowledge that, though the realm is divided between you, he recognize you as the primary ruler of the Franks. I fear, however, that he will not listen to me.	Your mother has come to see you. She speaks to you of your brother and the rivalry between you: 'My dear Charles, it grieves me so that your brother Carloman will not support you as he should but rather has wicked designs on your domains. Rest assured, however, that I shall do all in my power to help and support you. I have even written to him, asking him to cease his plotting and acknowledge that, though the realm is divided between you, he recognize you as the primary ruler of the Franks. I fear, however, that he will not listen to me.
EVTOPTA_CM_1027	I thank you for your support, Mother.	I thank you for your support, Mother.
EVTTITLE_CM_1050	Roland	Roland
EVTDESC_CM_1050	A young nobleman called Roland has approached you, declaring that he wishes to serve you. You have heard his name before, he is known to be a strong warrior and able diplomat, wise beyond his years and especially familiar with the Breton lands to the west. He would surely be a useful addition to your court.	A young nobleman called Roland has approached you, declaring that he wishes to serve you. You have heard his name before, he is known to be a strong warrior and able diplomat, wise beyond his years and especially familiar with the Breton lands to the west. He would surely be a useful addition to your court.
EVTOPTA_CM_1050	Welcome, Roland!	Welcome, Roland!
EVTOPTB_CM_1050	I don't need a new knight.	I don't need a new knight.
EVTDESC_CM_1052	You have been spending a lot of time talking to [From.GetFullName] recently. He is not only loyal but also wise, amiable and very good company. You find you have many things in common.	You have been spending a lot of time talking to [From.GetFullName] recently. He is not only loyal but also wise, amiable and very good company. You find you have many things in common.
EVTOPTA_CM_1052	A good and stalwart friend.	A good and stalwart friend.
EVTTITLE_CM_1053	Roland the Brave	Roland the Brave
EVTDESC_CM_1053	Your loyal knight Roland is truly distinguishing himself on campaign. He never fears to lead from the front in battle, he fires up his soldiers with his personal bravery, and he is always first into the fray and the last to withdraw. Where outriders are needed for dangerous scouting missions he insists on going, often being away for days behind enemy lines. If only all your soldiers were this brave and dedicated.	Your loyal knight Roland is truly distinguishing himself on campaign. He never fears to lead from the front in battle, he fires up his soldiers with his personal bravery, and he is always first into the fray and the last to withdraw. Where outriders are needed for dangerous scouting missions he insists on going, often being away for days behind enemy lines. If only all your soldiers were this brave and dedicated.
EVTOPTA_CM_1053	A model knight indeed.	A model knight indeed.
EVTTITLE_CM_1055	The Death of Roland	The Death of Roland
EVTDESC_CM_1055	The battle won, Roland led a small group of knights in aggressive pursuit, leaving the rest of the army far behind. Penetrating deep through the enemy formations and causing havoc, they caused much damage. Then no one knows what happened - maybe they went too far, or maybe they were surprised by an unexpected counterattack. None of them returned...	The battle won, Roland led a small group of knights in aggressive pursuit, leaving the rest of the army far behind. Penetrating deep through the enemy formations and causing havoc, they caused much damage. Then no one knows what happened - maybe they went too far, or maybe they were surprised by an unexpected counterattack. None of them returned...
EVTOPTA_CM_1055	Alas! He was my bravest knight!	Alas! He was my bravest knight!
EVTDESC_CM_1057	As your army was retreating, the battle lost, Roland took a small group of knights and rode out to raid the enemy's flank and harass them in order to slow them down so that the rest of your forces could escape. It is said that they fought fiercely and valiantly. However, none of them returned...	As your army was retreating, the battle lost, Roland took a small group of knights and rode out to raid the enemy's flank and harass them in order to slow them down so that the rest of your forces could escape. It is said that they fought fiercely and valiantly. However, none of them returned...
EVTTITLE_CM_1100	The Saxon Wars	The Saxon Wars
EVTDESC_CM_1100	The heathen Saxons living North of the realms of the Franks have for a long time held their own against all foreign conquerors, while defiantly staying true to their old religion and raiding Christian lands with no fear of God. No longer shall it be so - the time has come to bring them both the Sword and the Cross. Mercy is something they will find in the next life, should they accept baptism before they perish.	The heathen Saxons living North of the realms of the Franks have for a long time held their own against all foreign conquerors, while defiantly staying true to their old religion and raiding Christian lands with no fear of God. No longer shall it be so - the time has come to bring them both the Sword and the Cross. Mercy is something they will find in the next life, should they accept baptism before they perish.
EVTOPTA_CM_1100	Crush the heathens!	Crush the heathens!
EVTTITLE_CM_1101	Irminsul	Irminsul
EVTDESC_CM_1101	You have captured the great pagan sanctuary at Paderborn, one of the holiest places of Germanic paganism. Here stands the great holy tree of Irminsul, which is said to have an immense importance in the heathen faith of the Saxons. To them, Irminsul represents the 'world tree' and is a focus from which they appear to draw much moral strength and inspiration.	You have captured the great pagan sanctuary at Paderborn, one of the holiest places of Germanic paganism. Here stands the great holy tree of Irminsul, which is said to have an immense importance in the heathen faith of the Saxons. To them, Irminsul represents the 'world tree' and is a focus from which they appear to draw much moral strength and inspiration.
EVTOPTA_CM_1101	Burn it!	Burn it!
EVTOPTB_CM_1101	Keep it and build a grand Christian church on the site.	Keep it and build a grand Christian church on the site.
EVTOPTC_CM_1101	Leave this devil-tree well alone.	Leave this devil-tree well alone.
EVTTITLE_CM_1102	Irminsul destroyed	Irminsul destroyed
EVTDESC_CM_1102	As the bitter war in Saxony rages on, the armies of [From.GetTitledName] have captured Paderborn, the site of the great shrine of the holy tree of Irminsul. By order of the conquering [From.GetTitle], the troops burned the holy tree and then proceeded to destroy the entire shrine. This has infuriated people of the Germanic religion everywhere.	As the bitter war in Saxony rages on, the armies of [From.GetTitledName] have captured Paderborn, the site of the great shrine of the holy tree of Irminsul. By order of the conquering [From.GetTitle], the troops burned the holy tree and then proceeded to destroy the entire shrine. This has enfuriated people of the Germanic religion everywhere.
EVTOPTA_CM_1102	Irminsul! We will have our revenge!	Irminsul! We will have our revenge!
EVTOPTB_CM_1102	A foul sacrilege!	A foul sacrilege!
EVTOPTC_CM_1102	Gloria in excelsis Deo!	Gloria in excelsis Deo!
EVTTITLE_CM_1104	The Blood Court of Saxony	The Blood Court of Saxony
EVTDESC_CM_1104	During the course of the Saxon War, you have captured a lot of Saxon prisoners. Many of them are of noble birth and also very defiant in their views and attitude to our righteous Christian conquest. They keep to their heathen ways and scorn the name of Christ. Perhaps it is time to teach these stubborn Saxons a lesson through a show of strength. If we should try, condemn and execute these captured heathen leaders, we may strengthen our cause, please God and put fear into the hearts of our enemies.	During the course of the Saxon War, you have captured a lot of Saxon prisoners. Many of them are of noble birth and also very defiant in their views and attitude to our righteous Christian conquest. They keep to their heathen ways and scorn the name of Christ. Perhaps it is time to teach these stubborn Saxons a lesson through a show of strength. If we should try, condemn and execute these captured heathen leaders, we may strengthen our cause, please God and put fear into the hearts of our enemies.
EVTOPTA_CM_1104	Behead them all!	Behead them all!
EVTOPTB_CM_1104	I shall be merciful even to these heathens.	I shall be merciful even to these heathens.
EVTTITLE_CM_1105	Widukind	Widukind
EVTDESC_CM_1105	The Saxons are a people that cling fiercely to their old traditions. After suffering defeats and conquest in spite of tenacious resistance, discontent has continued to simmer in the Pagan Saxon lands. Raids on tax collectors, defiance of church duties, all these things have been annoyances to the new rulers without really presenting any severe danger. Now, however, things seem to have changed. A rebel leader has emerged, uniting the rebellious Saxons and gathering warriors for more concerted attacks. He calls himself Widukind, a name that means 'Child of the Woods', in obvious reference to old Pagan myths and fitting to the hit-and-run tactics used by his forces thus far. The army he is gathering is growing, however...	The Saxons are a people that cling fiercely to their old traditions. After suffering defeats and conquest in spite of tenacious resistance, discontent has continued to simmer in the Pagan Saxon lands. Raids on tax collectors, defiance of church duties, all these things have been annoyances to the new rulers without really presenting any severe danger. Now, however, things seem to have changed. A rebel leader has emerged, uniting the rebellious Saxons and gathering warriors for more concerted attacks. He calls himself Widukind, a name that means 'Child of the Woods', in obvious reference to old Pagan myths and fitting to the hit-and-run tactics used by his forces thus far. The army he is gathering is growing, however...
EVTOPTA_CM_1105	These indomitable Saxons!	These indomitable Saxons!
EVTTITLE_CM_1108	Baptism of Widukind	Baptism of Widukind
EVTDESC_CM_1108	My Lord, your old enemy Widukind of the Saxons has sent word. He says he recognizes not only the strength of your arms but also the superiority of the Christian faith. He asks for free passage to come to your court in order to be baptized as a Christian. He says he wishes only peace between you and in return for your generosity he will be forever your loyal servant and stay true to the creed of the [Root.Religion.GetName] Church.	My Lord, your old enemy Widukind of the Saxons has sent word. He says he recognizes not only the strength of your arms but also the superiority of the Christian faith. He asks for free passage to come to your court in order to be baptized as a Christian. He says he wishes only peace between you and in return for your generosity he will be forever your loyal servant and stay true to the creed of the [Root.Religion.Getname] Church.
EVTOPTA_CM_1108	I will welcome him and baptize him.	I will welcome him and baptize him.
EVTOPTB_CM_1108	Let's invite him here and then kill him.	Let's invite him here and then kill him.
EVTOPTC_CM_1108	I shall not even dignify such a proposal with an answer.	I shall not even dignify such a proposal with an answer.
EVTTITLE_CM_501	Fall of the Avars	Fall of the Avars
EVTDESC_CM_501	The Avar Khaganate was established in Europe in 567 after the Avars had migrated into the Carpathian basin from the east. They crushed the Gepids and allied with the Lombards to form a strong realm in the area. For long periods they alternated between conflict and truce with the Eastern Roman Empire and had close dealings with the Lombard kings. Now, however, this once proud realm has fallen - the area is no longer ruled by an Avar dynasty and shall once again be known by the ancient name of Pannonia.	The Avar Khaganate was established in Europe in 567 after the Avars had migrated into the Carpathian basin from the east. They crushed the Gepids and allied with the Lombards to form a strong realm in the area. For long periods they alternated between conflict and truce with the Eastern Roman Empire and had close dealings with the Lombard kings. Now, however, this once proud realm has fallen - the area is no longer ruled by an Avar dynasty and shall once again be known by the ancient name of Pannonia.
EVTOPTA_CM_501	Hail to the [Root.GetTitle]!	Hail to the [Root.GetTitle]!
EVTOPTB_CM_501	Woe!	Woe!
EVTOPTC_CM_501	Sic transit gloria mundi.	Sic transit gloria mundi.
EVTTITLE_CM_502	The Kingdom of Italy	The Kingdom of Italy
EVTDESC_CM_502	The ancient Lombard Kingdom was established in Italy after a long history of migration originating in Northern Europe. Along the way, the Lombards themselves have changed, both influencing and becoming influenced by the regions they have settled. Now it has finally come to pass that the Lombard lands in Italy no longer have a Lombard ruler and this effectively spells the end of the name of the Kingdom of the Lombards. We shall henceforth speak of the Kingdom of Italy, but the Lombard heritage shall live on...	The ancient Lombard Kingdom was established in Italy after a long history of migration originating in Northern Europe. Along the way, the Lombards themselves have changed, both influencing and becoming influenced by the regions they have settled. Now it has finally come to pass that the Lombard lands in Italy no longer have a Lombard ruler and this effectively spells the end of the name of the Kingdom of the Lombards. We shall henceforth speak of the Kingdom of Italy, but the Lombard heritage shall live on...
EVTOPTA_CM_502	Hail to the [Root.GetTitle]!	Hail to the [Root.GetTitle]!
EVTOPTB_CM_502	Yes, it shall live on!	Yes, it shall live on!
EVTOPTC_CM_502	Sic transit gloria mundi.	Sic transit gloria mundi.
#temple_baron_slavic_pagan	Shaman	Shaman
#temple_baron_slavic_pagan_reformed	Shaman	Shaman
#temple_baron_baltic_pagan	Shaman	Shaman
#temple_baron_baltic_pagan_reformed	Shaman	Shaman
#temple_baron_aztec	Shaman	Shaman
#temple_baron_aztec_reformed	Shaman	Shaman
#temple_baron_mazdaki	Vahram	Vahram
#temple_baron_manichean	Vahram	Vahram
#coa_plain_pagan	Plain	Plain
#coa_plain_indian	Plain	Plain
PICK_YOUR_STARTING_ERA	Choose Your Starting Era	Choose Your Starting Era
PICK_STARTING_ERA_TEXT	Crusader Kings II spans a period of almost 700 years. Choose where in the timeline you want your game to start.	Crusader Kings II spans a period of almost 700 years. Choose where in the timeline you want your game to start.
DARK_AGES	Early Middle Ages	Early Middle Ages
