#CODE	ENGLISH	ENGLISH
AIREASON_CAN_PAY_OWN_RANSOM	§Y[GetTitledFirstName]§! can afford [GetHerHis] own ransom	§Y[GetTitledFirstName]§! can afford [GetHerHis] own ransom
EVTDESC_SOA_1609	The Brotherhood has worked tirelessly to protect Christian holy sites and relics in the Holy Land ever since it was first founded in 313, when the Edict of Milan legalized Christendom throughout the Roman Empire. Until recently, the Brotherhood consisted of ordained clergy who maintained and safeguarded these religious sites through largely peaceful means.\n\nAs the winds of change sweep across the world, this holy order has now become increasingly militarized and their ranks have grown dramatically to include professional soldiers as well. They have reaffirmed their dedication to protect the Holy Land from heathen invaders, but this pledge has now extended to include the defense of all of Orthodox Christendom.	The Brotherhood has worked tirelessly to protect Christian holy sites and relics in the Holy Land ever since it was first founded in 313, when the Edict of Milan legalized Christendom throughout the Roman Empire. Until recently, the Brotherhood consisted of ordained clergy who maintained and safeguarded these religious sites through largely peaceful means.\n\nAs the winds of change sweep across the world, this holy order has now become increasingly militarized and their ranks have grown dramatically to include professional soldiers as well. They have reaffirmed their dedication to protect the Holy Land from heathen invaders, but this pledge has now extended to include the defense of all of Orthodox Christendom.
EVTOPTA_SOA_1609	A laudable goal!	A laudable goal!
EVTOPTB_SOA_1609	These clerics should stay in their monestaries.	These clerics should stay in their monestaries.
EVTDESC_SOA_1631	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Brotherhood of the Holy Sepulchre in their struggle against the infidel, even though this will forever disinherit him.	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Brotherhood of the Holy Sepulchre in their struggle against the infidel, even though this will forever disinherit him.
EVTTOOLTIP_SOA_1632	[This.GetTitledFirstName] becomes a member of the Brotherhood.	[This.GetTitledFirstName] becomes a member of the Brotherhood.
EVTDESC_SOA_1653	Most righteous [Root.GetTitledFirstName], the Brotherhood needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPax Christi,\n\nGrand Master [From.GetFirstName]	Most righteous [Root.GetTitledFirstName], the Brotherhood needs more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\nPax Christi,\n\nGrand Master [From.GetFirstName]
EVTDESC_SOA_1654	The Brotherhood of the Holy Sepulchre has constructed a castle in [Root.GetName]!	The Brotherhood of the Holy Sepulchre has constructed a castle in [Root.GetName]!
EVTDESC_SOA_1661	Your majesty, this antagonism is completely unwarranted! The Brotherhood serves Christ, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [From.GetFirstName]	Your majesty, this antagonism is completely unwarranted! The Brotherhood serves Christ, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [From.GetFirstName]
expel_the_holy_sepulchre	Expel the Holy Sepulchre	Expel the Holy Sepulchre
expel_the_holy_sepulchre_desc	I can drive the Brotherhood of the Holy Sepulchre from my realm and seize their castles. However, it is a very impious thing to do...	I can drive the Brotherhood of the Holy Sepulchre from my realm and seize their castles. However, it is a very impious thing to do...
donate_money_to_holy_sepulchre	Donate 300¤ to the Holy Sepulchre	Donate 300¤ to the Holy Sepulchre
expelled_d_holy_sepulchre	Expelled the Holy Sepulchre	Expelled the Holy Sepulchre
EVTTITLE_SOA_1709	The Order of Saint Anthony	The Order of Saint Anthony
EVTOPTA_SOA_1709	These knights can finally fulfill their vows.	These knights can finally fulfill their vows.
EVTOPTB_SOA_1709	Saint who?	Saint who?
EVTDESC_SOA_1731	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Order of Saint Anthony in their struggle against the infidel, even though this will forever disinherit him.	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Order of Saint Anthony in their struggle against the infidel, even though this will forever disinherit him.
EVTTOOLTIP_SOA_1732	[This.GetTitledFirstName] becomes a Knight of Saint Anthony.	[This.GetTitledFirstName] becomes a Knight of Saint Anthony.
EVTDESC_SOA_1754	The Order of Saint Anthony has constructed a castle in [Root.GetName]!	The Order of Saint Anthony has constructed a castle in [Root.GetName]!
expel_d_saint_anthony	Expel Saint Anthony	Expel Saint Anthony
expel_d_saint_anthony_desc	I can drive the Order of Saint Anthony from my realm and seize their castles. However, it is a very impious thing to do...	I can drive the Order of Saint Anthony from my realm and seize their castles. However, it is a very impious thing to do...
donate_money_to_saint_anthony	Donate 300¤ to Saint Anthony	Donate 300¤ to Saint Anthony
expelled_d_saint_anthony	Expelled the Order of Saint Anthony	Expelled the Order of Saint Anthony
EVTTITLE_SOA_1809	The Immortals	The Immortals
EVTOPTA_SOA_1809	The legendary warriors have returned!	The legendary warriors have returned!
EVTOPTB_SOA_1809	Immortals? Pah, relics of the past.	Immortals? Pah, relics of the past.
EVTDESC_SOA_1831	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Immortals in their struggle against the infidel, even though this will forever disinherit him.	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Immortals in their struggle against the infidel, even though this will forever disinherit him.
EVTTOOLTIP_SOA_1832	[This.GetTitledFirstName] becomes an Immortal.	[This.GetTitledFirstName] becomes an Immortal.
EVTDESC_SOA_1853	Most righteous [Root.GetTitledFirstName], the Immortals need more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nBy Zoroaster's will,\nGrand Master [From.GetFirstName]	Most righteous [Root.GetTitledFirstName], the Immortals need more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nBy Zoroaster's will,\nGrand Master [From.GetFirstName]
EVTDESC_SOA_1854	The Immortals have constructed a castle in [Root.GetName]!	The Immortals have constructed a castle in [Root.GetName]!
EVTDESC_SOA_1861	Your majesty, this antagonism is completely unwarranted! The Immortals carry on the work of the prophet Zoroaster, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [From.GetFirstName]	Your majesty, this antagonism is completely unwarranted! The Immortals carry on the work of the prophet Zoroaster, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [From.GetFirstName]
expel_immortals	Expel the Immortals	Expel the Immortals
expel_immortals_desc	I can drive the Immortals from my realm and seize their castles. However, it is a very impious thing to do...	I can drive the Immortals from my realm and seize their castles. However, it is a very impious thing to do...
donate_money_to_the_immortals	Donate 300¤ to the Immortals	Donate 300¤ to the Immortals
expelled_d_immortals	Expelled the Immortals	Expelled the Immortals
EVTTITLE_SOA_1909	The Zealots	The Zealots
EVTDESC_SOA_1909	The Third Temple now stands tall on Temple Mount in Jerusalem, and several pious Jews have formed a new holy order modelled after the ancient Zealots to protect Judaism against its enemies. Just like the Jewish sect that is their namesake, these new Zealots will not shy away from violence against those they feel are deserving.\n\nSome within the Jewish religious community have accused the Zealots of taking their faith to extreme levels, but the ranks of this new order continue to swell as Jewish exiles returning to the Promised Land flock to their banner. Their numbers now include everyone from uneducated peasants to veteran soldiers from distant European wars.	The Third Temple now stands tall on Temple Mount in Jerusalem, and several pious Jews have formed a new holy order modelled after the ancient Zealots to protect Judaism against its enemies. Just like the Jewish sect that is their namesake, these new Zealots will not shy away from violence against those they feel are deserving.\n\nSome within the Jewish religious community have accused the Zealots of taking their faith to extreme levels, but the ranks of this new order continue to swell as Jewish exiles returning to the Promised Land flock to their banner. Their numbers now include everyone from uneducated peasants to veteran soldiers from distant European wars.
EVTOPTA_SOA_1909	Any defense of Judaism is welcome.	Any defense of Judaism is welcome.
EVTOPTB_SOA_1909	Radicals and extremists, the whole lot!	Radicals and extremists, the whole lot!
EVTDESC_SOA_1931	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Zealots in their struggle against the infidel, even though this will forever disinherit him.	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Zealots in their struggle against the infidel, even though this will forever disinherit him.
EVTTOOLTIP_SOA_1932	[This.GetTitledFirstName] becomes a Zealot.	[This.GetTitledFirstName] becomes a Zealot.
EVTDESC_SOA_1953	Most righteous [Root.GetTitledFirstName], the Zealots need more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nRemember Masada!\nGrand Master [From.GetFirstName]	Most righteous [Root.GetTitledFirstName], the Zealots need more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nRemember Masada!\nGrand Master [From.GetFirstName]
EVTDESC_SOA_1954	The Zealots have constructed a castle in [Root.GetName]!	The Zealots have constructed a castle in [Root.GetName]!
EVTDESC_SOA_1961	Your majesty, this antagonism is completely unwarranted! The Zealots seek only to defend Judaism from its many enemies, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [From.GetFirstName]	Your majesty, this antagonism is completely unwarranted! The Zealots seek only to defend Judaism from its many enemies, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [From.GetFirstName]
expel_zealots	Expel the Zealots	Expel the Zealots
expel_zealots_desc	I can drive the Zealots from my realm and seize their castles. However, it is a very impious thing to do...	I can drive the Zealots from my realm and seize their castles. However, it is a very impious thing to do...
donate_money_to_the_zealots	Donate 300¤ to the Zealots	Donate 300¤ to the Zealots
expelled_d_zealots	Expelled the Zealots	Expelled the Zealots
EVTTITLE_SOA_2009	The Lords of the Sky	The Lords of the Sky
EVTDESC_SOA_2009	The mighty Sky-Father of the Tengri faith is all-seeing, but still has need of human instruments on the ground. The Lords of the Sky, a new holy order that has been founded in the wake of the Tengri Reformation, ride to do battle against infidels and to spread the will of the Sky-Father to all corners of the world. The deafening sound of these knights approaching on their mounts is like thunder in the sky, and the noise alone is rumored to have made some convert to the Tengri religion on the spot.	The mighty Sky-Father of the Tengri faith is all-seeing, but still has need of human instruments on the ground. The Lords of the Sky, a new holy order that has been founded in the wake of the Tengri Reformation, ride to do battle against infidels and to spread the will of the Sky-Father to all corners of the world. The deafening sound of these knights approaching on their mounts is like thunder in the sky, and the noise alone is rumored to have made some convert to the Tengri religion on the spot.
EVTOPTA_SOA_2009	Let them ride forward in the name of the Sky-Father!	Let them ride forward in the name of the Sky-Father!
EVTOPTB_SOA_2009	What will these barbarians think of next?	What will these barbarians think of next?
EVTDESC_SOA_2031	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Lords of the Sky in their tireless pursuit of heathenry, even though this will forever disinherit him.	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Lords of the Sky in their tireless pursuit of heathenry, even though this will forever disinherit him.
EVTDESC_SOA_2041	Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly as we ride into battle against the enemies of the Sky-Father! Upon my honor, I shall name one of my finest steeds after you!\n\nFor the Sky-Father!\nWarchief [From.GetFirstName]	Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly as we ride into battle against the enemies of the Sky-Father! Upon my honor, I shall name one of my finest steeds after you!\n\nFor the Sky-Father!\nWarchief [From.GetFirstName]
EVTTOOLTIP_SOA_2032	[This.GetTitledFirstName] becomes a Sky Lord.	[This.GetTitledFirstName] becomes a Sky Lord.
EVTDESC_SOA_2053	Most righteous [Root.GetTitledFirstName], the Lords of the Sky are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nFor the Sky-Father!\nWarchief [From.GetFirstName]	Most righteous [Root.GetTitledFirstName], the Lords of the Sky are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nFor the Sky-Father!\nWarchief [From.GetFirstName]
EVTDESC_SOA_2054	The Lords of the Sky have constructed a castle in [Root.GetName]!	The Lords of the Sky have constructed a castle in [Root.GetName]!
EVTDESC_SOA_2061	Your majesty, this antagonism is completely unwarranted! The Lords of the Sky seek only to ride into battle against the enemies of the Sky-Father. Can you make that same claim?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName]	Your majesty, this antagonism is completely unwarranted! The Lords of the Sky seek only to ride into battle against the enemies of the Sky-Father. Can you make that same claim?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName]
expel_sky_lords	Expel the Lords of the Sky	Expel the Lords of the Sky
expel_sky_lords_desc	I can drive the Lords of the Sky from my realm and seize their castles. However, it is a very impious thing to do...	I can drive the Lords of the Sky from my realm and seize their castles. However, it is a very impious thing to do...
donate_money_to_sky_lords	Donate 300¤ to the Lords of the Sky	Donate 300¤ to the Lords of the Sky
donate_money_to_sky_lords_desc	I can donate money to the Lords of the Sky in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Tengri Priesthood.	I can donate money to the Lords of the Sky in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Tengri Priesthood.
expelled_d_sky_lords	Expelled the Lords of the Sky	Expelled the Lords of the Sky
EVTTITLE_SOA_2109	The Spirit Guardians	The Spirit Guardians
EVTDESC_SOA_2109	With the reformation of the many West African pagan belief systems into a single coherent whole, several tribes have agreed to pool together their best warriors into a single holy order. They claim to be the Guardians of the Spirits and they have vowed to defend the spirits and those who believe in them from all who would do them harm.	With the reformation of the many West African pagan belief systems into a single coherent whole, several tribes have agreed to pool together their best warriors into a single holy order. They claim to be the Guardians of the Spirits and they have vowed to defend the spirits and those who believe in them from all who would do them harm.
EVTOPTA_SOA_2109	The Spirits be praised!	The Spirits be praised!
EVTDESC_SOA_2131	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Spirit Guardians in their brave defense of our faith, even though this will forever disinherit him.	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Spirit Guardians in their brave defense of our faith, even though this will forever disinherit him.
EVTDESC_SOA_2141	Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our unceasing efforts to defend the Spirits and their faithful believers! You have my friendship, as well as that of the priesthood.\n\nMay the Spirits walk with you,\nWarchief [From.GetFirstName]	Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our unceasing efforts to defend the Spirits and their faithful believers! You have my friendship, as well as that of the priesthood.\n\nMay the Spirits walk with you,\nWarchief [From.GetFirstName]
EVTTOOLTIP_SOA_2132	[This.GetTitledFirstName] becomes a Spirit Guardian.	[This.GetTitledFirstName] becomes a Spirit Guardian.
EVTDESC_SOA_2153	Most righteous [Root.GetTitledFirstName], the Spirit Guardians are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay the Spirits walk with you,\nWarchief [From.GetFirstName]	Most righteous [Root.GetTitledFirstName], the Spirit Guardians are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay the Spirits walk with you,\nWarchief [From.GetFirstName]
EVTDESC_SOA_2154	The Spirit Guardians have constructed a castle in [Root.GetName]!	The Spirit Guardians have constructed a castle in [Root.GetName]!
EVTDESC_SOA_2161	Your majesty, this antagonism is completely unwarranted! The Spirit Guardians walk with the Spirits and are prepared to give their lives to defend them, but, one has to wonder, are you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName]	Your majesty, this antagonism is completely unwarranted! The Spirit Guardians walk with the Spirits and are prepared to give their lives to defend them, but, one has to wonder, are you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName]
expel_spirit_guardians	Expel the Spirit Guardians	Expel the Spirit Guardians
expel_spirit_guardians_desc	I can drive the Spirit Guardians from my realm and seize their castles. However, it is a very impious thing to do...	I can drive the Spirit Guardians from my realm and seize their castles. However, it is a very impious thing to do...
donate_money_to_spirit_guardians	Donate 300¤ to the Spirit Guardians	Donate 300¤ to the Spirit Guardians
donate_money_to_spirit_guardians_desc	I can donate money to the Spirit Guardians in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.	I can donate money to the Spirit Guardians in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.
expelled_d_spirit_guardians	Expelled the Spirit Guardians	Expelled the Spirit Guardians
EVTTITLE_SOA_2209	The Warriors of Perun	The Warriors of Perun
EVTDESC_SOA_2209	The Slavic faith has been reformed and this has led to a religious fervor throughout the lands of the Slavs the likes of which has never been seen before. Many of the greatest champions have come together to form a new Slavic holy order. They call themselves the Warriors of Perun, the god of thunder, and have all taken vows to defend the Slavic faith and its believers to their dying breaths.	The Slavic faith has been reformed and this has led to a religious fervor throughout the lands of the Slavs the likes of which has never been seen before. Many of the greatest champions have come together to form a new Slavic holy order. They call themselves the Warriors of Perun, the god of thunder, and have all taken vows to defend the Slavic faith and its believers to their dying breaths.
EVTOPTA_SOA_2209	May the enemies of Perun quake in their boots!	May the enemies of Perun quake in their boots!
EVTDESC_SOA_2231	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Warriors of Perun in their heroic deeds to smite the enemies of the gods, even though this will forever disinherit him.	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Warriors of Perun in their heroic deeds to smite the enemies of the gods, even though this will forever disinherit him.
EVTDESC_SOA_2241	Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our quest to serve the will of Perun! You have my friendship, as well as that of the priesthood.\n\nMay Perun watch over you,\nWarchief [From.GetFirstName]	Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our quest to serve the will of Perun! You have my friendship, as well as that of the priesthood.\n\nMay Perun watch over you,\nWarchief [From.GetFirstName]
EVTTOOLTIP_SOA_2232	[This.GetTitledFirstName] becomes a Warrior of Perun.	[This.GetTitledFirstName] becomes a Warrior of Perun.
EVTDESC_SOA_2253	Most righteous [Root.GetTitledFirstName], the Warriors of Perun are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay Perun watch over you,\nWarchief [From.GetFirstName]	Most righteous [Root.GetTitledFirstName], the Warriors of Perun are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay Perun watch over you,\nWarchief [From.GetFirstName]
EVTDESC_SOA_2254	The Warriors of Perun have constructed a castle in [Root.GetName]!	The Warriors of Perun have constructed a castle in [Root.GetName]!
EVTDESC_SOA_2261	Your majesty, this antagonism is completely unwarranted! The Warriors of Perun serve at the pleasure of the gods, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName]	Your majesty, this antagonism is completely unwarranted! The Warriors of Perun serve at the pleasure of the gods, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName]
expel_warriors_perun	Expel the Warriors of Perun	Expel the Warriors of Perun
expel_warriors_perun_desc	I can drive the Warriors of Perun from my realm and seize their castles. However, it is a very impious thing to do...	I can drive the Warriors of Perun from my realm and seize their castles. However, it is a very impious thing to do...
donate_money_to_warriors_perun	Donate 300¤ to the Warriors of Perun	Donate 300¤ to the Warriors of Perun
donate_money_to_warriors_perun_desc	I can donate money to the Warriors of Perun in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.	I can donate money to the Warriors of Perun in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.
expelled_d_warriors_perun	Expelled the Warriors of Perun	Expelled the Warriors of Perun
EVTTITLE_SOA_2309	The Chosen of Perkunas	The Chosen of Perkunas
EVTDESC_SOA_2309	Perkunas, the god of thunder, has spoken! As the Romuvan religion reforms to better face the modern world, several champions have stepped forward, claiming that Perkunas has willed them to found a new holy order. The Chosen of Perkunas, as they call themselves, have sworn to defend the Romuvan faith and to direct the wrath of the gods towards the skulls of their enemies.	Perkunas, the god of thunder, has spoken! As the Romuvan religion reforms to better face the modern world, several champions have stepped forward, claiming that Perkunas has willed them to found a new holy order. The Chosen of Perkunas, as they call themselves, have sworn to defend the Romuvan faith and to direct the wrath of the gods towards the skulls of their enemies.
EVTOPTA_SOA_2309	Like a thunderbolt, they shall strike down their foes!	Like a thunderbolt, they shall strike down their foes!
EVTDESC_SOA_2331	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Chosen of Perkunas in their war against unbelievers, even though this will forever disinherit him.	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Chosen of Perkunas in their war against unbelievers, even though this will forever disinherit him.
EVTDESC_SOA_2341	Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our quest to serve the will of Perkunas! You have my friendship, as well as that of the priesthood.\n\nMay Perkunas watch over you,\nWarchief [From.GetFirstName]	Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our quest to serve the will of Perkunas! You have my friendship, as well as that of the priesthood.\n\nMay Perkunas watch over you,\nWarchief [From.GetFirstName]
EVTTOOLTIP_SOA_2332	[This.GetTitledFirstName] becomes a Chosen of Perkunas.	[This.GetTitledFirstName] becomes a Chosen of Perkunas.
EVTDESC_SOA_2353	Most righteous [Root.GetTitledFirstName], the Chosen of Perkunas are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay Perkunas watch over you,\nWarchief [From.GetFirstName]	Most righteous [Root.GetTitledFirstName], the Chosen of Perkunas are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay Perkunas watch over you,\nWarchief [From.GetFirstName]
EVTDESC_SOA_2354	The Chosen of Perkunas have constructed a castle in [Root.GetName]!	The Chosen of Perkunas have constructed a castle in [Root.GetName]!
EVTDESC_SOA_2361	Your majesty, this antagonism is completely unwarranted! The Chosen of Perkunas serve at the pleasure of the gods, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName]	Your majesty, this antagonism is completely unwarranted! The Chosen of Perkunas serve at the pleasure of the gods, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName]
expel_chosen_perkunas	Expel the Chosen of Perkunas	Expel the Chosen of Perkunas
expel_chosen_perkunas_desc	I can drive the Chosen of Perkunas from my realm and seize their castles. However, it is a very impious thing to do...	I can drive the Chosen of Perkunas from my realm and seize their castles. However, it is a very impious thing to do...
donate_money_to_chosen_perkunas	Donate 300¤ to the Chosen of Perkunas	Donate 300¤ to the Chosen of Perkunas
donate_money_to_chosen_perkunas_desc	I can donate money to the Chosen of Perkunas in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.	I can donate money to the Chosen of Perkunas in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.
expelled_d_chosen_perkunas	Expelled the Chosen of Perkunas	Expelled the Chosen of Perkunas
EVTTITLE_SOA_2409	The Sons of Kaleva	The Sons of Kaleva
EVTDESC_SOA_2409	A new Finnish holy order has surfaced dedicated to the preservation and defense of the new reformed Suomenusko religion. These warriors call themselves the 'Sons of Kaleva' and they are prepared to march into battle against all those who would deny the truth of their faith. Many Finns look upon them as the heroes of their ancient myths, and they seem to have no shortage of recruits.	A new Finnish holy order has surfaced dedicated to the preservation and defense of the new reformed Suomenusko religion. These warriors call themselves the 'Sons of Kaleva' and they are prepared to march into battle against all those who would deny the truth of their faith. Many Finns look upon them as the heroes of their ancient myths, and they seem to have no shortage of recruits.
EVTOPTA_SOA_2409	They are like the heroes of myth!	They are like the heroes of myth!
EVTDESC_SOA_2431	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the heroes in the Sons of Kaleva in struggle against heathens, even though this will forever disinherit him.	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the heroes in the Sons of Kaleva in struggle against heathens, even though this will forever disinherit him.
EVTDESC_SOA_2441	Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our quest to serve the will of Kaleva! You have my friendship, as well as that of the priesthood.\n\nMay the Gods watch over you,\nWarchief [From.GetFirstName]	Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our quest to serve the will of Kaleva! You have my friendship, as well as that of the priesthood.\n\nMay the Gods watch over you,\nWarchief [From.GetFirstName]
EVTTOOLTIP_SOA_2432	[This.GetTitledFirstName] becomes a Son of Kaleva.	[This.GetTitledFirstName] becomes a Son of Kaleva.
EVTDESC_SOA_2453	Most righteous [Root.GetTitledFirstName], the Sons of Kaleva are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay the Gods watch over you,\nWarchief [From.GetFirstName]	Most righteous [Root.GetTitledFirstName], the Sons of Kaleva are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [FromFrom.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay the Gods watch over you,\nWarchief [From.GetFirstName]
EVTDESC_SOA_2454	The Sons of Kaleva have constructed a castle in [Root.GetName]!	The Sons of Kaleva have constructed a castle in [Root.GetName]!
EVTDESC_SOA_2461	Your majesty, this antagonism is completely unwarranted! The Sons of Kaleva serve at the pleasure of the gods, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName]	Your majesty, this antagonism is completely unwarranted! The Sons of Kaleva serve at the pleasure of the gods, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName]
expel_sons_kaleva	Expel the Sons of Kaleva	Expel the Sons of Kaleva
expel_sons_kaleva_desc	I can drive the Sons of Kaleva from my realm and seize their castles. However, it is a very impious thing to do...	I can drive the Sons of Kaleva from my realm and seize their castles. However, it is a very impious thing to do...
donate_money_to_sons_kaleva	Donate 300¤ to the Sons of Kaleva	Donate 300¤ to the Sons of Kaleva
donate_money_to_sons_kaleva_desc	I can donate money to the Sons of Kaleva in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.	I can donate money to the Sons of Kaleva in exchange for [Player.Religion.GetPietyName] and lifelong respect from the Priesthood.
expelled_d_sons_kaleva	Expelled the Sons of Kaleva	Expelled the Sons of Kaleva
EVTTITLE_SOA_2509	The Cult of Huitzilopochtli	The Cult of Huitzilopochtli
EVTDESC_SOA_2509	The Easterners across the sea have more religions than a parrot has feathers, but the Aztec faith has now been reformed and reorganized to better stand against the heathens. Several warrior-priests have also founded a new holy order: the Cult of Huitzilopochtli. Devoted to the Aztec deity of war, this cult is bent on the forceful conversion of the world – preferably with lots of human sacrifice in the process.	The Easterners across the sea have more religions than a parrot has feathers, but the Aztec faith has now been reformed and reorganized to better stand against the heathens. Several warrior-priests have also founded a new holy order: the Cult of Huitzilopochtli. Devoted to the Aztec deity of war, this cult is bent on the forceful conversion of the world – preferably with lots of human sacrifice in the process.
EVTOPTA_SOA_2509	May their sacrifices be many and gruesome.	May their sacrifices be many and gruesome.
EVTDESC_SOA_2531	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Cult of Huitzilopochtli in their ongoing efforts to rip the heart out of every heathen unbeliever, even though this will forever disinherit him.	My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Cult of Huitzilopochtli in their ongoing efforts to rip the heart out of every heathen unbeliever, even though this will forever disinherit him.
