#CODE	ENGLISH
ONLY_ONE_TRIBAL	Only one tribe can live in each county.
EVTDESC_WOL_11123_BAD	While your troops withdraw from the center flank [attacker.GetFirstName] decides to push the center flank hard. [defender.GetFirstName] suggests that we keep the formation.
EVTOPTA_WOL_11123	Bring all the reserves to the center.
EVTOPTB_WOL_11123	Retreat the side flanks to keep the line.
EVTOPTC_WOL_11123	Fold the side flanks to surround the enemy.
EVTDESC_WOL_11124_GOOD	[attacker.GetFirstName] decides to hold [attacker.GetHerHis] line when our troops withdraw from the center flank. [defender.GetFirstName] suggests that we charge the center while the enemy hesitates.
EVTDESC_WOL_11124_BAD	[attacker.GetFirstName] decides to hold [attacker.GetHerHis] line when our troops withdraw from the center flank. [defender.GetFirstName] suggests that we strengthen our side flanks with our idle troops.
EVTOPTA_WOL_11124	Prepare a counterattack in the center flank.
EVTOPTB_WOL_11124	Use our center troops as reserve for our now pressured side flanks.
EVTOPTC_WOL_11124	Prepare a large push on our left flank with support from the center.
EVTDESC_WOL_11130	At the beginning of the war game the enemy quickly tries to advance up the hills in the area to get a strategical advantage.
EVTOPTA_WOL_11130	Bring all of our forces to contest the defensive grounds.
EVTOPTB_WOL_11130	Rush forward with a light skirmish force before their force reach the hill.
EVTDESC_WOL_11131_GOOD	When our troops reach the top of the hill [attacker.GetFirstName] smiles at us. He reveals the hidden troops that were deployed on the other side of the hill. [defender.GetFirstName] suggests that we should focus on taking down one of the enemy’s troops quickly.
EVTDESC_WOL_11131_BAD	When our troops reach the top of the hill [attacker.GetFirstName] smiles at us. He reveals the hidden troops that were deployed on the other side of the hill. [defender.GetFirstName] suggests that we split up our forces to handle the enemy.
EVTOPTA_WOL_11131	Let your troops take up a defensive position and brace for impact.
EVTOPTB_WOL_11131	Break off a small force to combat the hidden troops.
EVTOPTC_WOL_11131	Quickly try to defeat the hidden troops.
EVTDESC_WOL_11132_GOOD	The enemy ascends the hill quickly alongside our troops. As we reach the top of the hill simultaneously, our armies clash in an outright brawl. [defender.GetFirstName] suggests that we spread our tired troops evenly on the field.
EVTDESC_WOL_11132_BAD	The enemy ascends the hill quickly alongside our troops. As we reach the top of the hill simultaneously, our armies clash in an outright brawl.[defender.GetFirstName] suggests that we should break the enemies side flank.
EVTOPTA_WOL_11132	Spread out heavy and light troops evenly along the line.
EVTOPTB_WOL_11132	Focus your heavy troops in the center.
EVTOPTC_WOL_11132	Put all available troops on the left flank.
EVTDESC_WOL_11133_GOOD	[attacker.GetFirstName] decides to charge forward with his troops towards our skirmishing troops, forfeiting the opportunity to get a position on the hills. [defender.GetFirstName] suggests that we should move our troops to the hill.
EVTDESC_WOL_11133_BAD	[attacker.GetFirstName] decides to charge forward with his troops towards our skirmishing troops, forfeiting the opportunity to get a position on the hills. [defender.GetFirstName] suggests that we should interfere and engage the enemy.
EVTOPTA_WOL_11133	Try to flank the enemy with your main force.
EVTOPTB_WOL_11133	Rush forward to help your skirmishers.
EVTOPTC_WOL_11133	Use cavalry to cover the skirmishers retreat while taking the hill.
EVTDESC_WOL_11134_GOOD	[attacker.GetFirstName]’s troops continue to slowly advance up the hill, pressing on despite the assault of our skirmishers. [defender.GetFirstName] suggests that we should climb the hills fast.
EVTDESC_WOL_11134_BAD	[attacker.GetFirstName]’s troops continue to slowly advance up the hill, pressing on despite the assault of our skirmishers. [defender.GetFirstName] suggests that we should attack them from the back.
EVTOPTA_WOL_11134	Charge them while they're weakened by the pressure.
EVTOPTB_WOL_11134	Advance our main army to take a higher position than their troops.
EVTOPTC_WOL_11134	Circle around the slowed down enemy and attack from behind.
EVTDESC_WOL_11140_WIN1	Our opponent’s troops are clearly tired, and by using the high ground to our advantage, we quickly gain the upper hand. It is concluded that the defending team is victorious.
EVTDESC_WOL_11140_WIN2	We manage to exhaust our opponent by holding a stable line, standing as clear victors of the war game.
EVTDESC_WOL_11140_WIN3	After discovering the small enemy force, it was clear we had the advantage in numbers. With even ground we manage to whittle down the enemy until, finally, our team could claim victory.
EVTDESC_WOL_11140_WIN4	As we launch our attack we manage to break the opponent’s center, giving us the opportunity to subdue their split forces with ease. We stand uncontested as victors of the war game.
EVTDESC_WOL_11140_WIN5	When the opposing forces foolishly advance we easily surround them, gaining the upper hand as they are unable to break free. It is a decisive victory for the defending team.
EVTDESC_WOL_11140_WIN6	The opposing forces focused their efforts on our center, but were unable to break it. However, our side flanks managed to advance in return, surrounding their center flank and securing our victory.
EVTDESC_WOL_11140_LOSS1	As we keep the troops at the center mostly unused, the enemy manages to weaken the side flanks. Slowly but steadily, we are defeated.
EVTDESC_WOL_11140_LOSS2	Our decision to attack an opponent who holds a defensive high-ground proves disastrous. As our troops suffer massive losses, we are forced to admit defeat.
EVTDESC_WOL_11140_LOSS3	With our troops being split up and exhausted, we cannot fight the united forces of [attacker.GetFirstName]. We fail to inflict any lasting damage on our opponent, and are quickly overwhelmed. It is clear that we are defeated.
EVTDESC_WOL_11140_LOSS4	In the melee struggle our side flank is the first to falter, as the tired troops leave a clear opportunity for our opponent to take advantage of. We are quickly overpowered, and our opponent stands as the indisputable victor.
EVTDESC_WOL_11140_LOSS5	Our troops are surrounded in the blink of an eye, and we take more casualties than the opponent. In the aftermath [attacker.GetFirstName] stands as the obvious victor.
EVTDESC_WOL_11140_LOSS6	Our attempt to reinforce the center is much too late, and our troops end up disarrayed as we scramble to defend against the united forces of [attacker.GetFirstName]. It is clear that we cannot hold the line, and so we admit defeat.
EVTDESC_WOL_11140_LOSS7	As we were unable to stand up to the cavalry, our opponent had free reign to charge our center. With our forces split up, we were quickly defeated.
EVTDESC_WOL_11140_LOSS8	With our troops struggling to keep the flanks reinforced, exhaustion is upon them before the fighting has gotten truly grim. [attacker.GetFirstName] only needs to order a decisive push, and our troops are defeated.
EVTOPTA_WOL_11140	Strategy is my game!
EVTOPTB_WOL_11140	Good game.
EVTOPTD_WOL_11140	Smash the table and send the army pieces flying!
#	
