#CODE	ENGLISH
CONVERTING	CONVERTING
EVTDESC_RIP_30211	You are sitting by your [GetFromRelation] [From.GetTitledFirstName]'s sickbed, half asleep, when [From.GetHerHis] faint voice pierces through your foggy mind. You lean in, urging [From.GetHerHim] to repeat [From.GetHerselfHimself]. [From.GetHerHisCap] words leave you cold. "End it… please."
EVTOPTA_RIP_30211	I will release you from your suffering, dear [GetFromRelation].
EVTOPTB_RIP_30211	You are speaking nonsense! I will do no such thing!
EVTDESC_RIP_30212_SUCCESS_A	Your [GetFromRelation] [From.GetTitledFirstName]'s hand clutches yours, and through the fog of your mind you hear [From.GetHerHis] voice. "Do not worry, [Root.GetFirstName]. It will be over soon…" A heavy weight presses down on your throat. Weakly, you struggle… Then you are no more.
EVTDESC_RIP_30212_SUCCESS_B	A hand clutches yours, and through the fog of your mind you hear a voice. "Do not worry, [Root.GetFirstName]. It will be over soon…" A heavy weight presses down on your throat. Weakly, you struggle… Then you are no more.
EVTDESC_RIP_30212_FAIL	The sound of something as it clatters to the floor pierces through the fog of your mind. You hear [From.GetTitledFirstName]'s voice, from far away… It is tinged with fear, denial. Hurried footsteps. You are alone once more.
EVTOPTB_RIP_30212	Come back... [From.GetFirstName]...
commit_suicide_allow_tooltip	§Y[Root.GetTitledFirstName]§! must have a reason to commit suicide.\n
EVTDESC_RIP_30222	Some days being [Root.GetTitle] is no easy thing. There is always business to attend to, subjects seeking audiences and vassals complaining about imagined injustices. Finally you are having a moment to yourself, strolling the gardens. In the distance you spot a stranger dressed in a simple garb.
EVTOPTA_RIP_30222	I shall invite this [From.GetManWoman] to walk with me!
EVTOPTB_RIP_30222	I'd rather be alone.
EVTDESC_RIP_30223_A	It turns out that the stranger, [From.GetFirstName], is a nun on [From.GetHerHis] way back to the cloister after several months on the road. As the evening light grows dimmer, you converse about life and death, faith and doubt. When you excuse yourself to return home, the nun asks if you can offer room and board for a few days.
EVTDESC_RIP_30223_B	It turns out that the stranger, [From.GetFirstName], is a monk on his way back to the cloister after several months on the road. As the evening light grows dimmer, you converse about life and death, faith and doubt. When you excuse yourself to return home, the monk asks if you can offer room and board for a few days.
EVTDESC_RIP_30223_C	It turns out that the stranger, [From.GetFirstName], is a Catholic nun on her way back to the cloister after several months on the road. As the evening light grows dimmer, you converse about life and death, her God and [Root.Religion.GetHighGodName]. When you excuse yourself to return home, the nun asks if you can offer room and board for a few days.
EVTDESC_RIP_30223_D	It turns out that the stranger, [From.GetFirstName], is a Catholic monk on his way back to the cloister after several months on the road. As the evening light grows dimmer, you converse about life and death, his God and [Root.Religion.GetHighGodName]. When you excuse yourself to return home, the monk asks if you can offer room and board for a few days.
EVTOPTA_RIP_30223	Of course, [From.GetFirstName]! You shall find rest by my hearth.
EVTOPTA_RIP_30223_TOOLTIP	Invite §Y[From.GetFirstName]§! to stay with you for a few days.\n
EVTOPTB_RIP_30223	There is an excellent inn not far from here.
EVTOPTB_RIP_30223_TOOLTIP	Give §Y[From.GetFirstName]§! some money and direct [From.GetHerHim] to the inn.\n
EVTOPTC_RIP_30223_A	Isn't a bit of suffering the point of a pilgrimage?
EVTOPTC_RIP_30223_B	I will not have an infidel under my roof!
EVTOPTC_RIP_30223_TOOLTIP	Turn away §Y[From.GetFirstName]§!.\n
EVTNAME_RIP_30224	For Whom The Bells Toll
EVTDESC_RIP_30224_A	More often than not, you retreat to your chambers in the evening feeling exhausted and weary. Tonight is no exception. Falling asleep is usually easy after a long and taxing day, however recently, sleep seems to elude you. You are sitting in your study, idly moving chess pieces on the board before you, sipping a glass of wine hoping that it shall give you the rest you seek.\n\nSuddenly, someone knocks. Who could it be at this hour? Before you can shout at the intruder to leave you alone, the door opens and [From.GetFirstName] strides in. "Good evening, my [Root.GetLordLady]. I realized that I never introduced myself properly. I am Death, and I am here to collect you." A dagger is glinting in [From.GetHerHis] hand…
EVTDESC_RIP_30224_B	More often than not, you retreat to your chambers in the evening feeling exhausted and weary. Tonight is no exception. Falling asleep is usually easy after a long and taxing day, however recently, sleep seems to elude you. You are sitting in your study, idly moving chess pieces on the board before you, sipping a glass of wine hoping that it shall give you the rest you seek.\n\nSuddenly, you hear a sound behind you, and you turn around in your chair. There stands the [From.GetManWoman] you walked with a few days ago. "Good evening, my [Root.GetLordLady]. I realized that I never introduced myself properly. I am Death, and I am here to collect you." A dagger is glinting in [From.GetHerHis] hand…
EVTDESC_RIP_30224_C	More often than not, you retreat to your chambers in the evening feeling exhausted and weary. Tonight is no exception. Falling asleep is usually easy after a long and taxing day, however recently, sleep seems to elude you. You are sitting in your study, idly moving chess pieces on the board before you, sipping a glass of wine hoping that it shall give you the rest you seek.\n\nSuddenly, you hear a sound behind you, and you turn around in your chair. There stands a [From.GetManWoman] you have never seen before, a faint smile on [From.GetHerHis] lips. "Good evening, my [Root.GetLordLady]. I am Death, and I am here to collect you." A dagger is glinting in [From.GetHerHis] hand…
EVTOPTA_RIP_30224	I… I challenge you to a game of chess!
EVTOPTA_RIP_30224_TOOLTIP	Attempt to buy yourself time by challenging §Y[From.GetFirstName]§! to a game of chess.
EVTOPTB_RIP_30224	Not today!
EVTOPTB_RIP_30224_TOOLTIP	Launch yourself at §Y[From.GetFirstName]§! in an attempt to overpower [From.GetHerHim].\n
EVTOPTB_RIP_30224_TOOLTIP_SURVIVE	surviving the assassination attempt, however, you are likely to be injured in the struggle.
EVTDESC_RIP_30225	Afterwards, you barely know what happened. It was over in a few moments of blind rage and fear. The dagger clatters to the floor as you release it. Your legs buckle under you, and you fall hard in a puddle of sticky, warm blood. Yours or [From.GetHerHis]? It is unclear...
EVTOPTB_RIP_30225	Help… guards...
EVTDESC_RIP_30226	[From.GetFirstName] raises an eyebrow, an amused look on [From.GetHerHis] face. "Why not? I have all the time in the world. Though you are simply postponing the inevitable, [Root.GetFirstName], for you are sure to lose." [From.GetSheHeCap] settles in the chair opposite your own and places the dagger on the table. "Black or white?"
EVTOPTA_RIP_30226	The white pieces, please.
EVTOPTA_RIP_30226_TOOLTIP	You pick the white pieces and the game begins.
EVTOPTB_RIP_30226	I will play as black.
EVTOPTB_RIP_30226_TOOLTIP	You pick the black pieces and the game begins.
EVTDESC_RIP_30226_BLACK	"Black, my lucky color… Well, it matters not", [From.GetFirstName] says with a nonchalant shrug.\n\nWhat is your strategy for the first part of the game?
EVTDESC_RIP_30226_WHITE	"White… Yes, you will need all the help you can get", [From.GetFirstName] says with a grin.\n\nWhat is your strategy for the first part of the game?
EVTOPTA_RIP_30227	It is safest to play defensive.
EVTOPTB_RIP_30227	I will take advantage of any opening, no matter the risk.
EVTOPTC_RIP_30227	I'm not above cheating, if the opportunity presents itself.
EVTOPTD_RIP_30227	I have a well-practiced strategy in mind.
EVTOPTE_RIP_30227	I will carefully analyze the board and take my time.
CHESS_GREAT_MOVE	you making a great move.
CHESS_GOOD_MOVE	you making a good move.
CHESS_NEUTRAL_MOVE	you making a neutral move.
CHESS_BAD_MOVE	you making a bad move.
CHESS_TERRIBLE_MOVE	you making a terrible move.
CHESS_GOOD_TRICK	of you cheating successfully.
CHESS_BAD_TRICK	of you botching the attempt to cheat.
EVTDESC_RIP_30228_GREAT	In the first few minutes of the game, you manage to advance across the board, taking out several of [From.GetFirstName]'s pieces while barely suffering any losses yourself. As you capture [From.GetHerHis] second knight, [From.GetSheHe] clicks [From.GetHerHis] tongue testily. "Do not get too confident. It is not over yet."
EVTDESC_RIP_30228_GOOD	While [From.GetFirstName] is certainly an accomplished player, you manage to capture a few more pieces than [From.GetHerHim] during the first part of the game. You do not like the look on [From.GetHerHis] face, however…
EVTDESC_RIP_30228_NEUTRAL	It is impossible to tell who has the upper hand after the first part of the game. While you have captured a few more pieces than [From.GetFirstName], [From.GetHerHis] position on the board surely looks more promising. [From.GetHerHisCap] ominous smile makes you anxious...
EVTDESC_RIP_30228_BAD	It has only been a few minutes when you realize just how badly it is going. At first you thought you were safe, having kept almost all of your pieces, but now you can see how [From.GetFirstName] has positioned [From.GetHerHis] own. Is it too late to turn this game around?
EVTOPTA_RIP_30228_A	Thank [Root.Religion.GetHighGodName] for my good fortune! Please let it continue...
EVTOPTA_RIP_30228_B	Curses upon that [GetRootFromInsult]!
EVTOPTA_RIP_30228_TOOLTIP	The game continues...
EVTDESC_RIP_30229_GOOD	You try to keep your nerves in check, although it is nearly impossible. You are in the lead! The scowl on [From.GetFirstName] has renewed your hopes. Or is it just a trick…?\n\nWhat is your next move?
EVTDESC_RIP_30229_NEUTRAL	The game continues in silence as both of you are fully focused on your next move. At the moment, the game seems even. At least you think it does… \n\nWhat is your next move?
EVTDESC_RIP_30229_BAD	The game is not going well. There is a heavy, cold feeling at the pit of your stomach. You wish you could vomit, but somehow you think that would only please [From.GetFirstName] further... \n\nWhat is your next move?
EVTOPTA_RIP_30229	If [From.GetFirstName] starts drinking, maybe [From.GetSheHe] will lose [From.GetHerHis] edge!
EVTOPTA_RIP_30229_TOOLTIP	Pour §Y[From.GetFirstName]§! a glass and keep refilling it throughout the game. Surely you can outdrink [From.GetHerHim].
EVTOPTB_RIP_30229	No one can withstand my charms, not even Death.
EVTOPTB_RIP_30229_TOOLTIP	Attempt to distract §Y[From.GetFirstName]§! with your renowned skills of seduction.
EVTOPTC_RIP_30229	I will tell [From.GetFirstName] a little tale…
EVTOPTC_RIP_30229_TOOLTIP	Attempt to make §Y[From.GetFirstName]§! nervous by telling [From.GetHerHim] what you usually do to those you defeat.
EVTOPTF_RIP_30229	I shall tell [From.GetFirstName] of the crushing defeat my last opponent suffered.
EVTOPTF_RIP_30229_TOOLTIP	Attempt to make §Y[From.GetFirstName]§! nervous by bragging about your chess skills.
EVTOPTD_RIP_30229	If I distract [From.GetFirstName], perhaps I can return one of my lost pieces to the board.
EVTOPTD_RIP_30229_TOOLTIP	Knock over your wine glass in an attempt to distract §Y[From.GetFirstName]§!.\n
EVTOPTE_RIP_30229	It is best to just focus on the game.
EVTDESC_RIP_30230_DRINKING	You almost cannot believe it, but surely it is so – the plan is successful! While your mind is still sharp enough, [From.GetFirstName] seems to have lost some of [From.GetHerHis] focus. You fill up [From.GetHerHis] cup again and [From.GetSheHe] nods absentmindedly in response.
EVTDESC_RIP_30230_SEDUCTION	You almost cannot believe it, but surely it is so – the plan is successful! You were right, not even [From.GetFirstName] is immune to your charms and seems to have lost some of [From.GetHerHis] focus. As you lean forwards over the table, pretending to contemplate your next move, you can hear [From.GetHerHis] breath hitch.
EVTDESC_RIP_30230_INTIMIDATION	You almost cannot believe it, but surely it is so – the plan is successful! As you keep playing, you tell [From.GetFirstName] stories about your victims in intricate detail, accentuating the most shocking parts by slamming your pieces against the board. [From.GetSheHeCap] seems to have lost some of [From.GetHerHis] focus.
EVTDESC_RIP_30230_BRAG	You almost cannot believe it, but surely it is so – the plan is successful! As you keep playing, you tell [From.GetFirstName] stories about your masterful chess skills, and prove them too by some clever moves. [From.GetSheHeCap] seems to have lost some of [From.GetHerHis] focus.
EVTDESC_RIP_30230_GOOD_TRICK	You almost cannot believe it, but surely it is so – the plan is successful! The wine spills all over [From.GetFirstName]'s garb. As [From.GetSheHe] rubs a cloth on the huge, red stain, cursing you under [From.GetHerHis] breath, you restore one of your rooks. That was worth getting called a [GetFromRootInsult], for sure!
EVTDESC_RIP_30230_BAD_TRICK	The wine spills all over [From.GetFirstName]'s garb. As [From.GetSheHe] rubs a cloth on the huge, red stain, cursing you under [From.GetHerHis] breath, you attempt to restore one of your rooks. For a moment, you think your move went undetected, but then [From.GetFirstName] scans the board and sighs "Oh, how I despise cheaters…"
EVTOPTA_RIP_30230	Perhaps I can win this, after all!
EVTOPTB_RIP_30230	No, wait, it's not what you think!
EVTOPTB_RIP_30230_TOOLTIP	§Y[From.GetFirstName]§! reaches for the dagger...\n
EVTDESC_RIP_30231_GOOD	Never have you met such a tenacious, unnerving opponent and never have so much been at stake. The game is nearing its end, and seemingly against all odds you have the upper hand. [From.GetFirstName] slams your captured rook down on the table. "I could be persuaded to return this to you, for the right price…"
EVTDESC_RIP_30231_NEUTRAL	Never have you met such a tenacious, unnerving opponent and never have so much been at stake. The game is nearing its end, and it is looking even, indeed. [From.GetFirstName] is playing with your captured queen, smiling confidently. "I could be persuaded to return this to you, for the right price…"
EVTDESC_RIP_30231_BAD	Never have you met such a tenacious, unnerving opponent and never have so much been at stake. The game is nearing its end, and it is looking grim, indeed. [From.GetFirstName] is playing with your captured queen, smiling confidently. "I could be persuaded to return this to you, for the right price…"
EVTOPTA_RIP_30231	No, thank you. I put my trust in my skill.
EVTOPTB_RIP_30231_A	The life of my [chess_sacrifice.GetHusbandWife], [chess_sacrifice.GetTitledFirstName]. If I lose, [chess_sacrifice.GetSheHe] is yours.
EVTOPTB_RIP_30231_B	The life of my friend, [chess_sacrifice.GetTitledFirstName]. If I lose, [chess_sacrifice.GetSheHe] is yours.
EVTOPTB_RIP_30231_C	The life of my lover, [chess_sacrifice.GetTitledFirstName]. If I lose, [chess_sacrifice.GetSheHe] is yours.
EVTOPTB_RIP_30231_D	The life of my [chess_sacrifice.GetSonDaughter], [chess_sacrifice.GetTitledFirstName]. If I lose, [chess_sacrifice.GetSheHe] is yours.
EVTNAME_RIP_30232	Dealings with Death
EVTDESC_RIP_30232_BAD	During the last few moves, it feels as if time is standing still. Your thoughts are muddled, moving slowly as if through a thick syrup. Random, disjointed thoughts flashes through your mind. Places you once visited, old friends you have not seen in years, dreams you gave up on. So many loose ends, and now it might be too late to pick them up again. \n\n"Checkmate." Your head snaps back up, your eyes locking with [From.GetFirstName]'s. For the first time this evening, you can really see it, and it chills you to your core. The figure before you is not an ordinary [From.GetManWoman], not a [From.GetManWoman] at all. This is Death, and [From.GetSheHe] just won. "It is time then, [Root.GetFirstName]", [From.GetSheHe] sighs contentedly. "The endless rest awaits."
EVTDESC_RIP_30232_GOOD	During the last few moves, it feels as if time is standing still. Random, disjointed thoughts flashes through your mind. Places you once visited, old friends you have not seen in years, dreams you gave up on. Is it too late…? \n\nThen suddenly, you see it. The move. With a shaking hand, you pick up the bishop and set it down across the board with a soft thud. "Checkmate", you whisper, looking up into [From.GetFirstName]'s eyes. For the first time this evening, you can really see it, and it chills you to your core. This is no mortal [From.GetManWoman], but Death [From.GetHerselfHimself]. "It seems as if you have outwitted me, [Root.GetFirstName], so I will give you a few more years", [From.GetSheHe] sighs. "It is of little consequence, for in the end all come with me." And then, as you blink, [From.GetSheHe] is gone.
EVTOPTA_RIP_30232	That might be true, but for now, I shall live. Not a day will be wasted!
EVTOPTB_RIP_302232_TOOLTIP	You feel stronger...\n
EVTOPTB_RIP_30232	Please, no, no… I beg of you, mercy! Just… just one more year!
skull_trophies	Skull Trophies
skull_trophies_desc	This character owns the skulls of several deceased rivals.
chess_score_number	[Root.chess_score.GetValue]
deaths_gift	Death's Gift
deaths_gift_desc	This character has been given a second chance at life.
EVTOPTA_RIP_30233	Praised be [Root.Religion.GetHighGodName]!
EVTDSC_7852_dog	Today I decided to go and visit my dog at [From.GetTitledFirstName]'s residence. When I arrived I found them playing together most enthusiastically. I watched them for several minutes before I announced myself.
EVTDSC_7852	Today I decided to go and visit my cat at [From.GetTitledFirstName]'s residence. When I arrived I found [From.GetHerHim] playing most enthusiastically with the little furball. I watched them for several minutes before I announced myself.
EVTOPTA_77852	Thank you, [From.GetFirstName], for taking such good care of my cat!
EVTOPTA_77852_TOOLTIP	You and §Y[From.GetTitledFirstName]§! bond over your love of cats.\n
EVTOPTA_77852_dog	Thank you, [From.GetFirstName], for taking such good care of my dog!
EVTOPTA_77852_TOOLTIP_dog	You and §Y[From.GetTitledFirstName]§! bond over your love of dogs.\n
EVTDSC_7853_dog	Today I decided to go and visit my dog at [From.GetTitledFirstName]'s residence. However, when I arrived, [From.GetSheHe] could not produce the canine. When I angrily demanded to know the truth [From.GetSheHe] admitted to having gotten rid of the dog a few days earlier.
EVTDSC_7853	Today I decided to go and visit my cat at [From.GetTitledFirstName]'s residence. However, when I arrived, [From.GetSheHe] could not produce the feline. When I angrily demanded to know the truth [From.GetSheHe] admitted to having gotten rid of the cat a few days earlier.
EVTOPTA_77853	What have you done, you [GetRootFromInsult]?!
EVTOPTA_77853_TOOLTIP	You let §Y[From.GetTitledFirstName]§! know exactly what you think of [From.GetHerHis] behaviour.\n
pet_best_friends	Pet Best Friends
pet_best_friends_desc	This character has pets which are the best of friends.
EVTDESC_77861	Your two pets truly fight like cat and dog. You can barely sleep at night unless you lock them in separate rooms. In fear of confinement, your cat has begun hiding before bedtime. Yesterday you spent the better part of an hour looking for it. You cannot stand this much longer...
EVTOPTA_77861	They will figure it out in due time.
EVTOPTA_77861_TOOLTIP	You give your cat and dog a chance to get used to each other.
EVTOPTB_77861	I will find a new owner for my dog.
EVTOPTC_77861	The cat is obviously unhappy. I will get it a new home.
EVTDESC_77862_A	Today, when you were going for a hunt, you couldn't find your loyal canine companion anywhere. As you called its name, the stable master came over and told you that he had seen a cat chase a dog across the courtyard. Now it is nowhere to be found…
EVTDESC_77862_B	It is time to go to bed and you are searching for your cat. You attempt your most recent trick, luring it out with small treats from the kitchen, but for the first time the method proves unsuccessful. Once an hour has passed, you give up and call for your dog. It comes running with a limp little body in its maw…
EVTDESC_77862_C	Some time was just what your pets needed. One day they simply stopped fighting and since they have become the best of friends. Now you often find them playing or snoozing together. They really seem much happier.
EVTOPTA_77862	The fault is mine. The cat is just an animal...
EVTOPTB_77862	My dog is never coming back and it is all your fault, evil beast!
EVTOPTB_77862_TOOLTIP	Get rid off your cat.\n
EVTOPTC_77862	The fault is mine. The dog is just an animal...
EVTOPTD_77862	How… how could you! Bad dog! BAD DOG!
EVTOPTD_77862_TOOLTIP	Get rid off your dog.\n
EVTOPTE_77862	How sweet! I knew they would get along in the end.
duel_tooltip_excommunicated	Challenger is '§YZealous§!' and §Y[Root.GetTitledFirstName]§! is §YExcommunicated§! in the same religion.\n
duel_tooltip_decadent	Challenger is '§YZealous§!' Muslim and §Y[Root.GetTitledFirstName]§! is §YDecadent§!.\n
duel_tooltip_challenged_before	Duelers have not challenged each other to a duel before.\n
duel_tooltip_rivals	§Y[From.GetTitledFirstName]§! and §Y[Root.GetTitledFirstName]§! are rivals.\n
duel_tooltip_foes	§Y[From.GetTitledFirstName]§! and §Y[Root.GetTitledFirstName]§! are foes.\n
duel_tooltip_sickness	§Y[From.GetTitledFirstName]§! and §Y[Root.GetTitledFirstName]§! must be in a healthy condition.\n
RULE_DUELING	§BWay of Life:§! Dueling
RULE_DUELING_DEFAULT_DESC	Default restrictions for dueling applies.
RULE_DUELING_RESTRICTED_DESC	You no longer need a reason to duel someone, but they must still be healthy and a valid target in your culture and religion.
RULE_DUELING_UNRESTRICTED_DESC	Almost anyone can be dueled. Restrictions concerning gender, health and religion no longer applies.
RULE_PUNISHMENT_RELEASE_PRISONER	Release Prisoners After Punishment
RULE_PUNISHMENT_RELEASE_PRISONER_ON_DESC	Prisoners are released after having received their punishment.
RULE_PUNISHMENT_RELEASE_PRISONER_OFF_DESC	Blinding, castration, torture, mutilation, humiliation, and poetry readings no longer release prisoners.
RULE_NON_EPIDEMIC_DISEASES	§BThe Reaper's Due:§! Non-Epidemic Diseases
RULE_NON_EPIDEMIC_DISEASES_DEFAULT_DESC	Characters will develop and contract non-epidemic diseases, such as pneumonia and cancer, at the default rate.
RULE_NON_EPIDEMIC_DISEASES_MORE_DESC	There will be more cases of non-epidemic diseases.
RULE_NON_EPIDEMIC_DISEASES_FEWER_DESC	There will be fewer cases of non-epidemic diseases.
RULE_NON_EPIDEMIC_DISEASES_RARE_DESC	Cases of non-epidemic diseases will be rare.
RULE_NON_EPIDEMIC_DISEASES_NONE_DESC	There will be practically no cases of non-epidemic diseases.
RULE_PROVINCIAL_REVOLT_STRENGTH	§BThe Old Gods:§! Provincial Revolt Strength
RULE_PROVINCIAL_REVOLT_STRENGTH_DEFAULT_DESC	The strength of provincial revolts is at the default level.
RULE_PROVINCIAL_REVOLT_STRENGTH_POWERFUL_DESC	Provincial revolts are powerful. Their armies are twice as numerous as at the default level.
RULE_PROVINCIAL_REVOLT_STRENGTH_VERY_POWERFUL_DESC	Provincial revolts are very powerful. Their armies are four times as numerous as at the default level.
RULE_PROVINCIAL_REVOLT_STRENGTH_EXTREMELY_POWERFUL_DESC	Provincial revolts are extremely powerful. Their armies are six times as numerous as at the default level.
RULE_OPTION_POWERFUL	Powerful
RULE_OPTION_VERY_POWERFUL	Very Powerful
RULE_OPTION_EXTREMELY_POWERFUL	Extremely Powerful
RULE_MULTIPLAYER_ASSASSINATIONS	Multiplayer Assassinations
RULE_MULTIPLAYER_ASSASSINATIONS_DEFAULT_DESC	There are no additional restrictions on whom you can plot to kill in multiplayer.
RULE_MULTIPLAYER_ASSASSINATIONS_NO_PLAYERS_DESC	Plotting to kill other players is disabled.
RULE_MULTIPLAYER_ASSASSINATIONS_NO_PLAYERS_OR_HEIRS_DESC	Plotting to kill other players or their heirs is disabled.
RULE_MULTIPLAYER_ASSASSINATIONS_NO_PLAYER_DYNASTIES_DESC	Plotting to kill other players or anyone else from their dynasties is disabled.
RULE_OPTION_NO_PLAYERS	No Players
RULE_OPTION_NO_PLAYERS_OR_HEIRS	No Players or Heirs
RULE_OPTION_NO_PLAYER_DYNASTIES	Player Dynasties
pick_main_deity_tooltip	§Y[Root.GetTitledFirstName]§! gets to pick a new patron deity to worship.
pick_main_deity_timer_tooltip	Has not picked a patron deity for 10 years.\n
pick_main_deity	Pick Patron Deity
pick_main_deity_desc	There are many gods and goddesses who rule over different aspects of our life. While all of them should be honored properly, it is common for people to pick a deity whom they pray and sacrifice to more often.
EVTDESC_TOG_7110	There are many deities whom you may chose to honor. Will it be Perun, God of Thunder, the fiercest of warriors? Or perhaps his eternal nemesis Veles, God of the Underworld? Jarilo, the springtime God of Fertility, and his sister Morana, wintry God of Death and Rebirth, also possess mighty powers.
EVTOPTA_TOG_7110	I pledge my axe to Perun. I would give my life for his honor!
EVTOPTB_TOG_7110	Hallowed be wise Veles. No one can outwit him!
EVTOPTC_TOG_7110	May Jarilo bring prosperity and happiness to these lands!
EVTOPTD_TOG_7110	Mighty Morana, share your secrets with me, and I shall keep them.
follower_of_perun	Follower of Perun
follower_of_perun_desc	This character is a devout follower of Perun, the Slavic God of Thunder. He is also associated with fire, mountains and war.
follower_of_veles	Follower of Veles
follower_of_veles_desc	This character is a devout follower of Veles, the Slavic God of the Underworld. He is also associated with water, music and trickery.
follower_of_jarilo	Follower of Jarilo
follower_of_jarilo_desc	This character is a devout follower of Jarilo, the Slavic God of Fertility. He is also associated with spring and vegetation.
follower_of_morana	Follower of Morana
follower_of_morana_desc	This character is a devout follower of Morana, the Slavic Godess of Death and Rebirth. She is also associated with winter, magic and dreams.
EVTDESC_TOG_7111	Perun, the God of Thunder, is the highest of all the gods. He sits atop the world tree from where he keeps watch over the earth and the skies. His sworn enemy is Veles the Serpent, who crawls up from the Underworld to steal his cattle and children. On stormy nights, thunder is a sign of Perun defending us against Veles.
EVTDESC_TOG_7112	While Perun might rule our earthly world, wise and sly Veles is the God of the Underworld, where all of us will end up one day. His realm is not a dark and barren one, but wet and lush. Veles' chosen devote their life to carrying out his desires in this world, with the hopes of a glorious afterlife in the next.
EVTDESC_TOG_7113	Jarilo, the God of Fertility, is the son of Perun. He and his sister Morana were born on new year's eve, although Jarilo was snatched from his cradle by Veles, and brought up as his son in the Underworld. When Jarilo returned to the earthly realm, he brought with him warmth and lushness, thus creating spring.
EVTDESC_TOG_7114	Morana, the Goddess of Death and Rebirth, is a mighty but vengeful mistress. When her brother and husband Jarilo cheated on her, she slew him. Without him the world withered and froze, thus creating winter. Morana holds many secrets and spells which she bestows on her most faithful followers.
EVTOPTA_TOG_7111	I hope to prove myself a worthy follower.
EVTDESC_TOG_7200	There are many deities whom you can chose to follow. Will it be motherly Yemoja, Goddess of Water and Fertility? Perhaps the trickster Ekwensu, who knows how to negotiate and strike a bargain? For knowledge, turn to the sage Orunmila, while luck in battle shall be granted to those who pray to Shango.
EVTOPTA_TOG_7200	It shall be Yemoja. May the mother protect me.
EVTOPTB_TOG_7200	Ekwensu will bless me with riches beyond imagining.
EVTOPTC_TOG_7200	I will dedicate my prayers to great Orunmila, the holder of truth.
EVTOPTD_TOG_7200	Strong and mighty Shango, I will do battle in your name!
EVTDESC_TOG_7201	Yemoja, spirit of Water and Creation, is both warm and fierce. Like all mothers, she has a gentle hand, until anyone threatens her children. She is worshiped wherever there is water, at shores and rivers alike, and is the patron of pregnant women and fishermen.
EVTDESC_TOG_7202	Shrewd and manipulative, no one can strike a bargain like Ekwensu. Even in the most difficult mercantile situations, he can be called upon for luck and guidance. While he normally works in the shadows, Ekwensu can be a force of chaos and violence if crossed, so tread carefully.
EVTDESC_TOG_7203	The primordial Orunmila is the holder of wisdom and truth. They are especially knowledgeable of the human form and purity. Orunmila is said to be able to cure to every illness and divine the future. Followers of Orunmila strive to live a virtuous, just life.
EVTDESC_TOG_7204	All hail the mighty Shango, the great warrior king who transcended the bonds of mortality to rule forever! His weapons are stones and lightning, with whom he vanquishes the unworthy and brings justice wherever he goes.
follower_of_yemoja	Follower of Yemoja
follower_of_yemoja_desc	This character is a devout follower of Yemoja, the West African deity of water and motherhood.
follower_of_ekwensu	Follower of Ekwensu
follower_of_ekwensu_desc	This character is a devout follower of Ekwensu, the West African deity of trade and negotiations.
follower_of_orunmila	Follower of Orunmila
follower_of_orunmila_desc	This character is a devout follower of Orunmila, the West African deity of knowledge and purity.
follower_of_shango	Follower of Shango
follower_of_shango_desc	This character is a devout follower of Shango, the West African deity of lightning, justice and war.
EVTDESC_RIP_12099_A	To the [GetFromRootInsult] [Root.GetTitledFirstName],\n\nDue to the affliction spreading through [Root.PrimaryTitle.GetName] I have been forced to seclude myself with my court at [From.Location.GetName]. Thus I will not fulfill my duties as [From.GetJobTitle] until the crisis is over.\n\nSigned, [From.GetTitledFirstName]
EVTDESC_RIP_12099_B	To the most respectable [Root.GetTitledFirstName],\n\nDue to the affliction spreading through [Root.PrimaryTitle.GetName] I have been forced to seclude myself with my court at [From.Location.GetName]. Thus I unfortunately cannot fulfill my duties as [From.GetJobTitle] until the crisis is over.\n\nSigned, [From.GetTitledFirstName]
EVTOPTA_RIP_12099_A	I never should have put that [GetRootFromInsult] on my council!
EVTOPTA_RIP_12099_B	Regrettable, although understandable...
EVTDESC_RIP_12100	§Y[From.GetTitledFirstName]§! has returned to my court and council. [From.GetSheHeCap] is yet again able to carry out [From.GetHerHis] duties as [From.GetJobTitle].
EVTDESC_TOG_7300	There are many deities whom you can chose to follow. Great Ukko, God of the Sky and the bringer of good harvests, or his wife Akka, Goddess of love and protection. Perhaps you will pray to Tapio and Mielikki, Master and Mistress of the Hunt. You may also dedicate your worship to the sly tempter Lempo...
EVTOPTA_TOG_7300	Ukko rules over them all!
EVTOPTB_TOG_7300	I am one of Akka's children. May she protect me.
EVTOPTC_TOG_7300	Tapio and Mielikki shall bring me good fortune in the forest!
EVTOPTD_TOG_7300	May Lempo bestow their secrets upon me.
EVTDESC_TOG_7301	The domain of the great and mighty Ukko is the heavens. He rules over the weather and brings us good harvests. As he rides in his chariot, swinging his great hammer, he sends lightning bolts across the sky. As the chief of all gods, he grants his followers guidance in their rule and prosperity in their realm.
EVTDESC_TOG_7302	Akka, Goddess of love, fertility and protection, is a gentle yet powerful mistress. She cares for all of her children, although especially mothers and infants. When thunder echoes between the mountains, it is Akka making love with her husband, the chief god Ukko.
EVTDESC_TOG_7303	The woods are ruled by Tapio and Mielikki, God and Goddess of the Hunt. Those who pledge their allegiance to them shall always be blessed with true aim and strength of body. Mielikki is also a most accomplished healer and has a vast knowledge of all the herbs in the forest.
