#CODE	ENGLISH	ENGLISH
REL_CAPTOR	Captor	Captor
#BM_THE_MONGOLS_DESC	The terrible Mongol Horde has swept like a scythe through Eastern Europe, effortlessly mowing down all opposition. As even the Holy Roman Emperor Friedrich II cowers in fear, the great invasion suddenly comes to an inexplicable halt as both Batu Khan of the Golden Horde and Hulagu Khan of the Ilkhanate return to Karakorum to elect a new Great Khan. In Northern Germany, the burghers of the Imperial Free Cities of Lübeck and Hamburg have just formed a trade alliance that will eventually become known as the Hanseatic League.	The terrible Mongol Horde has swept like a scythe through Eastern Europe, effortlessly mowing down all opposition. As even the Holy Roman Emperor Friedrich II cowers in fear, the great invasion suddenly comes to an inexplicable halt as both Batu Khan of the Golden Horde and Hulagu Khan of the Ilkhanate return to Karakorum to elect a new Great Khan. In Northern Germany, the burghers of the Imperial Free Cities of Lübeck and Hamburg have just formed a trade alliance that will eventually become known as the Hanseatic League.
IS_EMBARGOING	Is Embargoing §Y$OTHER$§!	Is Embargoing §Y$OTHER$§!
REPUBLICAN	Republican	Republican
#HAS_FEWER_TPS_THAN	Has fewer than §Y$NUM$§! Trade Posts	Has fewer than §Y$NUM$§! Trade Posts
#HAS_MORE_TPS_THAN	Has at least §Y$NUM$§! Trade Posts	Has at least §Y$NUM$§! Trade Posts
#NUM_TP_DIFF_LOWER_THAN	Difference between §Y$FIRST$§! and §Y$SECOND$§!'s Trade Posts lower than §Y$VAL$§!	Difference between §Y$FIRST$§! and §Y$SECOND$§!'s Trade Posts lower than §Y$VAL$§!
#NUM_TP_DIFF_AT_LEAST	Difference between §Y$FIRST$§! and §Y$SECOND$§!'s Trade Posts at least §Y$VAL$§!	Difference between §Y$FIRST$§! and §Y$SECOND$§!'s Trade Posts at least §Y$VAL$§!
IS_NOT_EMBARGOING	Is NOT Embargoing §Y$OTHER$§!	Is NOT Embargoing §Y$OTHER$§!
INTERACTION_REQUIRES_RECIPIENT_NO_CONTESTED_TITLES	§Y[Recipient.GetTitledFirstName]§! has no titles currently contested in a war	[Recipient.GetTitledName] has no titles currently contested in a war
INTERACTION_REPUBLICS_NEED_IMPRISON_REASON	Ruler of Republic has a valid imprisonment reason	Ruler of Republic has a valid imprisonment reason
INTERACTION_REPUBLICS_NEED_REVOKE_REASON	Ruler of Republic has a valid revocation reason	Ruler of Republic has a valid revocation reason
INTERACTION_REQUIRES_PATRICIAN_DOWRY	Can afford the Bride Price of §Y$DOWRY$§!¤ for marriage with a noblewoman	Can afford the Bride Price of §Y$DOWRY$§!¤ for marriage with a noblewoman
OFFER_MARRIGE_INTERACTION_4	Marrying a woman as noble as §Y[RecipientExtra.GetFirstName]§! will require a Bride Price of §R$DOWRY$§!¤.	Marrying a woman as noble as §Y[RecipientExtra.GetFirstName]§! will require a Bride Price of §R$DOWRY$§!¤.
ARRANGE_BETROTHAL_INTERACTION_4	Marrying a woman as noble as §Y[RecipientExtra.GetFirstName]§! will require a Bride Price of §R$DOWRY$§!¤.	Marrying a woman as noble as §Y[RecipientExtra.GetFirstName]§! will require a Bride Price of §R$DOWRY$§!¤.
OFFER_MARRIGE_INTERACTION_LETTER_BRIDE_PRICE	We propose that [ActorExtra.GetBestName] and [RecipientExtra.GetBestName] marry. Of course, for such a noble Lady, we also offer a Bride Price of $DOWRY$¤	We propose that [ActorExtra.GetBestName] and [RecipientExtra.GetBestName] marry. Of course, for such a noble Lady, we also offer a Bride Price of $DOWRY$¤
ARRANGE_BETROTHAL_INTERACTION_LETTER_BRIDE_PRICE	We propose that [ActorExtra.GetBestName] and [RecipientExtra.GetBestName] should get betrothed. Of course, for such a noble Lady, we also offer a Bride Price of $DOWRY$¤	We propose that [ActorExtra.GetBestName] and [RecipientExtra.GetBestName] should get betrothed. Of course, for such a noble Lady, we also offer a Bride Price of $DOWRY$¤
RELEASE_VASSAL_INTERACTION_TITLE	Grant Independence	Grant Independence
RELEASE_VASSAL_INTERACTION_DESC	Grant a vassal independence	Grant a vassal independence
RELEASE_VASSAL_INTERACTION_LONG_DESC	An independent liege can grant independence to direct vassals.	An independent liege can grant independence to direct vassals.
RELEASE_VASSAL_INTERACTION_ACCEPT_SETUP	Independence Accepted	Independence Accepted
RELEASE_VASSAL_INTERACTION_ACCEPT_LOG	§Y[Actor.GetTitledName]§W granted §Y[Recipient.GetTitledName]§W independence	§Y[Actor.GetTitledName]§W granted §Y[Recipient.GetTitledName]§W independence
RELEASE_VASSAL_INTERACTION_DECLINE_SETUP	Independence Declined	Independence Declined
RELEASE_VASSAL_INTERACTION_DECLINE_LOG	§Y[Recipient.GetTitledName]§W refused an offer of independence from §Y[Actor.GetTitledName]§W	§Y[Recipient.GetTitledName]§W refused an offer of independence from §Y[Actor.GetTitledName]§W
RELEASE_VASSAL_INTERACTION_OFFER	[Actor.GetTitledName] has granted you independence!	[Actor.GetTitledName] has granted you independence!
RELEASE_VASSAL_INTERACTION_LETTER	I release you from your vassalage and will no longer be your liege. [Actor.Religion.GetRandomGodNameCap] bless your future endeavors!	I release you from your vassalage and will no longer be your liege. [Actor.Religion.GetRandomGodNameCap] bless your future endeavors!
#RELEASE_VASSAL_INTERACTION_0	Grant Independence to §Y[Recipient.GetTitledFirstName]§W. [Recipient.GetSubjectPronounCap] will be duly grateful (§G+$OPINION$§! Opinion.)	Grant Independence to §Y[Recipient.GetTitledFirstName]§W. [Recipient.GetSubjectPronounCap] will be duly grateful (§G+$OPINION$§! Opinion.)
VASSAL_RELEASED_SETUP	Vassalage Ended	Vassalage Ended
VASSAL_RELEASED_LETTER	Esteemed $VASSAL$, for political reasons I have decided to release you from your vassalage and grant you full independence. Good luck!\n\n$LIEGE$	Esteemed $VASSAL$, for political reasons I have decided to release you from your vassalage and grant you full independence. Good luck!\n\n$LIEGE$
VASSAL_RELEASED_LOG	§Y$LIEGE$§! has granted independence to §Y$VASSAL$§!	§Y$LIEGE$§! has granted independence to §Y$VASSAL$§!
ca_wall_q_1_desc	This shallow moat surrounding the castle provides another obstacle for attackers to overcome.	This shallow moat surrounding the castle provides another obstacle for attackers to overcome.
ca_wall_q_2_desc	These narrow slits allow the defenders to rain down arrows on any attacker without being hit in turn.	These narrow slits allow the defenders to rain down arrows on any attacker without being hit in turn.
ca_wall_q_3_desc	A fortified portcullis that can quickly be raised or lowered as the situation demands.	A fortified portcullis that can quickly be raised or lowered as the situation demands.
ca_wall_q_4_desc	A deep moat filled with unsanitary water. A formidable obstacle for any attacker.	A deep moat filled with unsanitary water. A formidable obstacle for any attacker.
ca_wall_q_5_desc	This outer network of barbicans ensures that attackers come under fire before they can even approach the main walls.	This outer network of barbicans ensures that attackers come under fire before they can even approach the main walls.
ca_wall_1_desc	A simple palisade to keep out riff-raff, but it will not delay a determined attacker for very long.	A simple palisade to keep out riff-raff, but it will not delay a determined attacker for very long.
ca_wall_2_desc	These low walls provide some protection, but they can still easily be scaled.	These low walls provide some protection, but they can still easily be scaled.
ca_wall_3_desc	These stone walls surround the castle and must be overcome by any attacker.	These stone walls surround the castle and must be overcome by any attacker.
ca_wall_4_desc	These large walls surround the castle and must be overcome by any attacker.	These large walls surround the castle and must be overcome by any attacker.
ca_wall_5_desc	These massive walls surround the castle and must be overcome by any attacker.	These massive walls surround the castle and must be overcome by any attacker.
ca_keep_1_desc	This keep serves as the fortified residence of the castle's inhabitants.	This keep serves as the fortified residence of the castle's inhabitants.
ca_militia_barracks_1_desc	This simple training ground readies the peasants for war.	This simple training ground readies the peasants for war.
ca_militia_barracks_2_desc	An archery range where the levies can master the art of the bow.	An archery range where the levies can master the art of the bow.
ca_militia_barracks_3_desc	An expanded archery range where the levies can master the art of the bow.	An expanded archery range where the levies can master the art of the bow.
#ca_training_grounds_1_desc	Training grounds where the castle levies can practise and ready themselves for the inevitability of war.	Training grounds where the castle levies can practise and ready themselves for the inevitability of war.
ca_barracks_1_desc	These quarters are the home of the castle's levies.	These quarters are the home of the castle's levies.
ca_stable_1_desc	This stable just outside the castle walls houses all the steeds of the levy.	This stable just outside the castle walls houses all the steeds of the levy.
ca_town_1_desc	A small village has formed around the castle, as local peasants flock to its walls for protection.	A small village has formed around the castle, as local peasants flock to its walls for protection.
ca_town_2_desc	A town has formed around the castle, as local peasants flock to its walls for protection.	A town has formed around the castle, as local peasants flock to its walls for protection.
ca_town_3_desc	A city has formed around the castle, as local peasants flock to its walls for protection.	A city has formed around the castle, as local peasants flock to its walls for protection.
ca_town_4_desc	The small village that once surrounded this castle has turned into a large city, with thousands of inhabitants calling it their home.	The small village that once surrounded this castle has turned into a large city, with thousands of inhabitants calling it their home.
ca_town_5_desc	The small village that once surrounded this castle has turned into a bustling metropolis, with thousands of inhabitants calling it their home.	The small village that once surrounded this castle has turned into a bustling metropolis, with thousands of inhabitants calling it their home.
ca_warrior_cult_desc	Pagan warriors from all nearby tribes gather here and work themselves into a blood frenzy before they set out for battle.	Pagan warriors from all nearby tribes gather here and work themselves into a blood frenzy before they set out for battle.
ca_culture_saxon_english_1_desc	The strong tradition of archery in England and Wales produces excellent bowmen. Here they can practise with their powerful longbows.	The strong tradition of archery in England and Wales produces excellent bowmen. Here they can practise with their powerful longbows.
ca_culture_group_baltic_1_desc	Baltic warriors assemble here to test their strength against one another in single combat.	Baltic warriors assemble here to test their strength against one another in single combat.
ca_culture_frank_norman_german_1_desc	Here knights face off against each other in jousting tournaments and other chivalrous competitions.	Here knights face off against each other in jousting tournaments and other chivalrous competitions.
ca_culture_group_iberian_1_desc	The agile Iberian "jinete" light cavalry is raised here. Inspired by the Moors, these horsemen are skilled at skirmishing and harassment.	The agile Iberian "jinete" light cavalry is raised here. Inspired by the Moors, these horsemen are skilled at skirmishing and harassment.
ca_culture_italian_1_desc	Well-disciplined Italian pike formations are raised here, specializing in the defense.	Well-disciplined Italian pike formations are raised here, specializing in the defense.
ca_culture_russian_1_desc	Druzhina retinues train here, well-knit martial fellowships in service of a Russian lord.	Druzhina retinues train here, well-knit martial fellowships in service of a Russian lord.
ca_culture_group_north_germanic_1_desc	Housecarls are trained here, providing excellent if somewhat ill-tempered heavy infantry, usually equipped with powerful battle axes.	Housecarls are trained here, providing excellent if somewhat ill-tempered heavy infantry, usually equipped with powerful battle axes.
ca_culture_hungarian_1_desc	The hussars make excellent light cavalry, and are trained to hit the enemy relentlessly from different directions before regrouping and doing it again.	The hussars make excellent light cavalry, and are trained to hit the enemy relentlessly from different directions before regrouping and doing it again.
ca_culture_group_arabic_1_desc	Camels make adaptable and sturdy mounts, especially in desert environments. Not only do their smell often frighten horses, but they are excellent pack animals that free up faster mounts for use in battle when the situation dictates.	Camels make adaptable and sturdy mounts, especially in desert environments. Not only do their smell often frighten horses, but they are excellent pack animals that free up faster mounts for use in battle when the situation dictates.
ca_culture_group_byzantine_1_desc	Both the horse and rider are clad in iron scales in these heavily armored cavalry formations. The cataphracts are a fearsome sight on the battlefield, and few armies can withstand one of their massed charges.	Both the horse and rider are clad in iron scales in these heavily armored cavalry formations. The cataphracts are a fearsome sight on the battlefield, and few armies can withstand one of their massed charges.
ca_culture_irish_1_desc	Originally from Scotland, the gallowglass warriors are excellent heavy infantrymen renowned for their stubborn defense.	Originally from Scotland, the gallowglass warriors are excellent heavy infantrymen renowned for their stubborn defense.
ca_culture_ethiopian_1_desc	Large numbers of Ethiopian warriors are drilled here in the effective use of spears and bows.	Large numbers of Ethiopian warriors are drilled here in the effective use of spears and bows.
ca_culture_group_south_slavic_1_desc	This light cavalry force can trace its origins back to Serbia. Armed with spears and shields, they often serve in a support role, charging the enemy as soon as an opportunity presents itself.	This light cavalry force can trace its origins back to Serbia. Armed with spears and shields, they often serve in a support role, charging the enemy as soon as an opportunity presents itself.
ca_culture_dutch_1_desc	These urban militias are named after the Flemish goedendag mace they favor in battle. They have proven themselves more than once against armored cavalry.	These urban militias are named after the Flemish goedendag mace they favor in battle. They have proven themselves more than once against armored cavalry.
ca_culture_scottish_1_desc	The schiltron is a compact body of Scottish pikemen. If threatened by cavalry, they present row upon row of spears firmly braced in the earth. Only a fool or a madman would willingly charge into such a dense wall of killing instruments.	The schiltron is a compact body of Scottish pikemen. If threatened by cavalry, they present row upon row of spears firmly braced in the earth. Only a fool or a madman would willingly charge into such a dense wall of killing instruments.
ca_culture_group_altaic_1_desc	The feared horse archers of the Asiatic Steppes are trained here. These highly mobile horsemen frequently outmaneuver their opponents, and are some of the finest warriors the world has ever seen.	The feared horse archers of the Asiatic Steppes are trained here. These highly mobile horsemen frequently outmaneuver their opponents, and are some of the finest warriors the world has ever seen.
ca_culture_west_african_1_desc	These free warriors from the horon caste come armed with bows and poisoned arrows.	These free warriors from the horon caste come armed with bows and poisoned arrows.
ct_wall_q_1_desc	This shallow moat surrounding the city provides another obstacle for attackers to overcome.	This shallow moat surrounding the city provides another obstacle for attackers to overcome.
ct_wall_q_2_desc	This gatehouse defends the entrance to the city, and makes it easier to control who comes in and who leaves.	This gatehouse defends the entrance to the city, and makes it easier to control who comes in and who leaves.
ct_wall_3_desc	These stone walls surround the city and must be overcome by any attacker.	These stone walls surround the city and must be overcome by any attacker.
ct_wall_4_desc	These large walls surround the city and must be overcome by any attacker.	These large walls surround the city and must be overcome by any attacker.
ct_wall_5_desc	These massive walls surround the city and must be overcome by any attacker.	These massive walls surround the city and must be overcome by any attacker.
ct_training_grounds_1_desc	The city militia assembles here to train and arm themselves.	The city militia assembles here to train and arm themselves.
#ct_barracks_1_desc	This where the adult men of the city muster to join the militia in times of war.	This where the adult men of the city muster to join the militia in times of war.
ct_barracks_2_desc	This range lets the city inhabitants practise their archery and provides skilled bowmen for the militia.	This range lets the city inhabitants practise their archery and provides skilled bowmen for the militia.
ct_guard_1_desc	The city guard are headquartered here, constantly on watch for those who would break the law or upset the peace.	The city guard are headquartered here, constantly on watch for those who would break the law or upset the peace.
ct_marketplace_1_desc	A small market in the center of town where merchants peddle their wares.	A small market in the center of town where merchants peddle their wares.
ct_marketplace_2_desc	This is where the city's guilds meet and organize their activities.	This is where the city's guilds meet and organize their activities.
ct_marketplace_3_desc	Toll booths provide a welcome boost to any city's income, as traveling merchants are forced to part with some of their wealth while passing through.	Toll booths provide a welcome boost to any city's income, as traveling merchants are forced to part with some of their wealth while passing through.
ct_marketplace_4_desc	Legal disputes in the city are adjucated here, ensuring that trade and commerce continues to flow as smoothly as possible.	Legal disputes in the city are adjucated here, ensuring that trade and commerce continues to flow as smoothly as possible.
ct_marketplace_5_desc	Assay offices test the purity of precious metals, and the assayer provides those certified as pure with a master's mark as proof of their quality. This helps to promote fair and honest trade.	Assay offices test the purity of precious metals, and the assayer provides those certified as pure with a master's mark as proof of their quality. This helps to promote fair and honest trade.
ct_marketplace_6_desc	These fairgrounds are large enough to host a magnificent fair, bringing in traders and entertainers from all over the realm.	These fairgrounds are large enough to host a magnificent fair, bringing in traders and entertainers from all over the realm.
ct_port_1_desc	A port that services ships coming in to load or unload cargo.	A port that services ships coming in to load or unload cargo.
ct_university_1_desc	A place of higher learning for those with influence enough to gain admission.	A place of higher learning for those with influence enough to gain admission.
tp_wall_q_1_desc	This shallow moat surrounding the church provides another obstacle for attackers to overcome.	This shallow moat surrounding the church provides another obstacle for attackers to overcome.
tp_wall_q_2_desc	This gatehouse defends the entrance to the church, and makes it easier to control who comes in and who leaves.	This gatehouse defends the entrance to the church, and makes it easier to control who comes in and who leaves.
tp_wall_3_desc	These stone walls surround the church and must be overcome by any attacker.	These stone walls surround the church and must be overcome by any attacker.
tp_wall_4_desc	These large walls surround the church and must be overcome by any attacker.	These large walls surround the church and must be overcome by any attacker.
tp_wall_5_desc	These massive walls surround the church and must be overcome by any attacker.	These massive walls surround the church and must be overcome by any attacker.
tp_monastery_1_desc	This church serves as the spiritual center of the local community.	This church serves as the spiritual center of the local community.
tp_monastery_2_desc	People from across the realm come here to visit this impressive cathedral. It serves as a major landmark, and its spires can be seen from far away.	People from across the realm come here to visit this impressive cathedral. It serves as a major landmark, and its spires can be seen from far away.
tp_barracks_1_desc	When necessary, peasants from the local farms are conscripted into the church militia and stationed here.	When necessary, peasants from the local farms are conscripted into the church militia and stationed here.
tp_elite_barracks_1_desc	These holy warriors have sworn to defend this church with their lives.	These holy warriors have sworn to defend this church with their lives.
tp_town_1_desc	This small village of faithful peasants has formed around the church.	This small village of faithful peasants has formed around the church.
tp_town_2_desc	This town of faithful peasants has formed around the church.	This town of faithful peasants has formed around the church.
tp_town_3_desc	This large town of faithful peasants has formed around the church.	This large town of faithful peasants has formed around the church.
tp_town_4_desc	The small village that once surrounded this church has turned into a large city, with thousands of inhabitants calling it their home.	The small village that once surrounded this church has turned into a large city, with thousands of inhabitants calling it their home.
tp_town_5_desc	The small village that once surrounded this church has turned into a bustling metropolis, with thousands of inhabitants calling it their home.	The small village that once surrounded this church has turned into a bustling metropolis, with thousands of inhabitants calling it their home.
tp_school_1_desc	This school teaches many subjects and is a rare center of high learning, but the students enrolled here primarily study to prepare themselves for future careers in the clergy. No girls allowed.	This school teaches many subjects and is a rare center of high learning, but the students enrolled here primarily study to prepare themselves for future careers in the clergy. No girls allowed.
ct_marketplace_1_desc_muslim	A small bazaar in the center of town where merchants peddle their wares.	A small bazaar in the center of town where merchants peddle their wares.
ct_marketplace_2_desc_muslim	A large bazaar in the center of town where merchants peddle their wares.	A large bazaar in the center of town where merchants peddle their wares.
ct_marketplace_3_desc_muslim	This open-air marketplace is filled with merchant stands where almost anything can be bought.	This open-air marketplace is filled with merchant stands where almost anything can be bought.
ct_marketplace_4_desc_muslim	This walled and highly populated quarter of the city is a complex maze of narrow streets and alleyways.	This walled and highly populated quarter of the city is a complex maze of narrow streets and alleyways.
ct_marketplace_5_desc_muslim	This walled and highly populated quarter forms the heart of the city, and it is a complex maze of narrow streets and alleyways.	This walled and highly populated quarter forms the heart of the city, and it is a complex maze of narrow streets and alleyways.
ct_marketplace_6_desc_muslim	A great bazaar that seems filled with merchants from all over the known world. If an item can't be found for sale here, it likely doesn't exist.	A great bazaar that seems filled with merchants from all over the known world. If an item can't be found for sale here, it likely doesn't exist.
tp_wall_q_1_desc_muslim	This shallow moat surrounding the mosque provides another obstacle for attackers to overcome.	This shallow moat surrounding the mosque provides another obstacle for attackers to overcome.
tp_wall_q_2_desc_muslim	This gatehouse defends the entrance to the mosque, and makes it easier to control who comes in and who leaves.	This gatehouse defends the entrance to the mosque, and makes it easier to control who comes in and who leaves.
tp_wall_3_desc_muslim	These stone walls surround the mosque and must be overcome by any attacker.	These stone walls surround the mosque and must be overcome by any attacker.
tp_wall_4_desc_muslim	These large walls surround the mosque and must be overcome by any attacker.	These large walls surround the mosque and must be overcome by any attacker.
tp_wall_5_desc_muslim	These massive walls surround the mosque and must be overcome by any attacker.	These massive walls surround the mosque and must be overcome by any attacker.
tp_monastery_1_desc_muslim	This mosque serves as the spiritual center of the local community.	This mosque serves as the spiritual center of the local community.
tp_monastery_2_desc_muslim	People from across the realm come here to visit this impressive mosque. It serves as a major landmark, and its minarets can be seen from far away.	People from across the realm come here to visit this impressive mosque. It serves as a major landmark, and its minarets can be seen from far away.
tp_barracks_1_desc_muslim	When necessary, peasants from the local farms are conscripted into the mosque militia and stationed here.	When necessary, peasants from the local farms are conscripted into the mosque militia and stationed here.
tp_elite_barracks_1_desc_muslim	These holy warriors have sworn to defend this mosque with their lives.	These holy warriors have sworn to defend this mosque with their lives.
tp_town_1_desc_muslim	This small village of faithful peasants has formed around the mosque.	This small village of faithful peasants has formed around the mosque.
tp_town_2_desc_muslim	This town of faithful peasants has formed around the mosque.	This town of faithful peasants has formed around the mosque.
tp_town_3_desc_muslim	This large town of faithful peasants has formed around the mosque.	This large town of faithful peasants has formed around the mosque.
tp_town_4_desc_muslim	The small village that once surrounded this mosque has turned into a large city, with thousands of inhabitants calling it their home.	The small village that once surrounded this mosque has turned into a large city, with thousands of inhabitants calling it their home.
tp_town_5_desc_muslim	The small village that once surrounded this mosque has turned into a bustling metropolis, with thousands of inhabitants calling it their home.	The small village that once surrounded this mosque has turned into a bustling metropolis, with thousands of inhabitants calling it their home.
d_gotland	Visby	Gotland
d_gotland_adj	Visby	Gotlander
FC_FIND_CHARACTERS	Find Characters	Find Characters
#TITLE_MR_CANNOT_USURP	Merchant Republics and Patricians cannot usurp kingdoms or empires	Merchant Republics and Patricians cannot usurp kingdoms or empires
CB_NAME_SEIZE_TRADE_POST	Seize [Title.GetBaseName] Trade Post	Seize [Title.GetBaseName] Trade Post
WAR_NAME_SEIZE_TRADE_POST	$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Trade War over $OTHER_TITLE$	$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Trade War over $OTHER_TITLE$
#HAS_TRADE_POST	Has Trade Post	Has Trade Post
#HAS_NOT_TRADE_POST	Does NOT have Trade Post	Does NOT have Trade Post
TRIGGER_SEA_ZONE	Trade Post Owner	Trade Post Owner
SEIZE_TRADE_POST_EFFECT	§Y$TAKER$§! seizes the Trade Post in §Y$PROV$§!	§Y$TAKER$§! seizes the §Y$POST$§! Trade Post
opinion_feuding_family	Feuding Families	Feuding Families
opinion_feuding_family_light	Feuding Families	Feuding Families
EVTDESC_REP_002	You have just learned that the captain of one of your trade galleys has been selling part of his cargo to [From.GetOnlyDynastyName] smugglers instead of delivering it as ordered, apparently hoping the amount sold would be too small to be noticed. The captain and his crew have been jailed, but the thieving scum had already spent most of their ill-gotten profits on spirits and women.	You have just learned that the captain of one of your trade galleys has been selling part of his cargo to [From.GetOnlyDynastyName] smugglers instead of delivering it as ordered, apparently hoping the amount sold would be too small to be noticed. The captain and his crew have been jailed, but the thieving scum had already spent most of their ill-gotten profits on spirits and women.
EVTOPTA_REP_002	Can no one be trusted these days?	Can no one be trusted these days?
EVTDESC_REP_003	One of your trade galleys finally made it back to port today after being delayed for several days by a storm. Sadly, it was discovered that the ship's entire cargo had been spoiled by seawater and rendered worthless. A total loss.	One of your trade galleys finally made it back to port today after being delayed for several days by a storm. Sadly, it was discovered that the ship's entire cargo had been spoiled by seawater and rendered worthless. A total loss.
EVTOPTA_REP_003	Confound it all!	Confound it all!
EVTDESC_REP_005	A trade galley belonging to the [Root.GetOnlyDynastyName] shipping empire has been several days overdue. This morning another captain on the [From.GetOnlyDynastyName] payroll came into port with flotsam from the lost ship, which he claims to have found in the wake of a recent storm. It looks like your galley was caught in it.	A trade galley belonging to the [Root.GetOnlyDynastyName] shipping empire has been several days overdue. This morning another captain on the [From.GetOnlyDynastyName] payroll came into port with flotsam from the lost ship, which he claims to have found in the wake of a recent storm. It looks like your galley was caught in it.
EVTOPTA_REP_005	The sea shall be their grave.	The sea shall be their grave.
EVTDESC_REP_006	A convoy of several merchant galleys belonging to your family has been ambushed by pirates on the high seas! The brigands seized two of your ships, but there is sadly little that can be done for the captured crews. They will most likely be sold as slaves along with the cargo their ships were carrying.	A convoy of several merchant galleys belonging to your family has been ambushed by pirates on the high seas! The brigands seized two of your ships, but there is sadly little that can be done for the captured crews. They will most likely be sold as slaves along with the cargo their ships were carrying.
EVTOPTA_REP_006	Barbarians!	Barbarians!
EVTDESC_REP_007	A convoy flying the [Root.GetOnlyDynastyName] standard was ambushed by pirates today while on their way home with their holds full of precious cargo. Thanks to the quick actions of their crews, they managed to turn the tables on the pirates and capture two of their galleys! The prize money will be divided evenly, but the lion's share goes to you!	A convoy flying the [Root.GetOnlyDynastyName] standard was ambushed by pirates today while on their way home with their holds full of precious cargo. Thanks to the quick actions of their crews, they managed to turn the tables on the pirates and capture two of their galleys! The prize money will be divided evenly, but the lion's share goes to you!
EVTOPTA_REP_007	Finally some good news.	Finally some good news.
EVTDESC_REP_008	One of your ships has returned from a foreign port with a cargo of rare spices of the very finest quality. Word has spread throughout [Root.MercRepCapital.GetName], and the local nobility is already lining up at the docks, pleading for a chance to buy some of this precious cargo.	One of your ships has returned from a foreign port with a cargo of rare spices of the very finest quality. Word has spread throughout [Root.MercRepCapital.GetName], and the local nobility is already lining up at the docks, pleading for a chance to buy some of this precious cargo.
EVTOPTA_REP_008	The spice must flow.	The spice must flow.
EVTDESC_REP_009	An enterprising captain in command of one of your galleys has discovered several new markets along foreign shores. He reports that these distant ports are rife with opportunities for trade and profit.	An enterprising captain in command of one of your galleys has discovered several new markets along foreign shores. He reports that these distant ports are rife with opportunities for trade and profit.
EVTOPTA_REP_009	Rule number 62... "The riskier the road, the greater the profit."	Rule number 62... "The riskier the road, the greater the profit."
EVTDESC_REP_010	To everyone's astonishment, a galley belonging to the [Root.GetOnlyDynastyName] family that was thought lost years ago slipped quietly into port last night. The ship is riddled with arrows and the sails are barely holding together, but against all odds the captain managed to bring in his cargo. He has quite a story to tell.	To everyone's astonishment, a galley belonging to the [Root.GetOnlyDynastyName] family that was thought lost years ago slipped quietly into port last night. The ship is riddled with arrows and the sails are barely holding together, but against all odds the captain managed to bring in his cargo. He has quite a story to tell.
EVTOPTA_REP_010	Better late than never!	Better late than never!
EVTDESC_REP_011	The lazy, ungrateful dockworkers in [Root.MercRepCapital.GetName] are refusing to unload ships! Citing poor working conditions and low pay, they will not let anyone past their picket line. Troops from all of the major families are working together to quickly silence the leaders of these mobs, but costly delays in shipping are unavoidable at this point.	The lazy, ungrateful dockworkers in [Root.MercRepCapital.GetName] are refusing to unload ships! Citing poor working conditions and low pay, they will not let anyone past their picket line. Troops from all of the major families are working together to quickly silence the leaders of these mobs, but costly delays in shipping are unavoidable at this point.
EVTOPTA_REP_011	And after everything I've done for them...	And after everything I've done for them...
EVTDESC_REP_012	A large warehouse belonging to your family at the docks in [Root.MercRepCapital.GetName] has caught fire! The dockworkers have formed human chains and are passing buckets of water between each other to put the flames out before the fire has a chance to spread, but a lot of valuable goods have already been lost.	A large warehouse belonging to your family at the docks in [Root.MercRepCapital.GetName] has caught fire! The dockworkers have formed human chains and are passing buckets of water between each other to put the flames out before the fire has a chance to spread, but a lot of valuable goods have already been lost.
EVTOPTA_REP_012	What a disaster.	What a disaster.
EVTDESC_REP_014	A wealthy local noble is looking to escape the consequences of several indiscretions on his part against a female member of the [From.GetOnlyDynastyName] family. He has offered to pay handsomely for passage on one of your ships to a foreign port, where he can hopefully lay low for a few years.	A wealthy local noble is looking to escape the consequences of several indiscretions on his part against a female member of the [From.GetOnlyDynastyName] family. He has offered to pay handsomely for passage on one of your ships to a foreign port, where he can hopefully lay low for a few years.
EVTOPTA_REP_014	Of course. Make the arrangements.	Of course. Make the arrangements.
EVTDESC_REP_015	The dockworkers handling the loading and unloading of your ships have become quite efficient at their work. Disembarked crews are complaining that they barely have enough time to get drunk in [Root.MercRepCapital.GetName] before their galleys are ready to set sail again.	The dockworkers handling the loading and unloading of your ships have become quite efficient at their work. Disembarked crews are complaining that they barely have enough time to get drunk in [Root.MercRepCapital.GetName] before their galleys are ready to set sail again.
EVTOPTA_REP_015	Keep up the good work, men.	Keep up the good work, men.
EVTDESC_REP_016	The rotting remains of a ship lost centuries ago was discovered by a [Root.GetOnlyDynastyName] galley in the port of [Root.MercRepCapital.GetName]. Divers working for your family have managed to salvage a small treasure chest containing gold bullion!	The rotting remains of a ship lost centuries ago was discovered by a [Root.GetOnlyDynastyName] galley in the port of [Root.MercRepCapital.GetName]. Divers working for your family have managed to salvage a small treasure chest containing gold bullion!
EVTOPTA_REP_016	Let's see my share!	Let's see my share!
EVTDESC_REP_017	Ships from the republic have traveled far and wide in their relentless pursuit of trading opportunities, and as a result the accuracy of your sailors' nautical charts has been improved. Coastal waters that were previously seen as treacherous can now be navigated in relative safety, shortening the time it takes to complete certain routes.	Ships from the republic have traveled far and wide in their relentless pursuit of trading opportunities, and as a result the accuracy of your sailors' nautical charts has been improved. Coastal waters that were previously seen as treacherous can now be navigated in relative safety, shortening the time it takes to complete certain routes.
EVTOPTA_REP_017	You can never have too many charts.	You can never have too many charts.
