#CODE	ENGLISH	ENGLISH
EVTOPTC91355	Maybe I can appeal to [From.GetHerHis] greedy side...	Maybe I can appeal to [From.GetHerHis] greedy side...
ERA_CHAR_INFO_3040	Alp Arslan, great-grandson of Seljuk, was born Muhammad bin Dawud Chaghri, but his strength, personal combat skills and valor were soon to earn him his honorary name, which means 'Heroic Lion'. Early on, he succeeded his father as governor of Khorasan, and after a succession crisis in 1064 he took the title of Sultan by force of arms, and became ruler of the immense Seljuk Empire. He then made war on the Byzantine Empire, defeating them thoroughly at the famous battle of Manzikert and taking the Emperor prisoner. This victory was a first step towards Turkish domination in Anatolia and was one of the major events triggering the crusades. He died true to his name, at the age of 42, refusing to let his guards help him against a rebel prisoner who came at him with a dagger.	Alp Arslan, great-grandson of Seljuk, was born Muhammad bin Dawud Chaghri, but his strength, personal combat skills and valor were soon to earn him his honorary name, which means 'Heroic Lion'. Early on, he succeeded his father as governor of Khorasan, and after a succession crisis in 1064 he took the title of Sultan by force of arms, and became ruler of the immense Seljuk Empire. He then made war on the Byzantine Empire, defeating them thoroughly at the famous battle of Manzikert and taking the Emperor prisoner. This victory was a first step towards Turkish domination in Anatolia and was one of the major events triggering the crusades. He died true to his name, at the age of 42, refusing to let his guards help him against a rebel prisoner who came at him with a dagger.
#ERA_CHAR_INFO_74441	Somesvara I of Chalukyas	Somesvara I of Chalukyas
ERA_CHAR_INFO_457620	As king of Castile and Leon, Ferdinand was one of the most critical figures in the history of the Reconquista that would eventually see the Muslims driven from Iberia. Castile under Ferdinand expanded far into southern Spain, using a combination of force and diplomacy to seize Andalusian cities such as Córdoba and Seville. More than four hundred years after his death, Ferdinand was canonized by Pope Clement X and came to be known as as Ferdinand the Saint in the annals of history.	As king of Castile and Leon, Ferdinand was one of the most critical figures in the history of the Reconquista that would eventually see the Muslims driven from Iberia. Castile under Ferdinand expanded far into southern Spain, using a combination of force and diplomacy to seize Andalusian cities such as Córdoba and Seville. More than four hundred years after his death, Ferdinand was canonized by Pope Clement X and came to be known as as Ferdinand the Saint in the annals of history.
ERA_CHAR_INFO_167219	The Hanseatic League was a loose alliance of German cities centered on Lübeck that dominated Baltic trade in the late Middle Ages and beyond, after displacing Visby as the leading merchant power in the region. Offices, so-called 'kontors,' were opened in major ports and trading hubs everywhere from London in the west to Novgorod in the east. Eventually the League became powerful enough to challenge larger realms directly, such as when they sacked the Danish capital of Copenhagen in the second half of the 14th century.	The Hanseatic League was a loose alliance of German cities centered on Lübeck that dominated Baltic trade in the late Middle Ages and beyond, after displacing Visby as the leading merchant power in the region. Offices, so-called 'kontors,' were opened in major ports and trading hubs everywhere from London in the west to Novgorod in the east. Eventually the League became powerful enough to challenge larger realms directly, such as when they sacked the Danish capital of Copenhagen in the second half of the 14th century.
ERA_CHAR_INFO_212513	Referred to by contemporaries as stupor mundi, the 'wonder of the world,' Friedrich II was among the most powerful and influential emperors of the Holy Roman Empire during the Middle Ages. His reign was marked with frequent wars against the Papacy, and Friedrich was excommunicated four times - Pope Gregory IX even dubbed him the Antichrist. He managed to broker the return of Jerusalem to Christian control during the Sixth Crusade despite taking part in very little actual fighting. After dying of dysentry in 1250 at the age of 55, his line would quickly die out, resulting in the end of the House of Hohenstaufen.	Referred to by contemporaries as stupor mundi, the 'wonder of the world,' Friedrich II was among the most powerful and influential emperors of the Holy Roman Empire during the Middle Ages. His reign was marked with frequent wars against the Papacy, and Friedrich was excommunicated four times - Pope Gregory IX even dubbed him the Antichrist. He managed to broker the return of Jerusalem to Christian control during the Sixth Crusade despite taking part in very little actual fighting. After dying of dysentry in 1250 at the age of 55, his line would quickly die out, resulting in the end of the House of Hohenstaufen.
ERA_CHAR_INFO_74656	Singhana II was a powerful Indian ruler who greatly expanded his realm towards the north, south and east. As a great patron of science and the arts, he established a college of astronomy and founded the city of Singhanapur.	Singhana II was a powerful Indian ruler who greatly expanded his realm towards the north, south and east. As a great patron of science and the arts, he established a college of astronomy and founded the city of Singhanapur.
ERA_CHAR_INFO_454500	Edward III was in many ways a warrior king, who was crowned after the disastrous reign of his father came to an end in 1327. Under Edward, England was transformed into one of most formidable military powers in Europe and his claim to the French throne would begin the conflict that eventually became known as the Hundred Years War. During his long reign, which would go on to last fifty years, Edward focused mostly on military matters. He personally oversaw the decisive Battle of Crécy, where an English army consisting mostly of longbowmen defeated a much larger French force.	Edward III was in many ways a warrior king, who was crowned after the disastrous reign of his father came to an end in 1327. Under Edward, England was transformed into one of most formidable military powers in Europe and his claim to the French throne would begin the conflict that eventually became known as the Hundred Years War. During his long reign, which would go on to last fifty years, Edward focused mostly on military matters. He personally oversaw the decisive Battle of Crécy, where an English army consisting mostly of longbowmen defeated a much larger French force.
ERA_CHAR_INFO_455500	Philippe the Fortunate was the first French king to hail from the House of Valois, and under his reign France would see the beginning of the Hundred Years War. Despite Philippe's nickname, the war did not go well, and the French army was virtually annihilated at the hands of the English during the Battle of Crécy. At the end of his reign the Black Death made its first appearance in France. A full third of the subjects in his kingdom succumbed to this plague - including Philippe's wife, Queen Joan.	Philippe the Fortunate was the first French king to hail from the House of Valois, and under his reign France would see the beginning of the Hundred Years War. Despite Philippe's nickname, the war did not go well, and the French army was virtually annihilated at the hands of the English during the Battle of Crécy. At the end of his reign the Black Death made its first appearance in France. A full third of the subjects in his kingdom succumbed to this plague - including Philippe's wife, Queen Joan.
ERA_CHAR_INFO_476500	Son of Osman I, the founder and namesake of the illustrious Ottoman dynasty, Orhan succeeded his father upon his death. He initially offered to rule jointly with his brother Alaeddin, but the latter declined and would instead serve as Orhan's highly influential vizier until his death in 1332. Under Orhan, the Ottomans expanded greatly in northwestern Anatolia at the expense of the Byzantine Empire, who were embroiled in a series of civil wars.	Son of Osman I, the founder and namesake of the illustrious Ottoman dynasty, Orhan succeeded his father upon his death. He initially offered to rule jointly with his brother Alaeddin, but the latter declined and would instead serve as Orhan's highly influential vizier until his death in 1332. Under Orhan, the Ottomans expanded greatly in northwestern Anatolia at the expense of the Byzantine Empire, who were embroiled in a series of civil wars.
ERA_CHAR_INFO_480000	Mohammed Özbeg was the longest reigning khan of the Golden Horde, and it was under him that the Mongol splinter state reached the height of its power. Özbeg was converted to Islam at an early age, and upon assuming the throne he adopted it as a state religion. Despite this he was known to be highly tolerant of Christians, something that Pope John XXII would personally thank him for in a letter.	Mohammed Ozbeg was the longest reigning khan of the Golden Horde, and it was under him that the Mongol splinter state reached the height of its power. Ozbeg was converted to Islam at an early age, and upon assuming the throne he adopted it as a state religion. Despite this he was known to be highly tolerant of Christians, something that Pope John XXII would personally thank him for in a letter.
ERA_CHAR_INFO_170258	Muhammad II was the head of the Tughluq dynasty, which had carved out a vast Muslim empire in India. Under him, the empire initially expanded to temporarily control most of India, but it was not to last. Muhammad had a well-earned reputation for ruthlessness and cruelty, and taxes in his empire were raised to exorbitant levels. He had to contend with numerous revolts, and by the time of his death the realm had already begun to fragment.	Muhammad II was the head of the Tughluq dynasty, which had carved out a vast Muslim empire in India. Under him, the empire initially expanded to temporarily control most of India, but it was not to last. Muhammad had a well-earned reputation for ruthlessness and cruelty, and taxes in his empire were raised to exorbitant levels. He had to contend with numerous revolts, and by the time of his death the realm had already begun to fragment.
ERA_SELECTION_TEXT	Each era will offer you different challenges and a different flavor. Here are some of the highlights of each:\n- Early Middle Ages: Carolingian Empire, Picts, the first Viking raids, founding of the Holy Roman Empire, Byzantine Iconoclasm.\n- Viking Age: Viking realms, Jewish Khazars, Carolingian successor kingdoms, Umayyads and Rashtrakutas.\n- High Middle Ages: William the Conqueror, Seljuk Turks, Kievan Rus, splintered realms in Spain and Rajastan. Latest start with a strong Byzantium.\n- Age of the Mongols: Golden Horde, Ilkhanate, Muslim Ghulams in India.\n- Late Middle Ages: Hundred Years War, Ottomans, Lithuania, Mongol Khanates, Tughluq Dynasty, Christian Spain.	Each era will offer you different challenges and a different flavor. Here are some of the highlights of each:\n- Early Middle Ages: Carolingian Empire, Picts, the first Viking raids, founding of the Holy Roman Empire, Byzantine Iconoclasm.\n- Viking Age: Viking realms, Jewish Khazars, Carolingian successor kingdoms, Umayyads and Rashtrakutas.\n- High Middle Ages: William the Conqueror, Seljuk Turks, Kievan Rus, splintered realms in Spain and Rajastan. Latest start with a strong Byzantium.\n- Age of the Mongols: Golden Horde, Ilkhanate, Muslim Ghulams in India.\n- Late Middle Ages: Hundred Years War, Ottomans, Lithuania, Mongol Khanates, Tughluq Dynasty, Christian Spain.
convert_to_parent_religion	Abandon Heresy	Abandon Heresy
raise_tribal_units	Raise Tribal Army	Raise Tribal Army
raise_tribal_units_desc	I can summon an army of true and steadfast [Root.Culture.GetName] warriors to fight in the war. They will surely come, as my Prestige and Influence in these lands are great, but once peace ensues they will return to their homes. They fight mainly for honor, but I will need to pay for their food and other provisions.	I can summon an army of true and steadfast [Root.Culture.GetName] warriors to fight in the war. They will surely come, as my Prestige and Influence in these lands are great, but once peace ensues they will return to their homes. They fight mainly for honor, but I will need to pay for their food and other provisions.
EXPENSE_EVENT_LEVIES	Hired Event Army Maintenance	Hired Event Army Maintenance
EXPENSE_EVENT_FLEETS	Hired Event Navy Maintenance	Hired Event Navy Maintenance
HIRED_COSTS	Mercenary Maintenance: §Y$MERC$§!\nEvent Troop Maintenance: §Y$EVENT$§!	Mercenary Maintenance: §Y$MERC$§!\nEvent Troop Maintenance: §Y$EVENT$§!
SPAWN_UNIT_EFFECT_MAINTENANCE	Monthly Maintenance: §R$COST$§!¤	(Monthly Maintenance: §R$COST$§!)
SPAWN_UNIT_EFFECT	A §Y$NUM_TROOPS$§!-men regiment arrives in §Y$WHERE$§!	A §Y$NUM_TROOPS$§!-man regiment arrives in §Y$WHERE$§!.
SPAWN_UNIT_EFFECT_SHIPS	§Y$NUM_SHIPS$§! ships arrive in §Y$WHERE$§!.	§Y$NUM_SHIPS$§! ships arrive in §Y$WHERE$§!.
nick_the_hunchback	the Hunchback	the Hunchback
EVTDESC_CM_1040	Your son Pepin is illegitimate, but perhaps he could grow into a man worthy of ruling the Franks? His body is twisted and he looks frail, but a boy that overcomes such unfair punishments in life could perhaps with time become an even stronger ruler?	Your son Pepin is illegitimate, but perhaps he could grow into a man worthy of ruling the Franks? His body is twisted and he looks frail, but a boy that overcomes such unfair punishments in life could perhaps with time become an even stronger ruler?
EVTOPTA_CM_1040	I will legitimize him!	I will legitimize him!
EVTOPTB_CM_1040	I think not.	I think not.
EVTOPTB_CM_1100	Leave them alone for now.	Leave them alone for now.
EVTTITLE_CM_1003	The death of [From.GetFirstName]	The death of [From.GetFirstName]
tribal_barony_of	Tribal lands of	Tribal lands of
EVTTITLE_CM_1010	The Lombard Princess	The Lombard Princess
EVTDESC_CM_1010	My Lord, the power of your enemies are growing steadily, and while your vassals are surely loyal beyond doubt, it would perhaps be prudent to look for alliances outside the Frankish realm. If you would marry a daughter of the Lombard King, you could gain a powerful ally if things threaten to get out of hand due your brother's devious machinations.	My Lord, the power of your enemies are growing steadily, and while your vassals are surely loyal beyond doubt, it would perhaps be prudent to look for alliances outside the Frankish realm. If you would marry a daughter of the Lombard King, you could gain a powerful ally if things threaten to get out of hand due your brother's devious machinations.
EVTOPTA_CM_1010	Yes, this will be a good marriage.	Yes, this will be a good marriage.
EVTOPTB_CM_1010	No Lombards in my bed!	No Lombards in my bed!
EVTTITLE_CM_1011	The Lombard Queen	The Lombard Queen
EVTDESC_CM_1011	My Lord, there is a lot of grumbling among the lords of the realm. While it is understood that your marriage to [Root.Spouse.GetFirstName] has great political utility, it is hard for many to accept that you have married a princess from the realm of our age-old enemies the Lombards. It has reached the point where you may even be losing the support of some nobles. But perhaps it is still not too late to rectify the situation...	My Lord, there is a lot of grumbling among the lords of the realm. While it is understood that your marriage to [Root.Spouse.GetFirstName] has great political utility, it is hard for many to accept that you have married a princess from the realm of our age-old enemies the Lombards. It has reached the point where you may even be losing the support of some nobles. But perhaps it is still not too late to rectify the situation...
EVTOPTA_CM_1011	I knew this was a bad idea. I'll renounce her.	I knew this was a bad idea. I'll renounce her.
EVTOPTB_CM_1011	She is their Queen now. They must learn to accept it.	She is their Queen now. They must learn to accept it.
EVTDESC_CM_1076	[From.GetDynName], the wife of the recently deceased [FromFrom.GetTitledName], has arrived at your gates, asking for refuge for herself and her offspring. She claims that her late husband's evil brother murdered him in cold blood in order to take control of the realm for himself, and now she fears for her life as well.	[From.GetDynName], the wife of the recently deceased [FromFrom.GetTitledName], has arrived at your gates, asking for refuge for herself and her offspring. She claims that her late husband's evil brother murdered him in cold blood in order to take control of the realm for himself, and now she fears for her life as well.
EVTOPTA_CM_1076	You shall be welcome here.	You shall be welcome here.
EVTOPTB_CM_1076	I am sorry, this does not concern me.	I am sorry, this does not concern me.
EVTDESC_CM_1077	Word reaches you that [FromFromFrom.GetFirstName]'s wife [FromFrom.GetDynName] has received refuge at the court of [From.GetTitledName]. Surely, there is a plot against you brewing here...	Word reaches you that [FromFromFrom.GetFirstName]'s wife [FromFrom.GetDynName] has received refuge at the court of [From.GetTitledName]. Surely, there is a plot against you brewing here...
EVTOPTA_CM_1077	This will not go unpunished.	This will not go unpunished.
EVTDESC_CM_1078	Your soldiers have brought [FromFromFrom.GetFirstName]'s family before you. [FromFrom.GetDynName] falls to her knees, begging you for mercy.	Your soldiers have brought [FromFromFrom.GetFirstName]'s family before you. [FromFrom.GetDynName] falls to her knees, begging you for mercy.
EVTOPTA_CM_1078	Lock them up in houses of God.	Lock them up in houses of God.
EVTOPTB_CM_1078	They must die, there is no other way.	They must die, there is no other way.
EVTDESC_CM_1080	[From.GetDynName] has appeared at your gate, begging for protecton. They are destitute and alone, woman and child. She speaks weakly and nervously: 'My Lord, I have nothing left and I throw myself at your feet and put faith in your mercy. Remember that it is not I but your brother that was your enemy'.	[From.GetDynName] has appeared at your gate, begging for protecton. They are destitute and alone, woman and child. She speaks weakly and nervously: 'My Lord, I have nothing left and I throw myself at your feet and put faith in your mercy. Remember that it is not I but your brother that was your enemy'.
EVTOPTA_CM_1080	To the convent with you.	To the convent with you.
EVTOPTB_CM_1080	Snake-spawn must be killed ere they bite.	Snake-spawn must be killed ere they bite.
EVTTITLE_CM_1120	My brother's keeper	My brother's keeper
EVTDESC_CM_1120	Your mother comes to see you. 'My son, your brother's plotting against you is dangerous. I know you love him as dearly as I do, but something must be done. With your permission, I shall go see him and do what is needed to resolve this conflict. He must not come in the way of you fulfilling your destiny as ruler of all the Franks, but I fear a bloody war. Trust me, it will be better like this.'\n\nYou look thoughtfully at your mother, trying to read her mind. There is an odd look of determination in her eyes.	Your mother comes to see you. 'My son, your brother's plotting against you is dangerous. I know you love him as dearly as I do, but something must be done. With your permission, I shall go see him and do what is needed to resolve this conflict. He must not come in the way of you fulfilling your destiny as ruler of all the Franks, but I fear a bloody war. Trust me, it will be better like this.'\n\nYou look thoughtfully at your mother, trying to read her mind. There is an odd look of determination in her eyes.
EVTOPTA_CM_1120	Yes, Mother. Go and sort this out.	Yes, Mother. Go and sort this out.
EVTOPTB_CM_1120	There is no point.	There is no point.
EVTDESC_CM_1121	Your mother Bertrada has arrived at the gate. She travels with a but a small escort and she is asking to see you. Shall we let her in?	Your mother Bertrada has arrived at the gate. She travels with a but a small escort and she is asking to see you. Shall we let her in?
EVTOPTA_CM_1121	Yes, let her in.	Yes, let her in.
EVTOPTB_CM_1121	I have nothing to say to that woman.	I have nothing to say to that woman.
EVTTITLE_CM_1122	Mother and son	Mother and son
EVTDESC_CM_1122	As you dine with your mother that night, she speaks with you of your youth and of her great love for you: 'I know it pains you that I support your brother, but please let us speak of happier days. I would like to forget for a moment these troublesome times and spend the evening with you in intimacy and friendship. We can dine and reminisce, and you shall be my beloved son as always. Here, i brought some excellent wine for you to drink while we talk of old times.'	As you dine with your mother that night, she speaks with you of your youth and of her great love for you: 'I know it pains you that I support your brother, but please let us speak of happier days. I would like to forget for a moment these troublesome times and spend the evening with you in intimacy and friendship. We can dine and reminisce, and you shall be my beloved son as always. Here, i brought some excellent wine for you to drink while we talk of old times.'
EVTOPTA_CM_1122	Ah, wine... good!	Ah, wine... good!
EVTOPTB_CM_1122	I don't trust you, mother. Please leave.	I don't trust you, mother. Please leave.
EVTDESC_CM_1123	Your mother left early this morning, before you woke. It was strange to see her again like that. You have a strange, slow pain in your stomach as well, and you feel rather weak. Maybe it's something you ate or drank.	Your mother left early this morning, before you woke. It was strange to see her again like that. You have a strange, slow pain in your stomach as well, and you feel rather weak. Maybe it's something you ate or drank.
EVTOPTA_CM_1123	Something is wrong...	Something is wrong...
BM_BM_CHARLEMAGNE_DESC	The Early Middle Ages started with the fall of the Western Roman Empire in the early 5th century. The earlier part of this era saw the great Germanic and Slavic migrations across Europe, with peoples such as the Goths and Lombards settling in Southern Europe, the Franks settling in Gaul and Saxons crossing the sea and settling in Britain. The Eastern Roman Empire was violently shaken by the pressure from the Goths and Avars, and fought bitterly with the ancient Persian enemy. The rise of Islam saw the Arabs conquering immense amounts of territory in the Middle East and North Africa, and in India several great dynasties vied for dominance, with the Rashtrakutas rising towards the end of the 8th century. In the steppes, the Khazars grew in power, and in Scandinavia things were about to change in a way that was to affect the entire continent...	The Early Middle Ages started with the fall of the Western Roman Empire in the early 5th century. The earlier part of this era saw the great Germanic and Slavic migrations across Europe, with peoples such as the Goths and Lombards settling in Southern Europe, the Franks settling in Gaul and Saxons crossing the sea and settling in Britain. The Eastern Roman Empire was violently shaken by the pressure from the Goths and Avars, and fought bitterly with the ancient Persian enemy. The rise of Islam saw the Arabs conquering immense amounts of territory in the Middle East and North Africa, and in India several great dynasties vied for dominance, with the Rahstrakutas rising towards the end of the 8th century. In the steppes, the Khazars grew in power, and in Scandinavia things were about to change in a way that was to affect the entire continent...
winter_soldier_desc	This character has mastered the art of fighting during winter and knows how to turn the fierce elements into an advantage.	This character has mastered the art of fighting during winter and knows how to turn the fierce elements into an advantage.
tut_0a_15	Vassal Limit. Going over the limit will have a negative effect on the amount of taxes and levies you get from your vassals, and you might lose the grip of your vassals upon death. Remedy this by giving your vassals higher tier titles to allow them to have vassals on their own. Hover over the number to see where the limit is coming from.	Vassal Limit. Going over the limit will have a negative effect on the amount of taxes and levies you get from your vassals, and you might lose the grip of your vassals upon death. Remedy this by giving your vassals higher tier titles to allow them to have vassals on their own. Hover over the number to see where the limit is coming from.
tut_4a_8	If we for example want to make a character to like us a bit more, we can grant them an honorary title. Click the 'award honorary title' button. The Court Jester title is not very nice to give someone if you want to stay on their good side. Click Keeper of the Swans instead.	If we for example want to make a character to like us a bit more, we can grant them an honorary title. Click the 'award honorary title' button. The Court Jester title is not very nice to give someone if you want to stay on their good side. Click Keeper of the Swans instead.
#tut_5a_16	To the right you can see a tab named Fleets. Click that and you will see buttons for raising fleets instead of army levies. Raise the fleet of your vassal the Earl of Fife and move them to Gowrie as well.	To the right you can see a tab named Fleets. Click that and you will see buttons for raising fleets instead of army levies. Raise the fleet of your vassal the Earl of Fife and move them to Gowrie as well.
tut_5a_21	You have the organization bar, the disband unit button and the split (create new unit) button. Then you have information on the number of ships, and towards the bottom we have the load capacity. This is how many troops will fit on the ships in this fleet. Unfortunately this number is a smaller number than the number of men in your current army, so select the army again. 	You have the organization bar, the disband unit button and the split (create new unit) button. Then you have information on the number of ships, and towards the bottom we have the load capacity. This is how many troops will fit on the ships in this fleet. Unfortunately this number is a smaller number than the number of men in your current army, so select the army again. 
#tut_4a_4	To get started, right click your half-brother, Earl Malmure of Atholl. You will find him at the bottom left of the family tab, under the header 'siblings'. You will see two icons. The left one will take you to his character screen. The right one is for diplomacy actions though, so click that. (The portrait you see here is just an example, not the actual Earl.)	To get started, right click your half-brother, Earl Malmure of Atholl. You will find him at the bottom left of the family tab, under the header 'siblings'. You will see two icons. The left one will take you to his character screen. The right one is for diplomacy actions though, so click that. (The portrait you see here is just an example, not the actual Earl.)
#TRIBAL_VASSAL_CONTROL_ON	Gives total control over tribal vassal levies.\n	Gives total control over tribal vassal levies.\n
#TRIBAL_VASSAL_CONTROL_OFF	Tribal vassals will not provide levies and instead serve as your allies.\n	Tribal vassals will not provide levies and instead serve as your allies.\n
#enables_centralization_laws	Enables Centralization Laws for Dukes and above.	Enables Centralization Laws for Dukes and above.
#disables_centralization_laws	Disables Centralization Laws.	Disables Centralization Laws.
BAD_SERVER_PASSWORD	Invalid password, please try again.	Invalid password, please try again.
OBSERVE	Observe Game	Observe Game
EVTTOOLTIP91374A	[Root.Spouse.GetName] is asked to leave [From.GetName] alone.	[Root.Spouse.GetName] is asked to leave [From.GetName] alone.
EVTTOOLTIP91374B	[Root.Spouse.GetName] is informed about [From.GetName]s plans..	[Root.Spouse.GetName] is informed about [From.GetName]s plans..
LEARNING_SCENARIO	Learning Scenario	Learning Scenario
tb_steppe_barracks_1	Barracks	Barracks
tb_steppe_barracks_2	Barracks	Barracks
tb_steppe_barracks_3	Barracks	Barracks
tb_steppe_barracks_4	Barracks	Barracks
tb_steppe_stable_1	Stable	Stable
tb_steppe_stable_2	Stable	Stable
tb_steppe_stable_3	Stable	Stable
tb_steppe_stable_4	Stable	Stable
tb_arsenal_1	Weaponsmith	Weaponsmith
tb_arsenal_2	Weaponsmith	Weaponsmith
tb_arsenal_3	Weaponsmith	Weaponsmith
tb_arsenal_4	Weaponsmith	Weaponsmith
tb_hillfort_1_desc	A simple earthen hillfort will provide limited defence against our enemies.	A simple earthen hillfort will provide limited defence against our enemies.
tb_hillfort_2_desc	With wooden palisades our hillfort will provide even more defence.	With wooden palisades our hillfort will provide even more defence.
tb_hillfort_3_desc	Reinforcing our wooden palisades with stone will strengthen the fort.	Reinforcing our wooden palisades with stone will strengthen the fort.
tb_hillfort_4_desc	With the use of stone walls our hillfort will stand strong.	With the use of stone walls our hillfort will stand strong.
tb_market_town_1_desc	Establishing a permanent village in our settlement is essential in order to improve our trade.	Establishing a permanent village in our settlement is essential in order to improve our trade.
tb_market_town_2_desc	Further expanding the village to a town will allow even more inhabitants to settle down to improve our trade.	Further expanding the village to a town will allow even more inhabitants to settle down to improve our trade.
tb_market_town_3_desc	With some coin, the town will grow into a city with many traders and will improve our trade.	With some coin, the town will grow into a city with many traders and will improve our trade.
tb_market_town_4_desc	The city will grow large and hold many trade posts, as any trade centre ought to.	The city will grow large and hold many trade posts, as any trade centre ought to.
tb_market_town_1	Market Village	Market Village
tb_market_town_2	Market Town	Market Town
tb_market_town_3	Market City	Market City
tb_market_town_4	Large Market City	Large Market City
tb_arsenal_desc	This is where weapons are made, repaired and stored in preparation for war.	This is where weapons are made, repaired and stored in preparation for war.
tb_training_grounds_desc	Our militia assembles here to train and arm themselves.	Our militia assembles here to train and arm themselves.
tb_barracks_desc	This is where our strong men muster to join our army in times of war.	This is where our strong men muster to join our army in times of war.
tb_militia_barracks_desc	This is where our settlers readies for war.	This is where our settlers readies for war.
CB_NAME_DECADENCE_USURPTION	Decadence Usurption	Decadence Usurption
WAR_NAME_DECADENCE_USURPTION	$ORDER$$FIRST_ADJ$ Decadence Usurption	$ORDER$$FIRST_ADJ$ Decadence Usurption
cb_decadence_usurption_desc	Muslims can use this Casus Belli to usurp titles from their decadent dynasty members.	Muslims can use this Casus Belli to usurp titles from their decadent dynasty members.
tribal_organization_desc	Tribal Organization is the counterpart to the feudal Crown Authority laws. However, even highly organized tribes have low control over their vassals.	Tribal Organization is the counterpart to the feudal Crown Authority laws. However, even highly organized tribes have low control over their vassals.
tribal_organization_0_desc	With low organization chiefs have barely any control over their vassals.	With low organization chiefs have barely any control over their vassals.
tribal_organization_1_desc	Chiefs have limited power over their vassals.	Chiefs have limited power over their vassals.
tribal_organization_2_desc	The power of vassals and liege chiefs are somewhat balanced.	The power of vassals and liege chiefs are somewhat balanced.
tribal_organization_3_desc	Chiefs are gaining in power over their vassals.	Chiefs are gaining in power over their vassals.
tribal_organization_4_desc	Chiefs have control over their vassals, with laws similar to that of feudal lords.	Chiefs have control over their vassals, with laws similar to that of feudal lords.
#adopt_feudalism	Adopt Feudalism	Adopt Feudalism
adopt_republicanism	Found Merchant Republic	Found Merchant Republic
#adopt_feudalism_desc	I can choose to leave behind my tribal way of life and become a Feudal ruler.	I can choose to leave behind my tribal way of life and become a Feudal ruler.
#adopt_republicanism_desc	I can choose to leave behind my tribal way of life and found a Merchant Republic.	I can choose to leave behind my tribal way of life and found a Merchant Republic.
#adopt_feudalism_tooltip_1	Government changed to Feudal.\n	Government changed to Feudal.\n
#adopt_feudalism_tooltip_2	Any tribal settlement with a fully upgraded §YHillfort§! is upgraded to a castle.	Any tribal settlement with a fully upgraded §YHillfort§! is upgraded to a castle.
#adopt_republicanism_tooltip_1	Government changed to Merchant Republic.\n	Government changed to Merchant Republic.\n
#adopt_republicanism_tooltip_2	Any tribal settlement with a fully upgraded §YMarket Town§! is upgraded to a city.	Any tribal settlement with a fully upgraded §YMarket Town§! is upgraded to a city.
form_new_kingdom_requirement_tooltip	Hold 3 duchy titles\n	Hold 3 duchy titles\n
form_new_empire_requirement_tooltip	Hold 3 kingdom titles\n	Hold 3 kingdom titles\n
EVTDESC8027	For too long you have restricted our rights. The time has come to decrease the level of Tribal Organization - you must submit to this demand peacefully or face the consequences! Rest assured that I have the support of others who are equally determined to see things returned to the natural order...\n\nSigned,\n[From.GetTitledName]	For too long you have restricted our historic rights and liberties. The time has come to decrease the level of Tribal Organization - you must submit to this demand peacefully or face the consequences! Rest assured that I have the support of others who are equally determined to see things returned to the natural order...\n\nSigned,\n[From.GetTitledName]
AIREASON_ENVIOUS	Envious	Envious
FE_LOAD	Load	Load
PLAY	Play	Play
AIREASON_DOESNT_CARE	[GetTitledFirstName] doesn't care	[GetTitledFirstName] doesn't care
AIREASON_KIND	Kind	Kind
AIREASON_CRUEL	Cruel	Cruel
AIREASON_JUST	Just reason	Just reason
AIREASON_WROTH	Angry	Angry
#TRIBALS_CANT_BUILD_HOLDINGS	§YTribes Cannot Build new Holdings§!	§YTribes Cannot Build new Holdings§!
#TRIBALS_CANT_BUILD_HOLDINGS_DESC	Empty Holding slots actually provide more troops for Tribes. To build proper Holdings you need to become either a Feudal state or a Republic (check your Decisions.)	Empty Holding slots actually provide more troops for Tribes. To build proper Holdings you need to become either a Feudal state or a Republic (check your Decisions.)
vassal_zun_judgement_decision	Have [Root.GetTitledFirstName] judged by Zun	Have [Root.GetTitledFirstName] judged by Zun
vassal_zun_judgement_decision_desc	By having [Root.GetTitledFirstName] thrown into a pit in the middle of the desert, [Root.GetSheHe] shall be exposed to Zun for days and will be most likely given the 'justice' that [Root.GetSheHe] deserves.	By having [Root.GetTitledFirstName] thrown into a pit in the middle of the desert, he shall be exposed to Zun for days and will be most likely given the 'justice' that he deserves.
EVTDESCCM15002	The guards visited me today, they merely tossed down a rope I hope I have the strength to climb.	The guards visited me today, they merely tossed down a rope I hope I have the strength to climb.
EVTOPTACM15002	Oh sweet freedom!	Oh sweet freedom!
EVTDESCCM15004	The rays from the sun dig into my skin, it cracks and bleeds and I feel myself slipping away almost as if floating out of this pit.	The rays from the sun dig into my skin, it cracks and bleeds and I feel myself slipping away almost as if floating out of this pit.
EVTOPTACM15004	Is this how I die?	Is this how I die?
EVTDESCCM15005	Who's there, who are you? I can hear you but can't touch you? P-Please help me I can hear you just outside the pit please i'm begging you.!	Who's there, who are you? I can hear you but can't touch you? P-Please help me I can hear you just outside the pit please i'm begging you.!
EVTOPTACM15005	Was that a person leaning over the edge, or a figment of my imagination!	Was that a person leaning over the edge, or a figment of my imagination!
EVTDESCCM15006	As I lie in the pit hoping for salvation yet another day I realize that none will come. Has I been forsaken? No that can't be it! I must keep believing, its the only thing I have left.	As I lie in the pit hoping for salvation yet another day I realize that none will come. Has I been forsaken? No that can't be it! I must keep believing, its the only thing I have left.
